Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Зеркало МЕДВЕДЬ";"";"8.9";"RUB";"4085";"1";"";"";"<p>
	Размеры зеркального полотна: 41,5*54,5 (см)";"<p>
	Размеры зеркального полотна: 41,5*54,5 (см). Основной декор 'Медведь' (подложка) и накладные декоры 'Голова', 'Лапы' - изготовлены из фанеры.</p>
<p>
	Для окрашивания применены акриловые краски.</p>
<p>
	Защитный слой - акриловый или нитро лаки.</p>
<p>
	С задней стороны основного декора (подложки) имеются планки с металлическими навесами для крепления зеркала на стене.</p>
<p>
	Зеркало: 4 мм серебро с защитной противоударной (противоосколочной) пленкой.</p>";"";"Зеркало МЕДВЕДЬ";"";"";"zerkalo-medved";"";"";"http://www.pelikan-7.ru/image/cache/data/8/zerkalo-belii-mishka_2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/8/CIMG7416_2_2-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Зеркало МЫШКА";"";"8.8";"RUB";"3894";"1";"";"";"<p>
	Размеры зеркального полотна: 39*35 см";"<p>
	Размеры зеркального полотна: 39*35 см.</p>
<p>
	Основной декор 'Сыр' (подложка) и накладные декоры 'Мышка', изготовлены из фанеры.</p>
<p>
	Для окрашивания применены акриловые краски.</p>
<p>
	Защитный слой - акриловый или нитро лаки.</p>
<p>
	С задней стороны основного декора (подложки) имеются планки с металлическими навесами для крепления зеркала на стене.</p>
<p>
	Зеркало: 4 мм серебро с защитной противоударной (противоосколочной) пленкой.</p>";"";"Зеркало МЫШКА";"";"";"zerkalo-myshka";"";"";"http://www.pelikan-7.ru/image/cache/data/8/zerkalo-mish_2-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Зеркало ДОМИК";"";"8.11";"RUB";"4259";"1";"";"";"<p>
	Габариты зеркального полотна: 35*39 см";"<p>
	Габариты зеркального полотна: 35*39 см.</p>
<p>
	Декор 'Домик' изготовлен из фанеры.</p>
<p>
	Для окрашивания применены акриловые краски.</p>
<p>
	Защитный слой - акриловый или нитро лаки.</p>
<p>
	С задней стороны основного декора (подложки) имеются планки с металлическими навесами для крепления зеркала на стене.</p>
<p>
	Зеркало: 4 мм серебро с защитной противоударной (противоосколочной) пленкой. </p>";"";"Зеркало ДОМИК";"";"";"zerkalo-domik";"";"";"http://www.pelikan-7.ru/image/cache/data/8/zerkalo-500x500.JPG";"";"";"";"";"";"";"";"";"";"";""
"Зеркало МУХОМОРЫ";"";"8.10";"RUB";"4259";"1";"";"";"<p>
	Габариты зеркального полотна: 35*39 см";"<p>
	Габариты зеркального полотна: 35*39 см.</p>
<p>
	Декор 'Мухоморы' изготовлен из фанеры.</p>
<p>
	Для окрашивания применены акриловые краски.</p>
<p>
	Защитный слой - акриловый или нитро лаки.</p>
<p>
	С задней стороны основного декора (подложки) имеются планки с металлическими навесами для крепления зеркала на стене.</p>
<p>
	Зеркало: 4 мм серебро с защитной противоударной (противоосколочной) пленкой. </p>";"";"Зеркало МУХОМОРЫ";"";"";"zerkalo-mukhomory";"";"";"http://www.pelikan-7.ru/image/cache/data/8/3_1-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Зеркало в раме";"";"8.13";"RUB";"2100";"1";"";"";"<p>
	Габариты зеркального полотна: 23*32 см";"<p>
	Габариты зеркального полотна: 23*32 см.</p>
<p>
	Декор изготовлен из фанеры.</p>
<p>
	Для окрашивания применены акриловые краски.</p>
<p>
	Защитный слой - акриловый или нитро лаки.</p>
<p>
	С задней стороны основного декора (подложки) имеются планки с металлическими навесами для крепления зеркала на стене.</p>
<p>
	Зеркало: 4 мм серебро с защитной противоударной (противоосколочной) пленкой. </p>
<p>
	Возможно изготовление по размерам заказчика (при соблюдении пропорций высота х ширина). </p>";"";"Зеркало в раме";"";"";"zerkalo-v-rame";"";"";"http://www.pelikan-7.ru/image/cache/data/8/20160219_160622-2-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Зеркало ГУСЕНИЦА";"";"***";"RUB";"10175";"1";"";"";"<p>
	Диаметр зеркального полотна: 36 см";"<p>
	Диаметр зеркального полотна: 36 см.</p>
<p>
	Диаметр одной секции: 42 см.</p>
<p>
	Декор ГУСЕНИЦА изготовлен из фанеры.</p>
<p>
	Состоит из 5 модулей (4 шт. с зеркальным полотном - туловище с лапками на первом и последнем элементе, и 1 шт. - голова с рожками). </p>
<p>
	<em><strong>Возможно изменение количества модулей по желанию заказчика.</strong></em></p>
<p>
	Для окрашивания применены акриловые краски.</p>
<p>
	Защитный слой - акриловый или нитро лаки.</p>
<p>
	С задней стороны основного декора (подложки) имеются планки с металлическими навесами для крепления зеркала на стене.</p>
<p>
	Зеркало: 4 мм серебро с защитной противоударной (противоосколочной) пленкой. </p>";"";"Зеркало ГУСЕНИЦА";"";"";"zerkalo-gusenitsa";"";"";"http://www.pelikan-7.ru/image/cache/data/8/20150515_094024-9-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/8/1-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/8/ Гусеница-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/8/20150515_093948-4-500x500.jpg";"";"";"";"";"";"";"";""
"Стол шахматный, ЛДСП";"";"4.7Д";"RUB";"3920";"1";"";"";"<p>
	Материал: ЛДСП 16 мм (цвет бук); </p>
<p>
	Кромка: МКР или ПВХ 0,4 мм; </p>
<p>
	Столешница: 60*60 см;</p>
<p>
	Высота: 60 см;</p>
<p>
	Рисунок (шахматная доска) - УФ-печать";"<p>
	Материал: ЛДСП 16 мм (цвет бук); </p>
<p>
	Кромка: МКР или ПВХ 0,4 мм; </p>
<p>
	Столешница: 60*60 см;</p>
<p>
	Высота: 60 см;</p>
<p>
	Рисунок (шахматная доска) - УФ-печать.</p>";"";"Стол шахматный, ЛДСП";"";"";"stol-shakhmatnyy-ldsp";"";"";"http://www.pelikan-7.ru/image/cache/data/4/IMG_0072-3-500x500.JPG";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Кровать складируемая (штабелируемая) без колесных опор";"";"6.7";"RUB";"2397";"1";"";"";"<p>
	Материал: Фанера береза 12 мм, </p>
<p>
	Покрытие: полиэфир или лак НЦ";"<p>
	Материал: Фанера береза 12 мм, </p>
<p>
	Покрытие: полиэфир или лак НЦ. </p>
<p>
	Ложе: фанера 3 мм. </p>
<p>
	Каркас кроватей усилен 5-ю поперечными стяжками. </p>
<p>
	Размер спального места: 140*60 см.</p>
<p>
	<strong>Вес: 5,5 кг</strong></p>
<p>
	Конструкция кроватей позволяет складировать (штабелировать) их по высоте. </p>
<p>
	При необходимости для перемещения группы кроватей (штабеля) предназначена кровать на колесах, на которую складываются данные кровати. </p>
<p>
	В 1 метре по высоте складируется 5 кроватей. </p>
<p>
	Рекомендуемая высота штабеля 1,4-1,6 метра (7-8 кроватей).</p>
<p>
	Поставляется без матраса.  </p>";"";"Кровать складируемая (штабелируемая) без колесных опор";"";"";"krovat-skladiruemaya-shtabeliruemaya-bez-kolesnykh-opor";"";"";"http://www.pelikan-7.ru/image/cache/data/6/CIMG7491-3-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/6/IMG_20140710_134551 (1)-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/6/CIMG7459-2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/6/CIMG7488-2-500x500.jpg";"";"";"";"";"";"";"";""
"Кровать складируемая (штабелируемая) на колесных опорах";"";"6.7.1";"RUB";"2662";"1";"";"";"<p>
	Материал: Фанера береза 12 мм, </p>
<p>
	Покрытие: полиэфир или лак НЦ";"<p>
	Материал: Фанера береза 12 мм, </p>
<p>
	Покрытие: полиэфир или лак НЦ. </p>
<p>
	Ложе: фанера 3 мм. </p>
<p>
	Каркас кроватей усилен 5-ю поперечными стяжками. </p>
<p>
	Размер спального места: 140*60 см.</p>
<p>
	<strong>Вес: 5,5 кг</strong></p>
<p>
	Кровать на колесах является основанием для штабелирования на ней кроватей складируемых (без колес).</p>
<p>
	Два колеса имеют стопор (тормоз). </p>
<p>
	Поставляется без матраса. </p>";"";"Кровать складируемая (штабелируемая) на колесных опорах";"";"";"krovat-skladiruemaya-shtabeliruemaya-na-kolesnykh-oporakh";"";"";"http://www.pelikan-7.ru/image/cache/data/6/CIMG7487-2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/6/IMG_20140710_134551 (1)-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/6/CIMG7488-2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/6/CIMG7459-2-500x500.jpg";"";"";"";"";"";"";"";""
"Угловая этажерка ЕЛОЧКА (малая)";"";"***";"RUB";"3363";"1";"";"";"<p>
	Фанера 15 мм</p>
<p>
	Акриловые краски (темно- и светлозеленые)</p>
<p>
	Три угловые полукруглые полочки</p>";"<p>
	Фанера 15 мм</p>
<p>
	Акриловые краски (темно- и светлозеленые)</p>
<p>
	Три угловые полукруглые полочки</p>";"";"Угловая этажерка ЕЛОЧКА (малая)";"";"";"uglovaya-etazherka-elochka-malaya";"";"";"http://www.pelikan-7.ru/image/cache/data/Excl2/IMG_890422_m-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Excl2/IMG_890422-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Полотенечница напольная с декором (6 мест)";"";"***";"RUB";"0";"1";"";"";"";"";"";"Полотенечница напольная с декором (6 мест)";"";"";"polotenechnitsa-napolnaya-s-dekorom-6-mest";"";"";"http://www.pelikan-7.ru/image/cache/data/Excl2/IMG_5466_1-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Угловая этажерка ЕЛОЧКА (большая)";"";"***";"RUB";"3629";"1";"";"";"<p>
	Фанера 15 мм</p>
<p>
	Акриловые краски (темно- и светлозеленые)</p>
<p>
	Три угловые полукруглые полочки</p>";"<p>
	Фанера 15 мм</p>
<p>
	Акриловые краски (темно- и светлозеленые)</p>
<p>
	Три угловые полукруглые полочки</p>";"";"Угловая этажерка ЕЛОЧКА (большая)";"";"";"uglovaya-etazherka-elochka-bolshaya";"";"";"http://www.pelikan-7.ru/image/cache/data/Excl2/IMG_890422_b-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Excl2/IMG_890422-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Уголок ряжения МАТРЕШКА";"";"***";"RUB";"5300";"1";"";"";"";"";"";"Уголок ряжения МАТРЕШКА";"";"";"ugolok-ryazheniya-matreshka";"";"";"http://www.pelikan-7.ru/image/cache/data/Excl/matreshka-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Колыбелька для кукол";"";"***";"RUB";"1936";"1";"";"";"";"";"";"Колыбелька для кукол";"";"";"kolybelka-dlya-kukol";"";"";"http://www.pelikan-7.ru/image/cache/data/Excl/kolibelka-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/14/kolibelka2-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"ЧЕРЕПАШКА дидактическая";"";"0М";"RUB";"0";"1";"";"";"";"";"";"ЧЕРЕПАШКА дидактическая";"";"";"cherepashka-didakticheskaya";"";"";"http://www.pelikan-7.ru/image/cache/data/MM/1504-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
