Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Стенка для игрушек ОКЕАН фанера";"";"2.8";"RUB";"39543";"1";"";"";"<p>
	Общие габариты: 279*35*135/166 (см)";"<p>
	Общие габариты: 279*35*135/166 (см).</p>
<p>
	Стенка состоит из трех секций: 2 боковых и 1 центральной. </p>
<p>
	Габариты каждой секции 93*35*135/166 (см). </p>
<p>
	Изготовлена из фанеры 15 мм; каркас - естественный цвет фанеры, покрыт защитным лаком. </p>
<p>
	Фасады окрашены акриловой краской и защищены лаком. </p>
<p>
	Над верхними полками на заднем плане расположены накладные декоры на морскую тематику. </p>
<p>
	Фасады так же украшены накладными декорами (рыбки, морское дно и пр.). </p>
<p>
	Каждая секция имеет внизу выкатной (на колесиках) ящик для игрушек. </p>
<p>
	Габариты каждого ящика: 85*29*38 (см). </p>
<p>
	Для удобства чистки имеют вкладное дно. </p>
<p>
	Фасад ящиков так же окрашен акриловой краской, защищен лаком и имеет накладные декоры на морскую тематику. </p>
<p>
	Две боковые секции имеют сверху открытую полку. </p>
<p>
	Центральная часть закрыта дверями и имеет внутри две регулируемые полки.</p>";"";"Стенка для игрушек ОКЕАН фанера";"";"";"stenka-dlya-igrushek-okean-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/Excl/1111-500x500.JPG";"";"";"";"";"";"";"";"";"";"";""
"Стенка для игрушек ЛЕТО фанера";"";"2.11";"RUB";"41025";"1";"";"";"<p>
	Общие габариты: 255*40*145 см</p>
<p>
	Стенка состоит из трех секций: 2 боковых и 1 центральной";"<p>
	Общие габариты: 255*40*145 см</p>
<p>
	Стенка состоит из трех секций: 2 боковых и 1 центральной. </p>
<p>
	Изготовлена из фанеры 15 мм; каркас - естественный цвет фанеры, покрыт защитным лаком. </p>
<p>
	Фасады окрашены акриловой краской, защищены лаком и украшены накладными декорами. </p>";"";"Стенка для игрушек ЛЕТО фанера";"";"";"stenka-dlya-igrushek-leto-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/2/P_20160304_125553-2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/2/P_20160304_1255530-2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/2/P_20160304_1256100-2-500x500.jpg";"";"";"";"";"";"";"";"";""
"Набор кубиков (10 шт.)";"";"***";"RUB";"3500";"1";"";"";"<p>
	Цвета:</p>
<ul>
	<li>
		красный</li>
	<li>
		оранжевый</li>
	<li>
		морская волна</li>
	<li>
		синий</li>
	<li>
		розовый</li>
	<li>
		желтый</li>
	<li>
		сиреневый </li>
	<li>
		голубой</li>
	<li>
		зеленый</li>
	<li>
		белый</li>
</ul>";"<p>
	Цвета:</p>
<ul>
	<li>
		красный</li>
	<li>
		оранжевый</li>
	<li>
		морская волна</li>
	<li>
		синий</li>
	<li>
		розовый</li>
	<li>
		желтый</li>
	<li>
		сиреневый </li>
	<li>
		голубой</li>
	<li>
		зеленый</li>
	<li>
		белый</li>
</ul>";"";"Набор кубиков (10 шт.)";"";"";"nabor-kubikov-10-sht";"";"";"http://www.pelikan-7.ru/image/cache/data/Excl2/IMG_5451_2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Excl2/IMG_5454_2-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Кубик";"";"***";"RUB";"400";"1";"";"";"<p>
	 </p>
<p>
	Цвета:</p>
<ul>
	<li>
		красный</li>
	<li>
		оранжевый</li>
	<li>
		морская волна</li>
	<li>
		синий</li>
	<li>
		розовый</li>
	<li>
		желтый</li>
	<li>
		сиреневый </li>
	<li>
		голубой</li>
	<li>
		зеленый</li>
	<li>
		белый</li>
</ul>";"<p>
	 </p>
<p>
	Цвета:</p>
<ul>
	<li>
		красный</li>
	<li>
		оранжевый</li>
	<li>
		морская волна</li>
	<li>
		синий</li>
	<li>
		розовый</li>
	<li>
		желтый</li>
	<li>
		сиреневый </li>
	<li>
		голубой</li>
	<li>
		зеленый</li>
	<li>
		белый</li>
</ul>";"";"Кубик";"";"";"kubik";"";"";"http://www.pelikan-7.ru/image/cache/data/Excl2/IMG_5454_2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Excl2/IMG_5451_2-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Стенка для игрушек АЛЬЯНС";"";"***";"RUB";"23400";"1";"";"";"<p class='MsoNormal'>
	<u><strong>Стенка АЛЬЯНС </strong></u></p>
<p class='MsoNormal'>
	<strong>Общий размер (Д*Ш*В)</strong>:  400*30*110/170 см (центральная секция – 1 шт";"<p class='MsoNormal'>
	<u><strong>Стенка АЛЬЯНС </strong></u></p>
<p class='MsoNormal'>
	<strong>Общий размер (Д*Ш*В)</strong>:  400*30*110/170 см (центральная секция – 1 шт., боковая секция – 2 шт.)</p>
<p class='MsoNormal'>
	<strong>Центральная секция</strong>: 80*30*170 см</p>
<p class='MsoNormal'>
	- 3 закрытые полки</p>
<p class='MsoNormal'>
	- 1 открытая полка</p>
<p class='MsoNormal'>
	- внизу открытая ниша;</p>
<p class='MsoNormal'>
	<strong>Боковая секция</strong>: 130*30*110 см</p>
<p class='MsoNormal'>
	- 2 выкатных ящика (габариты ящика: 60*27*27 см)</p>
<p class='MsoNormal'>
	- 4 открытых полки</p>
<p class='MsoNormal'>
	- 2 открытых угловых полки;</p>
<p class='MsoNormal'>
	<strong>Каркас</strong>: ЛДСП (бук), цветные фанерные фасады (фанера, краска, лак), торцы обклеены цветной кромкой (МКР).</p>
<p class='MsoNormal'>
	<strong>Цена</strong>: 23400 р.</p>
<p>
	 </p>
<p class='MsoNormal'>
	<strong><em>Можем изготовить стенку по размерам заказчика (цена договорная) и с цветом фасадов на выбор заказчика.</em></strong></p>";"";"Стенка для игрушек АЛЬЯНС";"";"";"stenka-dlya-igrushek-alyans";"";"";"http://www.pelikan-7.ru/image/cache/data/Excl2/DSCN1695-3-500-500x500.JPG";"http://www.pelikan-7.ru/image/cache/data/Excl2/DSCN1692-2-500x500.JPG";"";"";"";"";"";"";"";"";"";""
"Кровать 1-ярусная (без матраса), ЛДСП";"";"6.6Д";"RUB";"1940";"1";"";"";"<p>
	Габариты: 143*65*45(изножье)/60(изголовье)";"<p>
	Габариты: 143*65*45(изножье)/60(изголовье). </p>
<p>
	Материал: ЛДСП бук.</p>
<p>
	Кромка: МКР или ПВХ 0,4 мм.</p>
<p>
	Ложе МДФ или фанера. </p>";"";"Кровать 1-ярусная (без матраса), ЛДСП";"";"";"krovat-1-yarusnaya-bez-matrasa-ldsp";"";"";"http://www.pelikan-7.ru/image/cache/data/6/IMG_6013_1-500x500.JPG";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Функциональная мебель";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!Полки декоративные";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Полка-вешалка с декором (6 видов декоров)";"";"9.3";"RUB";"2375";"1";"";"";"<p>
	46*13*32</p>";"<p>
	46*13*32</p>";"";"Полка-вешалка с декором (6 видов декоров)";"";"";"polka-veshalka-s-dekorom-6-vidov-dekorov";"";"";"http://www.pelikan-7.ru/image/cache/data/9/1_15_1komb-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/9/1_15_1(koshka)-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/9/1_15_1(с)-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/9/1_15_1(cher) 2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/9/1_15_1(popug)-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/9/1_15_1(kol)1-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/9/1_15_1(dom)-500x500.jpg";"";"";"";"";""
"Полка для игрушек настенная ДОМИК";"";"9.2";"RUB";"1960";"1";"";"";"<p>
	43*13*32</p>";"<p>
	43*13*32</p>";"";"Полка для игрушек настенная ДОМИК";"";"";"polka-dlya-igrushek-nastennaya-domik";"";"";"http://www.pelikan-7.ru/image/cache/data/9/1_15-500x500.JPG";"";"";"";"";"";"";"";"";"";"";""
"Полка для поделок";"";"9.1";"RUB";"1954";"1";"";"";"<p>
	100*10*30</p>";"<p>
	100*10*30</p>";"";"Полка для поделок";"";"";"polka-dlya-podelok";"";"";"http://www.pelikan-7.ru/image/cache/data/9/1_10b-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"!Для игрушек и дидактики";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Стол дидактический (без наполнения)";"";"3.10";"RUB";"9195";"1";"";"";"<p>
	150*46*50</p>";"<p>
	150*46*50</p>";"";"Стол дидактический (без наполнения)";"";"";"stol-didakticheskiy-bez-napolneniya";"";"";"http://www.pelikan-7.ru/image/cache/data/3/st_didakt_bnb-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"ЖИРАФ библиотека (2-х сторонний)";"";"3.8.1";"RUB";"5977";"1";"";"";"<p>
	Материал: фанера березовая</p>
<p>
	Покрытие: краски акриловые, полиэфир или лак НЦ</p>
<p>
	63*35*110</p>";"<p>
	Материал: фанера березовая</p>
<p>
	Покрытие: краски акриловые, полиэфир или лак НЦ</p>
<p>
	63*35*110</p>";"";"ЖИРАФ библиотека (2-х сторонний)";"";"";"zhiraf-biblioteka-2-kh-storonniy";"";"";"http://www.pelikan-7.ru/image/cache/data/3/1_9_2b-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"ЖИРАФ библиотека (1 сторонний)";"";"3.8";"RUB";"4733";"1";"";"";"<p>
	Габариты: 63*35*110</p>
<p>
	Материал: фанера березовая</p>
<p>
	Покрытие: краски акриловые, лак НЦ или полиэфир</p>";"<p>
	Габариты: 63*35*110</p>
<p>
	Материал: фанера березовая</p>
<p>
	Покрытие: краски акриловые, лак НЦ или полиэфир</p>";"";"ЖИРАФ библиотека (1 сторонний)";"";"";"zhiraf-biblioteka-1-storonniy";"";"";"http://www.pelikan-7.ru/image/cache/data/3/1_9_1b-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Сундук для игрушек";"";"3.7";"RUB";"4006";"1";"";"";"<p>
	59*37*41</p>";"<p>
	59*37*41</p>";"";"Сундук для игрушек";"";"";"sunduk-dlya-igrushek";"";"";"http://www.pelikan-7.ru/image/cache/data/3/komp-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Тележка для игрушек с декором (6 видов декоров)";"";"3.6.1";"RUB";"3495";"1";"";"";"<p>
	60*34*32 </p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Каркас фанера 15 мм,</p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Акриловая краска (цвет на выбор заказчика)";"<p>
	60*34*32 </p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Каркас фанера 15 мм,</p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Акриловая краска (цвет на выбор заказчика).</p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Покрытие: лак НЦ. </p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Декор (фанера) с двух сторон тележки. </p>";"";"Тележка для игрушек с декором (6 видов декоров)";"";"";"telezhka-dlya-igrushek-s-dekorom-6-vidov-dekorov";"";"";"http://www.pelikan-7.ru/image/cache/data/3/1_16_1в1-500x500.JPG";"http://www.pelikan-7.ru/image/cache/data/3/1_15_1kom-500x500.jpg";"";"";"";"";"";"";"";"";"";""
