Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Temporary2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!IgrRu";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!'ИГРАЕМ ВМЕСТЕ' ЖЕЛЕЗНЫЕ ДОРОГИ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"НАБОР ИЗ 3-Х ЕДИНИЦ ВОЕННОЙ ТЕХНИКИ 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ В РУСС. КОР. в кор.2*24наб";"";"SBT-20315-R";"RUB";"358,38";"1";"";"";"НАБОР ИЗ 3-Х ЕДИНИЦ ВОЕННОЙ ТЕХНИКИ 'ТЕХНОПАРК' МЕТАЛЛ";"НАБОР ИЗ 3-Х ЕДИНИЦ ВОЕННОЙ ТЕХНИКИ 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ В РУСС. КОР. в кор.2*24наб Набор из двух металлических моделей 'Военная техника' представляет собой 3 коллекционные модели - грузовик, танк и самолёт. Их внешний вид тщательно проработан. Мощные колеса позволяют быстро ездить по твердой поверхности. Так же имеет детально сделанную гусеницу, танковую башню и огнестрельную пушку. Модели маашин покрашены в цвет хаки, а самолет выкрашен в российсий триколор. Игра с машиной совершенствует моторику рук и координацию движений ребёнка. Придумывая увлекательные сюжеты для игры, дети стимулируют свою фантазию и воображение. Размер машины 7,5 см. Рекомендовано детям от 3-х лет.";"";"НАБОР ИЗ 3-Х ЕДИНИЦ ВОЕННОЙ ТЕХНИКИ 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ В РУСС. КОР. в кор.2*24наб";"";"";"nabor-iz-3-kh-edinits-voennoy-tekhniki-tekhnopark-metall-75sm-v-russ-kor-v-kor224nab-sbt-1227791883";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/218940_c.jpg";"http://img.simba-trade.ru/site1/a218940_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"НАБОР ЖЕЛЕЗНОДОРОЖНОЙ ТЕХНИКИ 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ, С АКСЕСС. В РУСС. КОР. в кор.2*24шт";"";"SBT-30618-R";"RUB";"346,50";"1";"";"";"НАБОР ЖЕЛЕЗНОДОРОЖНОЙ ТЕХНИКИ 'ТЕХНОПАРК' МЕТАЛЛ";"НАБОР ЖЕЛЕЗНОДОРОЖНОЙ ТЕХНИКИ 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ, С АКСЕСС. В РУСС. КОР. в кор.2*24шт Игровой набор из серии 'Железнодорожная техника' состоит из 2 металлических игрушек, которые выполнены в виде тепловоза и вагона, а так же дополнен пластиковыми аксессуарами и пропускным пунктом. С этими игрушками ребенок сможет представить себя в роли машиниста железнодорожного транспорта или логиста, который должен следить за передвижением техники. Игра с набором совершенствует моторику рук и координацию движений ребёнка. Придумывая увлекательные сюжеты для игры, дети стимулируют свою фантазию и воображение. Длина каждого транспорта 7,5 см. Рекомендовано детям от 3-х лет.";"";"НАБОР ЖЕЛЕЗНОДОРОЖНОЙ ТЕХНИКИ 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ, С АКСЕСС. В РУСС. КОР. в кор.2*24шт";"";"";"nabor-zheleznodorozhnoy-tekhniki-tekhnopark-metall-75sm-s-aksess-v-russ-kor-v-kor224sht-sbt-1613599558";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/218941_c.jpg";"http://img.simba-trade.ru/site1/a218941_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' ПЛАСТ. ИНЕРЦ., УАЗ ПОЛИЦИЯ 20СМ, СВЕТ+ЗВУК В РУСС. КОР. в кор.2*18шт";"";"SBT-A532-H11105-R";"RUB";"587,84";"1";"";"";"МАШИНА 'ТЕХНОПАРК' ПЛАСТ";"МАШИНА 'ТЕХНОПАРК' ПЛАСТ. ИНЕРЦ., УАЗ ПОЛИЦИЯ 20СМ, СВЕТ+ЗВУК, ОТКРЫВ. ДВЕРИ, СЪЕМНЫЙ ТЕНТ В РУСС. КОР. в кор.2*18шт";"";"МАШИНА 'ТЕХНОПАРК' ПЛАСТ. ИНЕРЦ., УАЗ ПОЛИЦИЯ 20СМ, СВЕТ+ЗВУК В РУСС. КОР. в кор.2*18шт";"";"";"mashina-tekhnopark-plast-inerts-uaz-politsiya-20sm-svetzvuk-v-russ-kor-v-kor218sht-sbt-1220407954";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/218767_c.jpg";"http://img.simba-trade.ru/site1/a218767_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' ПЛАСТ. ИНЕРЦ. УАЗ 20СМ, СВЕТ+ЗВУК, ОТКРЫВ. ДВЕРИ В РУСС. КОР. в кор.2*18шт";"";"SBT-A532-H11106-R";"RUB";"587,84";"1";"";"";"МАШИНА 'ТЕХНОПАРК' ПЛАСТ";"МАШИНА 'ТЕХНОПАРК' ПЛАСТ. ИНЕРЦ. УАЗ 20СМ, СВЕТ+ЗВУК, ОТКРЫВ. ДВЕРИ, СЪЕМНЫЙ ТЕНТ В РУСС. КОР. в кор.2*18шт";"";"МАШИНА 'ТЕХНОПАРК' ПЛАСТ. ИНЕРЦ. УАЗ 20СМ, СВЕТ+ЗВУК, ОТКРЫВ. ДВЕРИ В РУСС. КОР. в кор.2*18шт";"";"";"mashina-tekhnopark-plast-inerts-uaz-20sm-svetzvuk-otkryv-dveri-v-russ-kor-v-kor218sht-sbt-1352753787";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/218759_c.jpg";"http://img.simba-trade.ru/site1/a218759_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' ПЛАСТ. ИНЕРЦ. УАЗ 20СМ, СВЕТ+ЗВУК, ОТКРЫВ. ДВЕРИ 9519E В РУСС. КОР. в кор.2*18шт";"";"SBT-A532-H11107-R";"RUB";"587,84";"1";"";"";"МАШИНА 'ТЕХНОПАРК' ПЛАСТ";"МАШИНА 'ТЕХНОПАРК' ПЛАСТ. ИНЕРЦ. УАЗ 20СМ, СВЕТ+ЗВУК, ОТКРЫВ. ДВЕРИ 9519E В РУСС. КОР. в кор.2*18шт Машинка УАЗ-39625 ОМОН - миниатюрная копия настоящего автомобиля. Модель оснащена инерционным механизмом: стоит откатить ее назад, слегка нажав на ее крышу, и отпустить, и машинка молниеносно поедет вперед. А также присутствуют световые и звуковые эффекты. Увлекательная сюжетно-ролевая игра не только развлекает ребёнка, но и вырабатывает такие практические качества, как ловкость и слаженность движений рук, сноровку и координацию, развивает мелкую моторику пальцев рук, заставляет подвигаться и пофантазировать. Игра в машинки помогает растущему малышу в развитии внимания, направляет на освоение физического пространства, помогают в понимании понятий быстрый и медленный, впереди, сзади, сбоку, вокруг. Размер 20 см. Рекомендовано детям от 3-х лет. Работает от 3 батарейки типа LR 44 (AG 13) (входят в комплект).";"";"МАШИНА 'ТЕХНОПАРК' ПЛАСТ. ИНЕРЦ. УАЗ 20СМ, СВЕТ+ЗВУК, ОТКРЫВ. ДВЕРИ 9519E В РУСС. КОР. в кор.2*18шт";"";"";"mashina-tekhnopark-plast-inerts-uaz-20sm-svetzvuk-otkryv-dveri-9519e-v-russ-kor-v-kor218sht-sbt-2037217624";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/218760_c.jpg";"http://img.simba-trade.ru/site1/a218760_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"НАБОР ИЗ 3-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ, ЛИЦЕНЗИИ В АССОРТ. В РУСС. КОР. в кор.72наб";"";"SBT-TOP825";"RUB";"342,54";"1";"";"";"НАБОР ИЗ 3-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ";"НАБОР ИЗ 3-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ, ЛИЦЕНЗИИ В АССОРТ. В РУСС. КОР. в кор.72наб Набор коллекционных моделей 'Иномарки' - отличный подарок как для взрослого коллекционера, так и для малыша 3х лет. Хорошая детализация моделей выполненных в масштабе 1:72, делают их по настоящему ценным подарком. Набор представлен в ассортименте. Благодаря такому разнообразию моделей, у малыша есть возможность моделировать различные игровые ситуации. Размер машинки: 7,5 см. Рекомендовано детям от 3-х лет.";"";"НАБОР ИЗ 3-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ, ЛИЦЕНЗИИ В АССОРТ. В РУСС. КОР. в кор.72наб";"";"";"nabor-iz-3-kh-mashin-tekhnopark-metall-75sm-litsenzii-v-assort-v-russ-kor-v-kor72nab-sbt-2005701665";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/219409_c.jpg";"http://img.simba-trade.ru/site1/a219409_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"НАБОР ИЗ 2-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ, ЛИЦЕНЗИИ В АССОРТ. В РУСС. КОР. в кор.72наб";"";"SBT-TOP827";"RUB";"239,58";"1";"";"";"НАБОР ИЗ 2-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ";"НАБОР ИЗ 2-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ, ЛИЦЕНЗИИ В АССОРТ. В РУСС. КОР. в кор.72наб Набор из 2-х коллекционных моделей 'Иномарки' - отличный подарок как для взрослого коллекционера, так и для малыша 3х лет. Хорошая детализация моделей выполненных в масштабе 1:72, делают их по настоящему ценным подарком. Набор представлен в ассортименте. Благодаря такому разнообразию моделей, у малыша есть возможность моделировать различные игровые ситуации. Размер машинки: 7,5 см. Рекомендовано детям от 3-х лет.";"";"НАБОР ИЗ 2-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ, ЛИЦЕНЗИИ В АССОРТ. В РУСС. КОР. в кор.72наб";"";"";"nabor-iz-2-kh-mashin-tekhnopark-metall-75sm-litsenzii-v-assort-v-russ-kor-v-kor72nab-sbt-303089991";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/219411_c.jpg";"http://img.simba-trade.ru/site1/a219411_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"НАБОР ИЗ 3-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ, ЛИЦЕНЗИИ В АССОРТ. В РУСС. КОР. в кор.72наб";"";"SBT-TOP826";"RUB";"376,20";"1";"";"";"НАБОР ИЗ 3-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ";"НАБОР ИЗ 3-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ, ЛИЦЕНЗИИ В АССОРТ. В РУСС. КОР. в кор.72наб Набор коллекционных моделей 'Спортивные машины' - отличный подарок как для взрослого коллекционера, так и для малыша 3х лет. Хорошая детализация моделей выполненных в масштабе 1:72, делают их по настоящему ценным подарком. Набор представлен в ассортименте. Благодаря такому разнообразию моделей, у малыша есть возможность моделировать различные игровые ситуации. Размер машинки: 7,5 см. Рекомендовано детям от 3-х лет.";"";"НАБОР ИЗ 3-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ, ЛИЦЕНЗИИ В АССОРТ. В РУСС. КОР. в кор.72наб";"";"";"nabor-iz-3-kh-mashin-tekhnopark-metall-75sm-litsenzii-v-assort-v-russ-kor-v-kor72nab-sbt-1713760071";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/219410_c.jpg";"http://img.simba-trade.ru/site1/a219410_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"АВТОБУС 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ПАЗ. ПОЛИЦИЯ, ОТКРЫВ. ДВЕРЬ В РУСС. КОР. в кор.3*32шт";"";"SBT-X600-H09140-R";"RUB";"360,36";"1";"";"";"АВТОБУС 'ТЕХНОПАРК' МЕТАЛЛ";"АВТОБУС 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ПАЗ. ПОЛИЦИЯ, ОТКРЫВ. ДВЕРЬ В РУСС. КОР. в кор.3*32шт В течение 15 лет благодаря опытным образцам доводили модель ПАЗ до совершенства, а в 1989 году он все-таки поступил в массовое производство. ПАЗ – это высокопольный автобус малого класса производства от завода «Павловский Автобус». За счет своих небольших размеров хорошо справлялся на пригородных маршрутах пассажироперевозок, а также на спецслужбе. Представленная модель – специализированный ПАЗ «Полиция». Имеет инерционный механизм. Открываются двери. Сделан из прочного высококачественного металла, что повзволяет прослужить игрушки долго. Станет прекрасным дополнением для коллекции автотранспорта, а также поможет интересно провести время во время игр. В процессе игры с набором кроха разовьет мелкую моторику рук, а также координацию движений и фантазию. Рекомендовано детям от 3-х лет.";"";"АВТОБУС 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ПАЗ. ПОЛИЦИЯ, ОТКРЫВ. ДВЕРЬ В РУСС. КОР. в кор.3*32шт";"";"";"avtobus-tekhnopark-metall-inerts-paz-politsiya-otkryv-dver-v-russ-kor-v-kor332sht-sbt-29853513";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/218298_c.jpg";"http://img.simba-trade.ru/site1/a218298_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"НАБОР 'ТЕХНОПАРК' ВООРУЖ. СИЛЫ МЕТАЛЛ. КАМАЗ. ПЕРЕВОЗЧИК С КОРАБЛЕМ НА ПРИЦЕПЕ В КОР. в кор.2*72шт";"";"SBT-SB-16-61WB";"RUB";"318,78";"1";"";"";"НАБОР 'ТЕХНОПАРК' ВООРУЖЕННЫЕ СИЛЫ МЕТАЛЛ";"НАБОР 'ТЕХНОПАРК' ВООРУЖЕННЫЕ СИЛЫ МЕТАЛЛ. КАМАЗ. ПЕРЕВОЗЧИК С КОРАБЛЕМ НА ПРИЦЕПЕ В РУСС. КОР. в кор.2*72шт";"";"НАБОР 'ТЕХНОПАРК' ВООРУЖ. СИЛЫ МЕТАЛЛ. КАМАЗ. ПЕРЕВОЗЧИК С КОРАБЛЕМ НА ПРИЦЕПЕ В КОР. в кор.2*72шт";"";"";"nabor-tekhnopark-vooruzh-sily-metall-kamaz-perevozchik-s-korablem-na-pritsepe-v-kor-v-kor272sht-sbt-111141077";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/220744_c.jpg";"http://img.simba-trade.ru/site1/a220744_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"АВТОБУС 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ПАЗ. ОМОН, ОТКРЫВ. ДВЕРЬ В РУСС. КОР. в кор.3*32шт";"";"SBT-X600-H09136-R";"RUB";"360,36";"1";"";"";"АВТОБУС 'ТЕХНОПАРК' МЕТАЛЛ";"АВТОБУС 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ПАЗ. ОМОН, ОТКРЫВ. ДВЕРЬ В РУСС. КОР. в кор.3*32шт оллекционная машина исполнена точной уменьшенной копией автобуса КАВЗ с надписью «ОМОН». Автомобиль имеет окраску маскировочного цвета, на крыше установлен проблесковый маячок. Кузов модели – литой металлический, дополнен некоторыми элементами, выполненными из качественного пластика. Благодаря функциональным колёсам и встроенному инерционному механизму автомобилю можно придать ускорение в заданном направлении, слегка оттянув назад и отпустив. Двери автомобиля можно открыть и рассмотреть, как детально и скрупулёзно проработан салон водителя и двигатель. Дети с удовольствием будут придумывать тематические сюжеты для игр с машинкой, раскрывая при этом фантазию и воображение и тренируя моторику рук и координацию движений. Сделана из прочного высококачественного металла и пластика. Рекомендовано детям от 3-х лет.";"";"АВТОБУС 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ПАЗ. ОМОН, ОТКРЫВ. ДВЕРЬ В РУСС. КОР. в кор.3*32шт";"";"";"avtobus-tekhnopark-metall-inerts-paz-omon-otkryv-dver-v-russ-kor-v-kor332sht-sbt-2015590078";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/218295_c.jpg";"http://img.simba-trade.ru/site1/a218295_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ, В АССОРТ. В ЯЙЦЕ В ДИСПЛЕЕ (РУСС. УП.) УП-36ШТ в кор.2*3уп";"";"SBT-SB-16-63-CDU";"RUB";"125,00";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ, В АССОРТ. В ЯЙЦЕ В ДИСПЛЕЕ (РУСС. УП.) УП-36ШТ в кор.2*3уп Дети очень любят сюрпризы. Игрушка представляет собой цветное пластиковое яйцо, которое внутри скрывает сюрприз – модель гоночной машины. Модели распределены в яйцах случайным образом, и угадать какая именно игрушка находится внутри - невозможно. Маленькие коллекционные модели выполнены из металла, они выполнены с точной детальной проработкой в реалистичном стиле. Яйцо выполнено из цветного пластика, оно раскрывается на 2 половинки, внутри находится сюрприз для детей - модель гоночной машины. Модели гоночных машин представлены в ассортименте, они выполнены в точном соответствии с пропорциями и с соблюдением всех внешних особенностей прототипа, что добавляет им реалистичности. Литая металлическая модель проработана с высокой степенью детализации, что несомненно не оставит равнодушными коллекционеров. Игрушка помогает ребёнку раскрыть свою фантазию и воображение, придумывая новые сюжеты для игр, а также тренирует мелкую моторику рук и координацию движений. Размер машинки: 7 см. Рекомендовано детям от 3-х лет.";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. 7,5СМ, В АССОРТ. В ЯЙЦЕ В ДИСПЛЕЕ (РУСС. УП.) УП-36ШТ в кор.2*3уп";"";"";"mashina-tekhnopark-metall-75sm-v-assort-v-yaytse-v-displee-russ-up-up-36sht-v-kor23up-sbt-1243029737";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/220667_c.jpg";"http://img.simba-trade.ru/site1/a220667_c.jpg";"http://img.simba-trade.ru/site1/b220667_c.jpg";"";"";"";"";"";"";"";"";"";"";"";""
"НАБОР ИЗ 2-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ. КАМАЗ СТРОЙТЕХНИКА, С ДОРОЖНЫМИ ЗНАКАМИ В КОР. в кор.2*72наб";"";"SBT-SB-16-62WB";"RUB";"316,80";"1";"";"";"НАБОР ИЗ 2-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ";"НАБОР ИЗ 2-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ. КАМАЗ СТРОЙТЕХНИКА, С ДОРОЖНЫМИ ЗНАКАМИ В РУСС. КОР. в кор.2*72наб";"";"НАБОР ИЗ 2-Х МАШИН 'ТЕХНОПАРК' МЕТАЛЛ. КАМАЗ СТРОЙТЕХНИКА, С ДОРОЖНЫМИ ЗНАКАМИ В КОР. в кор.2*72наб";"";"";"nabor-iz-2-kh-mashin-tekhnopark-metall-kamaz-stroytekhnika-s-dorozhnymi-znakami-v-kor-v-kor272nab-sbt-1957032797";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/220745_c.jpg";"http://img.simba-trade.ru/site1/a220745_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ЗИЛ 130. САМОСВАЛ В РУСС. КОР. в кор.3*32шт";"";"SBT-X600-H09120-R";"RUB";"249,90";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ЗИЛ 130. САМОСВАЛ В РУСС. КОР. в кор.3*32шт Машина выполнена из металла, имеет ярко-оранжевый кузов и кабину. «ЗИЛ 130» выполнен с высоким уровнем детализации в реалистичной манере. Автомобиль легко передвигается по любой поверхности благодаря устойчивым функциональным колесам на резиновых шинах с протектором. Машинка снабжена инерционным механизмом, если её немного откатить назад и отпустить она хорошо развивает скорость. Сюжетно-ролевые игры с машинами развивают мелкую моторику рук, речь, фантазию и воображение ребёнка. Все элементы изделия выполнены из качественных материалов. Рекомендовано детям от 3-х лет.";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ЗИЛ 130. САМОСВАЛ В РУСС. КОР. в кор.3*32шт";"";"";"mashina-tekhnopark-metall-inerts-zil-130-samosval-v-russ-kor-v-kor332sht-sbt-1204657991";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/218286_c.jpg";"http://img.simba-trade.ru/site1/a218286_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ЗИЛ 130. САМОСВАЛ В РУСС. КОР. в кор.3*32шт";"";"SBT-X600-H09122-R";"RUB";"249,90";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ЗИЛ 130. САМОСВАЛ В РУСС. КОР. в кор.3*32шт Машина выполнена из металла, имеет военный окрас кузова и кабины. «ЗИЛ 130» выполнен с высоким уровнем детализации в реалистичной манере. Автомобиль легко передвигается по любой поверхности благодаря устойчивым функциональным колесам на резиновых шинах с протектором. Машинка снабжена инерционным механизмом, если её немного откатить назад и отпустить она хорошо развивает скорость. Сюжетно-ролевые игры с машинами развивают мелкую моторику рук, речь, фантазию и воображение ребёнка. Все элементы изделия выполнены из качественных материалов. Рекомендовано детям от 3-х лет.";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ЗИЛ 130. САМОСВАЛ В РУСС. КОР. в кор.3*32шт";"";"";"mashina-tekhnopark-metall-inerts-zil-130-samosval-v-russ-kor-v-kor332sht-sbt-242007542";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/218287_c.jpg";"http://img.simba-trade.ru/site1/a218287_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ЗИЛ 130. БУДКА ПОЛИЦИЯ, ОТКРЫВ. ДВЕРЬ В РУСС. КОР. в кор.3*32шт";"";"SBT-X600-H09128-R";"RUB";"287,10";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ЗИЛ 130. БУДКА ПОЛИЦИЯ, ОТКРЫВ. ДВЕРЬ В РУСС. КОР. в кор.3*32шт Инерционная машина Зил 130 сделана в качестве уменьшенной копии грузового автомобиля 'ЗИЛ 130' в тематике полицейской техники. Игрушка сделана из прочного металла, оснащена встроенным инерционным механизмом, позволяющим машинке двигаться вперед. Дверцы автомобиля открываются. Играя в сюжетно-ролевые игры, ребенок будет развивать мелкую моторику и воображение. Рекомендовано детям от 3-х лет.";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ЗИЛ 130. БУДКА ПОЛИЦИЯ, ОТКРЫВ. ДВЕРЬ В РУСС. КОР. в кор.3*32шт";"";"";"mashina-tekhnopark-metall-inerts-zil-130-budka-politsiya-otkryv-dver-v-russ-kor-v-kor332sht-sbt-1184717464";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/218290_c.jpg";"http://img.simba-trade.ru/site1/a218290_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ЗИЛ 130. БУДКА ВОЕННАЯ, ОТКРЫВ. ДВЕРЬ В РУСС. КОР. в кор.3*32шт";"";"SBT-X600-H09129-R";"RUB";"287,10";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ЗИЛ 130. БУДКА ВОЕННАЯ, ОТКРЫВ. ДВЕРЬ В РУСС. КОР. в кор.3*32шт Инерционная машина Зил 130 Полиция сделана в качестве уменьшенной копии грузового автомобиля 'ЗИЛ 130' в тематике военных служб. Игрушка сделана из прочного металла, оснащена встроенным инерционным механизмом, позволяющим машинке двигаться вперед. Дверцы автомобиля открываются. Играя в сюжетно-ролевые игры, ребенок будет развивать мелкую моторику и воображение. Рекомендовано детям от 3-х лет.";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ЗИЛ 130. БУДКА ВОЕННАЯ, ОТКРЫВ. ДВЕРЬ В РУСС. КОР. в кор.3*32шт";"";"";"mashina-tekhnopark-metall-inerts-zil-130-budka-voennaya-otkryv-dver-v-russ-kor-v-kor332sht-sbt-1456849036";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/218291_c.jpg";"http://img.simba-trade.ru/site1/a218291_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ЗИЛ 130. БУДКА ОМОН, ОТКРЫВ. ДВЕРЬ В РУСС. КОР. в кор.3*32шт";"";"SBT-X600-H09130-R";"RUB";"287,10";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ЗИЛ 130. БУДКА ОМОН, ОТКРЫВ. ДВЕРЬ В РУСС. КОР. в кор.3*32шт Инерционная машина Зил 130 Полиция сделана в качестве уменьшенной копии грузового автомобиля 'ЗИЛ 130' в тематике спецслужбы ОМОН. Игрушка сделана из прочного металла, оснащена встроенным инерционным механизмом, позволяющим машинке двигаться вперед. Дверцы автомобиля открываются. Играя в сюжетно-ролевые игры, ребенок будет развивать мелкую моторику и воображение. Рекомендовано детям от 3-х лет.";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ЗИЛ 130. БУДКА ОМОН, ОТКРЫВ. ДВЕРЬ В РУСС. КОР. в кор.3*32шт";"";"";"mashina-tekhnopark-metall-inerts-zil-130-budka-omon-otkryv-dver-v-russ-kor-v-kor332sht-sbt-69176463";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/218292_c.jpg";"http://img.simba-trade.ru/site1/a218292_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
