Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения
"Японские опыты Науки с Буки BONDIBON,  Изучаем корабли,  арт. 196459";"";"ВВ1142";"RUB";"444.00";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/BP2mBgZlnXU' frameborder='0' allowfullscreen=''></iframe>
<br>
Почему железный брусок, брошенный в воду, моментально идет ко дну, а железный корабль плавает на поверхности? Как погружается в воду и поднимается на ее поверхность подводная лодка? Что такое катамаран и почему он надежнее обычного корабля? Этот научно-познавательный набор поможет ребенку получить знания о плотности различных материалов и понять, почему одни предметы тонут в воде, а другие нет. Он даже сможет сконструировать собственный кораблик и запустить его в аквариуме, ванной, бассейне или на реке – где угодно! Это игрушечное судно никогда не утонет, ведь оно сделано по всем правилам кораблестроения!
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON, Изучаем корабли, арт.196459</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON,  Изучаем корабли,  арт. 196459";"";"";"yaponskie-opyty-nauki-s-buki-bondibon--izuchaem-korabli--art-196459vv1142";"";"";"13x6x21";"";"";"";"http://www.gratwest.ru/linkpics/095/095753_2.jpg";"http://www.gratwest.ru/linkpics/095/095753_3b.jpg";"http://www.gratwest.ru/linkpics/095/095753_4b.jpg";""
"Французские опыты Науки с Буки Bondibon,  Растения и насекомые,  арт.  2047";"";"ВВ1176";"RUB";"1569.60";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/-IXSp9um-E4?list=UU4nbomaywgl4zsosYIuixHA' frameborder='0' allowfullscreen=''></iframe>
<p>Дети обожают наблюдать за природой. Они с интересом рассматривают жучков, кузнечиков, муравьев и бабочек, внимательно изучают их повадки, с удовольствием ухаживают за садовыми и огородными растениями. Теперь ребенок может делать это даже дома, не выезжая за город: научно-познавательный набор «Растения и насекомые» – великолепный подарок юному натуралисту! Его ждет множество увлекательных экспериментов – простых, но очень интересных! С этим набором каждый сможет увидеть даже то, что в природе скрыто от наблюдения. Как гусеница превращается в бабочку, как земляные черви роют под землей свои замысловатые ходы или как прорастает пшеничное зерно – наблюдение за всеми этими процессами не только невероятно интересно, но и очень познавательно. </p>
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Растения и насекомые, арт. 2047</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Растения и насекомые,  арт.  2047";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--rasteniya-i-nasekomye--art--2047vv1176";"";"";"27x6x24.5";"";"";"";"http://www.gratwest.ru/linkpics/097/097075_2.jpg";"http://www.gratwest.ru/linkpics/097/097075_3b.jpg";"http://www.gratwest.ru/linkpics/097/097075_4b.jpg";""
"Французские опыты Науки с Буки Bondibon,  Виртуальная реальность,  арт.  WS/938";"";"ВВ1650";"RUB";"699.60";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/1_bGB2jwTDw' frameborder='0' allowfullscreen=''></iframe>
<br>
Набор позволяет создать прибор для просмотра виртуальной реальности, которая перенесет вас куда угодно!  Для работы с набором вам понадобится скачать в свой телефон одно из множества бесплатных приложений для виртуальной реальности для платформ Андроид и Айфон, вставить телефон в прибор – и вот вы готовы убегать отдинозавра, кататься на роликах, путешествовать в космосе! В состав набора входят картонная заготовка, поролоновая заготовка для дополнительного комфорта, липучки, линзы, инструкция.

			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Виртуальная реальность, арт. WS/938</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Виртуальная реальность,  арт.  WS/938";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--virtualnaya-realnost--art--ws938vv1650";"";"";"13.5x7x21";"";"";"";"http://www.gratwest.ru/linkpics/111/111377_2.jpg";"http://www.gratwest.ru/linkpics/111/111377_3b.jpg";"http://www.gratwest.ru/linkpics/111/111377_4b.jpg";""
"Французские опыты Науки с Буки Bondibon,  Город муравьёв,  арт.  WS/925";"";"ВВ1549";"RUB";"603.60";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/vDCoVpg3_Gk' frameborder='0' allowfullscreen=''></iframe>
<br>
Этот набор предназначен для создания дома настоящего города муравьев. Ребенок сможет наглядно увидеть, каким сложным миром является самый обычный муравейник. С помощью набора ребенок узнает, как муравьи общаются между собой, как они ведут хозяйство, присматривают за маленькими муравьями. Оказывается, в муравьиной колонии есть четкое разграничение обязанностей! Ребенок узнает, каково это – ухаживать за живыми созданиями, и сможет наблюдать кусочек дикой природы у себя дома! В состав набора входят красочная и подробная инструкция, бутылка, отвинчивающаяся крышка, два сетчатых вкладыша, форма-стабилизатор основания, пипетка, пинцет, тарелочка для кормления, ватные шарики, мешочек с желтым песком, наклейка на заднюю стенку.
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Город муравьёв, арт. WS/925</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Город муравьёв,  арт.  WS/925";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--gorod-muravёv--art--ws925vv1549";"";"";"17x7x22";"";"";"";"http://www.gratwest.ru/linkpics/108/108041_2.jpg";"http://www.gratwest.ru/linkpics/108/108041_3b.jpg";"http://www.gratwest.ru/linkpics/108/108041_4b.jpg";""
"Французские опыты Науки с Буки,  BONDIBON,  Тайны морей,  арт.   510231-2/471632";"";"ВВ1858";"RUB";"473.40";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки, BONDIBON, Тайны морей, арт.  510231-2/471632</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки,  BONDIBON,  Тайны морей,  арт.   510231-2/471632";"";"";"frantsuzskie-opyty-nauki-s-buki--bondibon--tayny-morey--art---510231-2471632vv1858";"";"";"21x8x12";"";"";"";"http://www.gratwest.ru/linkpics/115/115108_2.jpg";"http://www.gratwest.ru/linkpics/115/115108_3b.jpg";"http://www.gratwest.ru/linkpics/115/115108_4b.jpg";""
"Французские опыты Науки с Буки Bondibon,  Фабрика леденцов,  арт.  WS/105L";"";"ВВ2017";"RUB";"928.80";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Фабрика леденцов, арт. WS/105L</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Фабрика леденцов,  арт.  WS/105L";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--fabrika-ledentsov--art--ws105lvv2017";"";"";"17x7x21.5";"";"";"";"http://www.gratwest.ru/linkpics/120/120882_2.jpg";"";"";""
"Японские опыты Науки с Буки BONDIBON,  Наблюдаем за погодой,  арт. 196450";"";"ВВ1178";"RUB";"658.20";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/mjgZDMUNnZw' frameborder='0' allowfullscreen=''></iframe>
<br>
Еще вчера на улице светило солнышко, а сегодня целый день идет дождь. Почему изменилась погода, и откуда взялись эти грозные дождевые тучи? Пришло время разобраться в этих природных явлениях. Во время увлекательных наблюдений за погодой становится понятно, в какое время суток температура воздуха наиболее высокая, а наблюдая за изменением атмосферного давления с помощью самостоятельно изготовленного манометра, можно даже предсказывать погоду! Многое могут рассказать о погоде и облака, если за ними внимательно понаблюдать. Оказывается, стать синоптиком несложно и очень занимательно!
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON, Наблюдаем за погодой, арт.196450</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON,  Наблюдаем за погодой,  арт. 196450";"";"";"yaponskie-opyty-nauki-s-buki-bondibon--nablyudaem-za-pogodoy--art-196450vv1178";"";"";"13x6x20.5";"";"";"";"http://www.gratwest.ru/linkpics/097/097127_2.jpg";"http://www.gratwest.ru/linkpics/097/097127_3b.jpg";"http://www.gratwest.ru/linkpics/097/097127_4b.jpg";""
"Французские опыты Науки с Буки Bondibon  Модели с ручным мотором ,  арт.  GK011";"";"ВВ1028";"RUB";"1170.60";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/xMd3Fgdk4Fs' frameborder='0' allowfullscreen=''></iframe>
<br>
Еще древние греки сделали первую попытку открыть электричество, но даже в наш современный век мы не можем с полной уверенностью сказать, откуда оно берется. Как знать, может быть, Вашему ребенку удастся открыть в этой области нечто новое, просто играя с набором необычных опытов? Он предназначен для того, чтобы познакомить вашего малыша с удивительным миром электричества. Следуя простым схемам, ребенок будет узнавать об основных свойствах электричества в игровой форме. Уровень сложности опытов постепенно увеличивается, поэтому ребенок будет осваивать новую информацию последовательно. 
Наверняка, Вам будет приятно, если Ваш малыш расскажет в гостях о том, как просто получить или снять статическое электричество, что такое молния, как мотор переводит электрическую энергию в движение.
Большое количество очень интересных, занимательных и даже веселых экспериментов дадут понять будущему физику, что это великая наука, которая может развлекать! 
Ну а вы сами, знаете, например, как сделать вертолет и прыгающая черепаха, динамо-машину, или как собрать музыкальная шкатулку, которая работает от стана с чаем…?

Интересно? Тогда открывайте скорее этот набор и изучайте, вникайте, узнавайте и экспериментируйте! 
Для детей от 8 лет.

			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon  Модели с ручным мотором , арт. GK011</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon  Модели с ручным мотором ,  арт.  GK011";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--modeli-s-ruchnym-motorom---art--gk011vv1028";"";"";"22x6x29";"";"";"";"http://www.gratwest.ru/linkpics/088/088152_2.jpg";"http://www.gratwest.ru/linkpics/088/088152_3b.jpg";"http://www.gratwest.ru/linkpics/088/088152_4b.jpg";""
"Французские опыты Науки с Буки Bondibon,  Электрозвонок,  арт.  EK-D022";"";"ВВ1686";"RUB";"697.20";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/zfYJY7QQc88' frameborder='0' allowfullscreen=''></iframe>
<br>
С помощью этого набора ребята смогут собрать действующую модель электрического звонка, то есть такого звонка, который работает при помощи электромагнита. Также ребята познакомятся с принципами работы электромагнитов, а также узнают, что такое открытая и замкнутая электрическая цепь, что такое электрическое реле и как оно используется в повседневной жизни. В состав набора входят болты, гайки, шайбы, металлическая скоба, пружина, железный стержень, электромагнит, лапка звонка, панель, наклейки, реле панели, терминалы для пружины, выключатель, латунный звонок, корпус, крышка для батареек, отвертка, инструкция.



			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Электрозвонок, арт. EK-D022</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Электрозвонок,  арт.  EK-D022";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--elektrozvonok--art--ek-d022vv1686";"";"";"22.4x6x16.5";"";"";"";"http://www.gratwest.ru/linkpics/111/111777_2.jpg";"http://www.gratwest.ru/linkpics/111/111777_3b.jpg";"http://www.gratwest.ru/linkpics/111/111777_4b.jpg";""
"Японские опыты Науки с Буки BONDIBON,  Электрическое сопротивление,  арт. 196454";"";"ВВ1140";"RUB";"618.00";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/UQkjgdm6yRc' frameborder='0' allowfullscreen=''></iframe>
<br>
Оказывается, электрический ток умеет сопротивляться! Чему? Об этом можно узнать в процессе научно-познавательных экспериментов, а попутно выяснить, что такое электропроводность, какие материалы хорошо проводят электричество, а какие не проводят вообще. А еще с помощью электричества можно собственноручно смастерить забавный музыкальный инструмент и даже проиграть на нем несколько простых мелодий! Отныне взрослые могут быть спокойны: зная о свойствах электрического тока, их любознательное чадо будет обращаться с электроприборами осторожно и аккуратно.
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON, Электрическое сопротивление, арт.196454</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON,  Электрическое сопротивление,  арт. 196454";"";"";"yaponskie-opyty-nauki-s-buki-bondibon--elektricheskoe-soprotivlenie--art-196454vv1140";"";"";"13x6x20.5";"";"";"";"http://www.gratwest.ru/linkpics/095/095751_2.jpg";"http://www.gratwest.ru/linkpics/095/095751_3b.jpg";"http://www.gratwest.ru/linkpics/095/095751_4b.jpg";""
"Французские опыты Науки с Буки Bondibon,  Весёлая генетика,  арт.  СМ059";"";"ВВ1544";"RUB";"547.80";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/D530iSIoh0w' frameborder='0' allowfullscreen=''></iframe>
<br>
Генетика – это очень интересная наука о способности организмов передавать свои признаки потомству, и о закономерностях появления таких признаков. Одним из основных понятий генетики является ДНК или дезоксирибонуклеиновая кислота. Это длинная молекула, содержащая генетическую информацию всех живых существ. Данный набор позволит ребенку произвести простой эксперимент для извлечения ДНК из фруктов – банана, винограда или клубники. Эксперимент продемонстрирует детям, как разорвать оболочку клетки растения и освободить ДНК, а также позволит увидеть и потрогать генетический материал. В состав набора входят подставка для колб, две колбы, два пластиковых стаканчика, воронка, щипцы, мерные ложечки, два пластиковых пакетика с многоразовой застежкой, четыре кофейных фильтра, иллюстрированная инструкция.
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Весёлая генетика, арт. СМ059</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Весёлая генетика,  арт.  СМ059";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--vesёlaya-genetika--art--sm059vv1544";"";"";"27x6x22.5";"";"";"";"http://www.gratwest.ru/linkpics/107/107944_2.jpg";"http://www.gratwest.ru/linkpics/107/107944_3b.jpg";"http://www.gratwest.ru/linkpics/107/107944_4b.jpg";""
"Французские опыты Науки с Буки Bondibon,  Большое путешествие,  арт.  КТ29NRU";"";"ВВ1059";"RUB";"1218.00";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/E_JXcZUqF5c' frameborder='0' allowfullscreen=''></iframe>
<br>
Открой секреты природы в большом путешествии! Стань настоящим туристом, который умеет ориентироваться на любой местности и днем, и ночью, научись наблюдать за животными и растениями. Все, что для этого необходимо. Есть в наборе «Большое путешествие» - бинокль, лупа, компас, фонарик.

Например, многие астрономы с мировым именем в свое время начинали открывать Вселенную с помощью этого простого инструмента! 
Телескоп очень прост в обращении и не требует особых навыков для использования. Ты легко поймешь, как через него наблюдать за небом, деревьями и людьми вокруг. А с помощью лупы изучишь самый маленький мир насекомых и растений, который тебе покажется большим и понятным. 

И, конечно же, никак без знаний сторон света, а тут без компаса никуда!
Следуй заданиям, которые предлагаются в наборе, проводи эксперименты, наблюдай и делай заметки, и ты станешь настоящим следопытом и путешественником! 
Получи заряд бодрости от солнца, общения с природой и свежего воздуха!
Для детей от 8 лет

 

			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Большое путешествие, арт. КТ29NRU</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Большое путешествие,  арт.  КТ29NRU";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--bolshoe-puteshestvie--art--kt29nruvv1059";"";"";"28x8x22.5";"";"";"";"http://www.gratwest.ru/linkpics/091/091094_2.jpg";"http://www.gratwest.ru/linkpics/091/091094_3b.jpg";"http://www.gratwest.ru/linkpics/091/091094_4b.jpg";""
"Французские опыты Науки с Буки,  BONDIBON,  Терракотовая армия (император/лошадь) ,  арт.   510279";"";"ВВ1358";"RUB";"496.80";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/egl2N4NsX6c' frameborder='0' allowfullscreen=''></iframe>
<br>
Настоящая терракотовая армия была создана в Китае еще до нашей эры – огромное количество статуй китайских воинов и их лошадей было захоронено вместе с китайским императором. Наборы «Терракотовая армия»  предназначены для маленьких любителей археологии. Взяв в руки археологические инструменты – долото и молоток, ребятам предстоит извлечь на свет фигурки из терракотовой армии. Приложите долото плоским концом к любому месту на гипсовой плите и аккуратно постукивайте молотком по тупому концу долото. Гипс будет откалываться, и спустя какое-то время, вы сможете извлечь из гипсовой плиты фигурки императора, императорского коня, генерала и лучника. Действовать инструментами нужно аккуратно и осторожно. В состав каждого набора входят гипсовая плита, долото, молоток, кисточка, губка и инструкция.

			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки, BONDIBON, Терракотовая армия (император/лошадь) , арт.  510279</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки,  BONDIBON,  Терракотовая армия (император/лошадь) ,  арт.   510279";"";"";"frantsuzskie-opyty-nauki-s-buki--bondibon--terrakotovaya-armiya-imperatorloshad---art---510279vv1358";"";"";"19x5x22.5";"";"";"";"http://www.gratwest.ru/linkpics/105/105378_2.jpg";"http://www.gratwest.ru/linkpics/105/105378_3b.jpg";"http://www.gratwest.ru/linkpics/105/105378_4b.jpg";""
"Французские опыты Науки с Буки,  BONDIBON,  СУПЕРСЫЩИК,  арт.   7101";"";"ВВ1861";"RUB";"1318.80";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/mLWPyI0wIJg' frameborder='0' allowfullscreen=''></iframe>
<br>
Набор позволит ребенку почувствовать себя настоящим детективом-криминалистом! Он узнает, как происходит процесс снятия отпечатков пальцев, обнаружения их на месте преступления, анализа и сравнения, как правильно отыскать улики и как составить фоторобот преступника, как оставить и расшифровать секретное сообщение. Все тайное всегда становится явным! В состав набора входят микроскоп, белый порошок (карбонат кальция), черный порошок (железные опилки), ручка с ультрафиолетовыми чернилами, ультрафиолетовая лампа,  штемпельная подушка, кисточка, 56 полосок для снятия отпечатков пальцев, 18 досье для регистрации отпечатков пальцев, 10 листов для составления фотороботов, образцы тканей, пипетка, лупа, пинцет, 2 листа фильтровальной бумаги, зеркальце, защитные очки, пара перчаток, буклет с описанием мер предосторожности и инструкция.


			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки, BONDIBON, СУПЕРСЫЩИК, арт.  7101</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки,  BONDIBON,  СУПЕРСЫЩИК,  арт.   7101";"";"";"frantsuzskie-opyty-nauki-s-buki--bondibon--supersyshchik--art---7101vv1861";"";"";"30.5x8x30.5";"";"";"";"http://www.gratwest.ru/linkpics/115/115222_2.jpg";"http://www.gratwest.ru/linkpics/115/115222_3b.jpg";"http://www.gratwest.ru/linkpics/115/115222_4b.jpg";""
"Французские опыты Науки с Буки Bondibon  Юный вундеркинд Водяная ракета ,  арт.  GK014";"";"ВВ0990";"RUB";"1137.00";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/-LTYjk4mBPc?list=PL7IgAu-GiRDAkKB7J4pWnJikf735gaJ2V' frameborder='0' allowfullscreen=''></iframe>
<br>
Давайте соберем РАКЕТУ!
Но использовать для ее запуска мы будем не космическое топливо, а обычную воду!
При использовании воды и сжатого воздуха ракета полетит почти как настоящая. Ребенок сможет регулировать дальность и высоту полета, ведь с помощью этого научно-познавательного набора он узнает такое понятие как давление воздуха, ознакомится с интересными материалами по устройству настоящих космических ракет. 
Так как ракету надо запускать только на улице, то это хороший повод собрать компанию друзей и блеснуть своими знаниями удивительных историй о работе космонавтов! 

			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon  Юный вундеркинд Водяная ракета , арт. GK014</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon  Юный вундеркинд Водяная ракета ,  арт.  GK014";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--yunyy-vunderkind-vodyanaya-raketa---art--gk014vv0990";"";"";"22x6x29";"";"";"";"http://www.gratwest.ru/linkpics/081/081984_2.jpg";"http://www.gratwest.ru/linkpics/081/081984_3b.jpg";"http://www.gratwest.ru/linkpics/081/081984_4b.jpg";""
"Французские опыты Науки с Буки,  BONDIBON,  Парфюмерная студия ,  арт.  WS/912";"";"ВВ1317";"RUB";"549.60";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/a_UNoFqPYJA' frameborder='0' allowfullscreen=''></iframe>
<br>
С помощью этого набора любая девочка сможет почувствовать себя настоящим мастером-парфюмером, ведь создание своих собственных духов – это настоящий творческий акт. В наборе уже присутствуют образцы основных духов, называемые «основные парфюмы», и на их основе можно создать уникальные смеси по персональному рецепту. Итоговая парфюмерная смесь станет вашим отличительным знаком. Также эти необычные духи можно подарить своим друзьям и близким! В наборе есть все необходимое для создания своего, ни на что не похожего аромата – пульверизатор, колбы, разнообразные прикладные материалы. Окунитесь с головой в мир парфюмерии!

			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки, BONDIBON, Парфюмерная студия , арт. WS/912</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки,  BONDIBON,  Парфюмерная студия ,  арт.  WS/912";"";"";"frantsuzskie-opyty-nauki-s-buki--bondibon--parfyumernaya-studiya---art--ws912vv1317";"";"";"13x5.5x21";"";"";"";"http://www.gratwest.ru/linkpics/104/104585_2.jpg";"http://www.gratwest.ru/linkpics/104/104585_3b.jpg";"http://www.gratwest.ru/linkpics/104/104585_4b.jpg";""
"Японские опыты Науки с Буки BONDIBON,  Биомимикрия,  арт. 196468";"";"ВВ1459";"RUB";"570.60";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON, Биомимикрия, арт.196468</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON,  Биомимикрия,  арт. 196468";"";"";"yaponskie-opyty-nauki-s-buki-bondibon--biomimikriya--art-196468vv1459";"";"";"19.5x4x22.5";"";"";"";"http://www.gratwest.ru/linkpics/106/106968_2.jpg";"http://www.gratwest.ru/linkpics/106/106968_3b.jpg";"http://www.gratwest.ru/linkpics/106/106968_4b.jpg";""
"Японские опыты Науки с Буки BONDIBON,  Фабрика чудес,  арт. 196438";"";"ВВ1454";"RUB";"566.40";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON, Фабрика чудес, арт.196438</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON,  Фабрика чудес,  арт. 196438";"";"";"yaponskie-opyty-nauki-s-buki-bondibon--fabrika-chudes--art-196438vv1454";"";"";"13x5.5x21";"";"";"";"http://www.gratwest.ru/linkpics/106/106963_2.jpg";"http://www.gratwest.ru/linkpics/106/106963_3b.jpg";"http://www.gratwest.ru/linkpics/106/106963_4b.jpg";""
"Французские опыты Науки с Буки Bondibon,  Электродвигатель,  арт.  3040";"";"ВВ1246";"RUB";"690.00";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/brAozcdd3IA' frameborder='0' allowfullscreen=''></iframe>
<br>
Используя этот набор, ребенок сможет изучить законы физики – взаимодействие магнитных поясов! С помощью деталей он построит движущуюся модель лодки, оснащенную настоящим электродвигателем, способным приводить в движение мотор и винт! Также, используя построенный магнитный электродвигатель, можно поставить множество интересных и занимательных опытов.
В состав набора входят 10 каркасных пластин, батарейный блок, 2 латунные щетки, 3 латунных каркасных контакта, 3 батарейный контакта, хвостовая втулка, фронтальная втулка, проставка, пропеллер, магнитная стрелка, наконечник фиксатора, ложка, основание двигателя, проволока, 2 магнита, шлифовальная шкурка на бумаге, инструкция.
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Электродвигатель, арт. 3040</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Электродвигатель,  арт.  3040";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--elektrodvigatel--art--3040vv1246";"";"";"26x5.5x22";"";"";"";"http://www.gratwest.ru/linkpics/099/099849_2.jpg";"http://www.gratwest.ru/linkpics/099/099849_3b.jpg";"http://www.gratwest.ru/linkpics/099/099849_4b.jpg";""
"Японские опыты Науки с Буки BONDIBON,  Полимеры,  арт. 196431";"";"ВВ1167";"RUB";"634.80";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/Ygal-c77VEw' frameborder='0' allowfullscreen=''></iframe>
<br>
Многие явления кажутся детям загадочными. Почему, например, полимерный шарик, опущенный в воду, увеличивается в размере, а детский подгузник, впитывая влагу, остается сухим? Как освежителю воздуха удается так долго источать аромат? На самом деле никаких загадок здесь нет – все дело в особенностях полимерных материалов, которые при этом используются. Что такое полимеры, каковы их свойства и где они применяются, юный исследователь узнает во время проведения интересных и познавательных опытов с цветными и прозрачными полимерными шариками.
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON, Полимеры, арт.196431</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON,  Полимеры,  арт. 196431";"";"";"yaponskie-opyty-nauki-s-buki-bondibon--polimery--art-196431vv1167";"";"";"13x6x21";"";"";"";"http://www.gratwest.ru/linkpics/096/096537_2.jpg";"http://www.gratwest.ru/linkpics/096/096537_3b.jpg";"http://www.gratwest.ru/linkpics/096/096537_4b.jpg";""
"Французские опыты Науки с Буки,  Bondibon,  Штучки-шипучки ,  арт.  WS/05L";"";"ВВ1032-1";"RUB";"967.80";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки, Bondibon, Штучки-шипучки , арт. WS/05L</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки,  Bondibon,  Штучки-шипучки ,  арт.  WS/05L";"";"";"frantsuzskie-opyty-nauki-s-buki--bondibon--shtuchki-shipuchki---art--ws05lvv1032-1";"";"";"27x7x27";"";"";"";"http://www.gratwest.ru/linkpics/122/122622_2.jpg";"http://www.gratwest.ru/linkpics/122/122622_3b.jpg";"http://www.gratwest.ru/linkpics/122/122622_4b.jpg";""
