Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Пирамида Петушок (средний шар)";"";"91003";"RUB";"269.00";"1";"";"";"";"Новая яркая игрушка — всегда радость для ребенка. А если эта игрушка еще и развивающая, то польза от игр будет двойная. Пирамида «Петушок» (средний шар) состоит из шести колец с яркими шариками. Навершие — голова петушка. Маленькому ребенку удобно будет с ней играть, нанизывать кольца на основание, разбирать и собирать снова.";"";"Пирамида Петушок (средний шар)";"";"";"piramida-petushok-sredniy-shar";"";"";"115.00 мм x 115.00 мм x 270.00 мм";"https://playdorado.ru/image/cache/data/91003-600x600.jpg";"https://playdorado.ru/image/cache/data/91003-1-600x600.jpg";"https://playdorado.ru/image/cache/data/91003-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Петушок (пазл)";"";"91008";"RUB";"279.00";"1";"";"";"";"Пирамида «Петушок» необычна тем, что каждое из ее шести колец разного размера состоит из трех элементов-пазлов. Игрушка предоставляет большой простор для фантазии ребенка и заставляет его подумать: собрать пирамидку не так просто, как кажется на первый взгляд. В производстве используются только безопасные для детей материалы и красители.";"";"Пирамида Петушок (пазл)";"";"";"piramida-petushok-pazl";"";"";"115.00 мм x 115.00 мм x 270.00 мм";"https://playdorado.ru/image/cache/data/91008-600x600.jpg";"https://playdorado.ru/image/cache/data/91008-1-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Петушок (большое кольцо)";"";"91012";"RUB";"335.00";"1";"";"";"";"Пирамида «Петушок» очень понравится маленьким детям. Яркие большие кольца привлекают внимание и притягивают детские ручки. Освоить навыки простейшего счета, различать цвета и размеры колец поможет эта игрушка. Пирамидки развивают мелкую моторику и координацию движений.";"";"Пирамида Петушок (большое кольцо)";"";"";"piramida-petushok-bolshoe-koltso";"";"";"150.00 мм x 150.00 мм x 280.00 мм";"https://playdorado.ru/image/cache/data/91012-600x600.jpg";"https://playdorado.ru/image/cache/data/91012-1-600x600.jpg";"https://playdorado.ru/image/cache/data/91012-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Матрешка малая";"";"92017";"RUB";"119.00";"1";"";"";"";"Как сделать игру ребенка не только веселой, но и полезной для его развития. Конечно, подарить пирамидку с деталями разных размеров. Пирамида «Матрешка малая» состоит из шести стаканов, которые можно компактно сложить в самый большой или собрать яркую башню. С помощью игрушки ребенок выучит четыре основных цвета.";"";"Пирамида Матрешка малая";"";"";"piramida-matreshka-malaya";"";"";"72.00 мм x 72.00 мм x 200.00 мм";"https://playdorado.ru/image/cache/data/92017-600x600.jpg";"https://playdorado.ru/image/cache/data/92017-1-600x600.jpg";"https://playdorado.ru/image/cache/data/92017-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Матрешка";"";"92016";"RUB";"350.00";"1";"";"";"";"Пирамида «Матрешка», в отличие от более традиционных пирамид с кольцами, очень удобна в хранении. Она состоит из 10 стаканчиков, которые складываются один в другой, образуя компактный предмет. Игрушку можно брать с собой на прогулку, играться в песочнице. Все материалы, из которых изготовлена пирамида, безопасны для ребенка.";"";"Пирамида Матрешка";"";"";"piramida-matreshka";"";"";"125.00 мм x 125.00 мм x 545.00 мм";"https://playdorado.ru/image/cache/data/92016-600x600.jpg";"https://playdorado.ru/image/cache/data/92016-1-600x600.jpg";"https://playdorado.ru/image/cache/data/92016-2-600x600.jpg";"https://playdorado.ru/image/cache/data/92016-3-600x600.jpg";"https://playdorado.ru/image/cache/data/92016-4-600x600.jpg";"https://playdorado.ru/image/cache/data/92016-5-600x600.jpg";"https://playdorado.ru/image/cache/data/92016-6-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Малышок";"";"91022";"RUB";"167.00";"1";"";"";"";"Пирамида «Малышок» предназначена для детей от 3-х лет. Она состоит из основания, на которое нанизываются пять разноцветных колец разного диаметра и навершия в виде шарика. Игрушки-пирамидки — это отличный способ развивать у ребенка мелкую моторику и логическое мышление.";"";"Пирамида Малышок";"";"";"piramida-malyshok";"";"";"95.00 мм x 95.00 мм x 145.00 мм";"https://playdorado.ru/image/cache/data/91022-600x600.jpg";"https://playdorado.ru/image/cache/data/91022-1-600x600.jpg";"https://playdorado.ru/image/cache/data/91022-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида малая Крокодил 6 колец";"";"13013";"RUB";"223.00";"1";"";"";"";"Познакомьте вашего ребенка с добрым крокодилом, подарив малышу пирамиду малую «Крокодил». С помощью нового друга ваше чадо научится различать цвета и размеры колец. Также игрушка поможет освоить первичный счет: 6 больших ярких колец отлично для этого подойдут. Пирамиды помогают в развитии координации движений.";"";"Пирамида малая Крокодил 6 колец";"";"";"piramida-malaya-krokodil-6-kolets";"";"";"95.00 мм x 95.00 мм x 200.00 мм";"https://playdorado.ru/image/cache/data/13013-600x600.jpg";"https://playdorado.ru/image/cache/data/13013-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13013-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида малая 5 колец";"";"13012";"RUB";"175.00";"1";"";"";"";"Пирамида «Малая» обязательно пригодится малышу для разных целей. Ее можно разбирать и собирать, учиться различать цвета и размеры и при желании даже погрызть зубками. Игрушка не содержит вредных для ребенка красителей, потому за безопасность малыша вы можете быть спокойны.";"";"Пирамида малая 5 колец";"";"";"piramida-malaya-5-kolets";"";"";"95.00 мм x 95.00 мм x 170.00 мм";"https://playdorado.ru/image/cache/data/13012-600x600.jpg";"https://playdorado.ru/image/cache/data/13012-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13012-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Летняя в ассортименте";"";"92018";"RUB";"237.00";"1";"";"";"";"В основе пирамиды «Летняя» заложен принцип «матрешки». Она состоит из десяти разноцветных стаканчиков разного размера, которые можно собрать один в один или построить из них яркую пирамиду. В сложенном виде пирамида компактна и ее удобно брать с собой на прогулку.";"";"Пирамида Летняя в ассортименте";"";"";"piramida-letnyaya-v-assortimente";"";"";"125.00 мм x 125.00 мм x 545.00 мм";"https://playdorado.ru/image/cache/data/92018-600x600.jpg";"https://playdorado.ru/image/cache/data/92018-1-600x600.jpg";"https://playdorado.ru/image/cache/data/92018-2-600x600.jpg";"https://playdorado.ru/image/cache/data/92018-3-600x600.jpg";"https://playdorado.ru/image/cache/data/92018-4-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Котофей";"";"91025";"RUB";"181.00";"1";"";"";"";"Пирамида «Котофей» в виде сидящего добряка-котика предназначена для самых маленьких деток. Три ярких кольца большого размера не потеряются. С пирамидой можно играть как дома, так и в песочнице. Пластик и красители, которые используются в производстве, безопасны для малыша, даже если он захочет попробовать детали на вкус.";"";"Пирамида Котофей";"";"";"piramida-kotofey";"";"";"130.00 мм x 130.00 мм x 170.00 мм";"https://playdorado.ru/image/cache/data/91025-600x600.jpg";"https://playdorado.ru/image/cache/data/91025-1-600x600.jpg";"https://playdorado.ru/image/cache/data/91025-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Котик (большое кольцо)";"";"91011";"RUB";"335.00";"1";"";"";"";"Пирамидки — одни из первых игрушек для малышей от трех лет. Пирамида «Котик» предназначена для самых маленьких детей. Она состоит всего из четырех колец большого размера и навершия в виде головы котенка. Игрушка развивает координацию движений ребенка, включает логическое мышление.";"";"Пирамида Котик (большое кольцо)";"";"";"piramida-kotik-bolshoe-koltso";"";"";"150.00 мм x 155.00 мм x 295.00 мм";"https://playdorado.ru/image/cache/data/91011-600x600.jpg";"https://playdorado.ru/image/cache/data/91011-1-600x600.jpg";"https://playdorado.ru/image/cache/data/91011-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Котёнок 7 колец";"";"13008";"RUB";"294.00";"1";"";"";"";"Дети уже нескольких поколений с удовольствием играют с пирамидками, первыми развивающими игрушками. Пирамида «Котенок» состоит из семи ярких колец, а ее навершие — голова милого котенка. Разбирая и собирая пирамиду, ребенок научится различать кольца по форме и цвету.
Отзывы о нашей продукции можете прочитать здесь";"";"Пирамида Котёнок 7 колец";"";"";"piramida-kotёnok-7-kolets";"";"";"120.00 мм x 120.00 мм x 280.00 мм";"https://playdorado.ru/image/cache/data/13008-600x600.jpg";"https://playdorado.ru/image/cache/data/13008-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13008-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Кот Барсик (средний шар)";"";"13006";"RUB";"419.00";"1";"";"";"";"Какой ребенок не любит милых котиков. Если малыш обожает животных, подарите ему пирамиду «Кот Барсик» (средний шар). Игрушка в виде фигурки котика состоит из разноцветных шести колец с шариками. Барсик научит ребенка, как отличать размеры и цвета деталей пирамиды и собирать ее.";"";"Пирамида Кот Барсик (средний шар)";"";"";"piramida-kot-barsik-sredniy-shar";"";"";"120.00 мм x 120.00 мм x 290.00 мм";"https://playdorado.ru/image/cache/data/13006-600x600.jpg";"https://playdorado.ru/image/cache/data/13006-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13006-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Клоун (средний шар)";"";"91001";"RUB";"269.00";"1";"";"";"";"Добрый клоун в шляпе и костюме из шести разноцветных колец с шариками — это пирамида «Клоун» (средний шар). Кольца с шарами более удобны для маленьких ручек ребенка. Пирамиды — одни из лучших игрушек для раннего развития ребенка, координации его движений и логического мышления. У любого малыша должна быть пирамидка.";"";"Пирамида Клоун (средний шар)";"";"";"piramida-kloun-sredniy-shar";"";"";"115.00 мм x 115.00 мм x 260.00 мм";"https://playdorado.ru/image/cache/data/91001-600x600.jpg";"https://playdorado.ru/image/cache/data/91001-1-600x600.jpg";"https://playdorado.ru/image/cache/data/91001-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
