Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Кукла Снежинка (37см)";"";"10112";"RUB";"1183.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Состав: пластик, пвх.
	Упаковка: картонная коробка блистерного типа.
	Страна обладатель бренда: Россия.

	Практически все маленькие девочки на Новый год наряжаются в костюм снежинки. Теперь Снежинка сама может прийти в гости к вашей малышке и даже поиграть с ней. Красивые белые локоны, мягкая шубка и теплая шапочка, так и манят к себе. Игрушку хочется трогать, прижимать и бесконечно играть с ней.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Снежинка (37см)";"";"";"kukla-snezhinka-37sm";"";"";"170.00 мм x 100.00 мм x 360.00 мм";"https://playdorado.ru/image/cache/data/Catalog/%D0%BA%D1%83%D0%BA%D0%BB%D1%8B/10112-600x600.png";"https://playdorado.ru/image/cache/data/Catalog/%D0%BA%D1%83%D0%BA%D0%BB%D1%8B/10112-600x600.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Снегурочка (37см)";"";"10111";"RUB";"1284.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Состав: пластик, пвх.
	Упаковка: картонная коробка блистерного типа.
	Страна обладатель бренда: Россия.

	Кукла Снегурочка — настоящее воплощение волшебства, праздника и искренней радости. Синяя шубка с белыми снежинками и меховой окантовкой приведет в восторг любого ребенка, ведь именно этого персонажа дети так ждут, и верят, что он помогает осуществить мечты.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Снегурочка (37см)";"";"";"kukla-snegurochka-37sm";"";"";"170.00 мм x 100.00 мм x 360.00 мм";"https://playdorado.ru/image/cache/data/10111-600x600.jpg";"https://playdorado.ru/image/cache/data/Catalog/%D0%BA%D1%83%D0%BA%D0%BB%D1%8B/10111-600x600.png";"https://playdorado.ru/image/cache/data/10111-1-600x600.jpg";"https://playdorado.ru/image/cache/data/10111-2-600x600.jpg";"https://playdorado.ru/image/cache/data/10111-3-600x600.jpg";"https://playdorado.ru/image/cache/data/10111-4-600x600.jpg";"https://playdorado.ru/image/cache/data/10111-5-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Светочка (30 см)";"";"10080";"RUB";"891.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Состав: пластизоль, пластмасса, текстиль.
	Страна: Россия.
	Упаковка: картонная коробка блистерного типа.

	Милая кукла Светочка в ярком сиреневом платьице с оборочками, такая нежная и желанная для многих девочек. Игрушка бережно упакована в полупрозрачную коробку, что оберегает ее от пыли и придает праздничное настроение.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Светочка (30 см)";"";"";"kukla-svetochka-30-sm";"";"";"170.00 мм x 70.00 мм x 300.00 мм";"https://playdorado.ru/image/cache/data/product_img/svetochka-600x600.JPG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Сашенька (37 см)";"";"10046";"RUB";"1060.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Комплект: пупс, костюм, шапочка.
	Состав: высококачественный  пвх, текстиль.
	Страна: Россия.

	Кукла Сашенька — это маленькое чудо, которое так хочется прижать и приласкать, как настоящего младенца. Одета Сашенька в синий костюмчик, состоящий из комбинезона и озорной шапочки, которые можно легко снимать и надевать.";"";"Кукла Сашенька (37 см)";"";"";"kukla-sashenka-37-sm";"";"";"170.00 мм x 70.00 мм x 370.00 мм";"https://playdorado.ru/image/cache/data/_________________4de4c2ac7a2ac-600x600.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Римма (45 см)";"";"10059";"RUB";"1399.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Комплект: кукла в наряде.
	Состав: пластизоль, пластмасса, текстиль.
	Страна производитель: Россия.
	Упаковка: коробка.
	Страна: Россия.

	Кукла Римма основательно подготовилась к зиме. Она надела свою самую красивую шубку с помпонами, а на голову – повязку, такую же мягкую и пушистую. На ножках у нее белые сапожки, украшенные снежинками, ей так не терпится погулять с вашей девочкой.

	Внимание. Цветовое исполнение элементов одежки и куклы (оттенок глаз, волос) варьируется, может отличаться от фотографии.";"";"Кукла Римма (45 см)";"";"";"kukla-rimma-45-sm";"";"";"170.00 мм x 70.00 мм x 450.00 мм";"https://playdorado.ru/image/cache/data/_________________50a641944c5ab-600x600.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Регина (45 см)";"";"10060";"RUB";"1372.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Комплект: кукла в наряде.
	Состав: пластизоль, пластмасса, текстиль.
	Страна: Россия.
	Упаковка: коробка.
        Страна: Россия.
Кукла Регина — это настоящая принцесса, которая когда-то жила в огромном замке, а сейчас ей очень хочется, чтобы с нею подружилась маленькая добрая девочка. Регина одета в пестрое платье, которое прекрасно подходит для пышного бала или званого ужина.
Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Регина (45 см)";"";"";"kukla-regina-45-sm";"";"";"170.00 мм x 70.00 мм x 450.00 мм";"https://playdorado.ru/image/cache/data/10060-600x600.jpg";"https://playdorado.ru/image/cache/data/10060-2-600x600.jpg";"https://playdorado.ru/image/cache/data/10060-3-600x600.jpg";"https://playdorado.ru/image/cache/data/10060-4-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Оленька (47 см)";"";"10005";"RUB";"1050.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Состав: пластик, пвх.
	Упаковка: картонная коробка блистерного типа.
	Страна обладатель бренда: Россия.

	Стоит вам только взглянуть на куклу Оленьку, как вы сразу же полюбите эту милую крохотную девочку. На ней надет нежно-розовый наряд, а в волосах красуются два чудесных бантика.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Оленька (47 см)";"";"";"kukla-olenka-47-sm";"";"";"170.00 мм x 70.00 мм x 470.00 мм";"https://playdorado.ru/image/cache/data/10005-600x600.jpg";"https://playdorado.ru/image/cache/data/10005-1-600x600.jpg";"https://playdorado.ru/image/cache/data/10005-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Оксана (45 см)";"";"10057";"RUB";"1318.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Комплект: кукла в одежде.
	Состав: пластик, текстиль, картон.
	Упаковка: картонная коробка.
	Страна : Россия.

	Кукла Оксана надела красивый осенний наряд, который ей очень идет. Блестящие белые волосы собрала в два игривых хвостика. Оксана — очень веселая, высокая и стройная кукольная девочка, она с нетерпением ждет, когда за нею придет ее будущая «мама».

	Внимание. Цветовое исполнение элементов одежки и куклы (оттенок глаз, волос) варьируется, может отличаться от фотографии.";"";"Кукла Оксана (45 см)";"";"";"kukla-oksana-45-sm";"";"";"170.00 мм x 70.00 мм x 450.00 мм";"https://playdorado.ru/image/cache/data/_________________50a6451aeba6a-600x600.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Ника (22см)";"";"10093";"RUB";"503.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Комплект: пупс, платье.
	Состав: высококачественный  пвх, текстиль.
	Страна: Россия.

	Любой маленькой озорнице придется по вкусу милая кукла Ника, одетая в светло-голубой комбинезон. Задорные хвостики придают кукле совершенно очаровательный вид. Кукла сделана из нетоксичных материалов и не принесет здоровью ребенка вреда. При желании прическу куклы можно изменить.";"";"Кукла Ника (22см)";"";"";"kukla-nika-22sm";"";"";"100.00 мм x 55.00 мм x 220.00 мм";"https://playdorado.ru/image/cache/data/10093-600x600.jpg";"https://playdorado.ru/image/cache/data/10093-1-600x600.jpg";"https://playdorado.ru/image/cache/data/10093-2-600x600.jpg";"https://playdorado.ru/image/cache/data/10093-3-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Невеста  (30 см)";"";"10079";"RUB";"1058.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Состав: пластик, текстиль.
	Упаковка: коробка блистерного типа.
	Страна: Россия.

	Кукла «Невеста» покорит сердца всех малышек, ведь каждая девочка мечтает стать красивой невестой в пышном белом платье. Обладательница этой прелестной игрушки сможет переодевать куклу и делать ей разнообразные прически.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Невеста  (30 см)";"";"";"kukla-nevesta--30-sm";"";"";"170.00 мм x 70.00 мм x 300.00 мм";"https://playdorado.ru/image/cache/data/10079-600x600.jpg";"https://playdorado.ru/image/cache/data/10079-1-600x600.jpg";"https://playdorado.ru/image/cache/data/10079-2-600x600.jpg";"https://playdorado.ru/image/cache/data/10079-3-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Наташа (говорящая 10 фраз, 47 см)";"";"10104";"RUB";"1399.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Состав: пластик, пвх.
	Упаковка: картонная коробка блистерного типа.
	Страна обладатель бренда: Россия.

	Куколка Наташа — приятная собеседница, которая умело поддержит беседу и расскажет что-нибудь интересное. Она произносит 10 фраз. Наташа  обладает хорошим вкусом и отличается изысканным стилем — она одета в клетчатую рубашку и комбинацию из розового жилета и джинсы. На ножках — розовые сандалики. А ее шикарные белые волосы прекрасно подойдут для заплетания разных кос и хвостиков. Волосы прошивные. Туловище и ноги игрушки выполнены из пластмассы, лицо и руки — из ПВХ, что придает ей особую живость и реалистичность. Кукла умеет открывать и закрывать глаза.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Наташа (говорящая 10 фраз, 47 см)";"";"";"kukla-natasha-govoryashchaya-10-fraz-47-sm";"";"";"170.00 мм x 70.00 мм x 470.00 мм";"https://playdorado.ru/image/cache/data/_________________4d678311e954b-600x600.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Наденька (47 см)";"";"10004";"RUB";"1232.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Состав: пластик, пвх.
	Упаковка: картонная коробка блистерного типа.
	Страна обладатель бренда: Россия.

	Кукла Наденька сегодня надела свое самое нарядное голубое платье, украшенное резными снежинками. Она тщательно подготовилась к встрече со своей маленькой «мамой». Большие красивые глазки доверчиво ждут того момента, когда Наденьку возьмут на ручки и станут с нею играть.

	Внимание. Товар представлен в ассортименте без возможности выбора. Стоимость указана за 1 куклу. Цветовое исполнение элементов может отличаться от изображения на фото.";"";"Кукла Наденька (47 см)";"";"";"kukla-nadenka-47-sm";"";"";"170.00 мм x 70.00 мм x 470.00 мм";"https://playdorado.ru/image/cache/data/10004-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Мила (говорящая 10 фраз, 47 см)";"";"10100";"RUB";"1399.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Состав: пластик, пвх.
	Упаковка: картонная коробка блистерного типа.
	Страна обладатель бренда: Россия.

	Нарядная и такая очаровательная кукла Мила умеет разговаривать и моргать длинными ресничками. Она обязательно понравится вашей девочке и станет ее любимой игрушкой. Пушистые белые волосы легко расчесывать и заплетать, их можно собрать в хвостики или задорные косички.

	Внимание. Оттенок костюма может варьироваться по усмотрению производителя (нежно-розовый и розовый).";"";"Кукла Мила (говорящая 10 фраз, 47 см)";"";"";"kukla-mila-govoryashchaya-10-fraz-47-sm";"";"";"170.00 мм x 70.00 мм x 470.00 мм";"https://playdorado.ru/image/cache/data/_________________4d5ea5978f1d3-600x600.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Медсестра (47 см)";"";"10012";"RUB";"979.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Комплект: кукла в наряде, аксессуары.
	Состав: пластизоль, пластмасса, текстиль.
	Страна: Россия.
	Упаковка: картонная коробка блистерного типа.

	Кукла «Медсестра» подготовилась к важному мероприятию. Она знает, что скоро ее заберет домой ваша девочка, и они будут играть в увлекательную сюжетно-ролевую игру. Именно поэтому «Медсестра» надела свой красивый белый халатик и косыночку, ожидая указаний своего врача.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Медсестра (47 см)";"";"";"kukla-medsestra-47-sm";"";"";"170.00 мм x 70.00 мм x 470.00 мм";"https://playdorado.ru/image/cache/data/_________________4d49022be5c91-600x600.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Машенька (30см)";"";"10077";"RUB";"820.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Комплект: кукла, аксессуары.
	Состав: высококачественный пластик, текстиль.
	Упаковка: картонная коробка блистерного типа.
	Страна: Россия.

	Удивительно нежная, милая кукла Машенька непременно порадует каждую девочку. Она имеет подвижные ручки и ножки, может поворачивать голову и моргать ресничками. Кукла одета в нежно-розовый костюм с кружевом, а белые роскошные локоны собраны оригинальным ободком.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Машенька (30см)";"";"";"kukla-mashenka-30sm";"";"";"170.00 мм x 70.00 мм x 300.00 мм";"https://playdorado.ru/image/cache/data/product_img/mashenka-600x600.JPG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Марта (36 см)";"";"10072";"RUB";"1226.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Комплект: кукла в наряде, вешалки.
	Состав: пластизоль, пластмасса, текстиль.
	Страна: Россия.
	Упаковка: коробка-шкаф.

	Кукла Марта может стать доброй и интересной подружкой для маленькой девочки. Она красиво одета в полосатую тунику и белую курточку, а стройные ножки куклы обтягивают яркие лосины.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Марта (36 см)";"";"";"kukla-marta-36-sm";"";"";"170.00 мм x 100.00 мм x 360.00 мм";"https://playdorado.ru/image/cache/data/10072-600x600.jpg";"https://playdorado.ru/image/cache/data/10072-1-600x600.jpg";"https://playdorado.ru/image/cache/data/10072-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Марина (говорящая 10 фраз, 47 см)";"";"10105";"RUB";"1399.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Состав: пластик, пвх.
	Упаковка: картонная коробка блистерного типа.
	Страна обладатель бренда: Россия.

	Говорящая кукла Марина очень хочет подружиться с вашей девочкой. Она выросла совсем большая и уже научилась разговаривать, поэтому станет прекрасной собеседницей. Она одета в красный костюм, а в волосах ее красуется милый бантик.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Марина (говорящая 10 фраз, 47 см)";"";"";"kukla-marina-govoryashchaya-10-fraz-47-sm";"";"";"170.00 мм x 70.00 мм x 470.00 мм";"https://playdorado.ru/image/cache/data/10105-600x600.jpg";"https://playdorado.ru/image/cache/data/10105-1-600x600.jpg";"https://playdorado.ru/image/cache/data/10105-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Маленькая медсестра (30 см)";"";"10076";"RUB";"736.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Комплект: кукла в наряде, аксессуары.
	Состав: пластизоль, пластмасса, текстиль.
	Страна: Россия.
	Упаковка: картонная коробка блистерного типа.

	Кукла «Маленькая медсестра» — это мечта многих девочек. Игры в доктора очень популярны у детей всех поколений, поэтому вашей девочке обязательно понравится игрушка, одетая в белый халатик и шапочку с красным крестиком.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Маленькая медсестра (30 см)";"";"";"kukla-malenkaya-medsestra-30-sm";"";"";"170.00 мм x 70.00 мм x 300.00 мм";"https://playdorado.ru/image/cache/data/product_img/nurse-600x600.JPG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Майя (36 см)";"";"10070";"RUB";"1226.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Комплект: кукла в наряде.
	Состав: пластизоль, пластмасса, текстиль.
	Страна : Россия.
	Упаковка: коробка.

	Кукла Майя располагает к себе приятной внешностью и красивым нарядом. На ней прекрасно смотрятся белые леггинсы, обтягивающая маечка и пышная пестрая юбка. Волосы аккуратно собраны в пучок, но если их распустить, то можно сделать любую другую красивую прическу.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Майя (36 см)";"";"";"kukla-mayya-36-sm";"";"";"170.00 мм x 100.00 мм x 360.00 мм";"https://playdorado.ru/image/cache/data/10070-600x600.jpg";"https://playdorado.ru/image/cache/data/10070-1-600x600.jpg";"https://playdorado.ru/image/cache/data/10070-2-600x600.jpg";"https://playdorado.ru/image/cache/data/10070-3-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Любочка (30 см)";"";"10075";"RUB";"699.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Состав: пластик, текстиль.
	Упаковка: коробка блистерного типа.
	Страна: Россия.

	Милая и нарядная кукла Любочка очень ждет, пока ее заберет хозяйка. Она доверчиво распахнула свои пышные ресницы, зная, что вот-вот с нею поиграет маленькая девочка. Игрушка выполнена из мягкой пластмассы, поэтому ее приятно держать в руках, переодевать и купать. Доставка по всей России.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Любочка (30 см)";"";"";"kukla-lyubochka-30-sm";"";"";"170.00 мм x 70.00 мм x 300.00 мм";"https://playdorado.ru/image/cache/data/10075-600x600.jpg";"https://playdorado.ru/image/cache/data/10075-1-600x600.jpg";"https://playdorado.ru/image/cache/data/10075-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Любава (22см)";"";"10095";"RUB";"480.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Комплект: пупс, платье.
	Состав: высококачественный  пвх, текстиль.
	Страна: Россия.

	Кукла Любава — отличный подарок любой девочке. Очаровательная кукла с милым трогательным личиком одета в нарядное платьице и имеет густые каштановые волосы. Игрушка выполнена из гипоаллергенных материалов и совершенно безопасна для здоровья ребенка.";"";"Кукла Любава (22см)";"";"";"kukla-lyubava-22sm";"";"";"100.00 мм x 55.00 мм x 220.00 мм";"https://playdorado.ru/image/cache/data/10095-600x600.jpg";"https://playdorado.ru/image/cache/data/10095-1-600x600.jpg";"https://playdorado.ru/image/cache/data/10095-2-600x600.jpg";"https://playdorado.ru/image/cache/data/10095-3-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Лилия (45 см)";"";"10056";"RUB";"1399.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Комплект: кукла в наряде.
	Состав: пластизоль, пластмасса, текстиль.
	Страна производитель: Россия.
	Упаковка: коробка.
	Страна: Россия.

	Кукла Лилия — это настоящая принцесса. На ней надето шикарное длинное платье, расшитое кружевом, а голову украшает тонкий ободок с бантом. Волосы кукольной принцессы распущены и аккуратно причесаны, ваша девочка сможет заплести их так, как ей захочется. Ваш ребенок будет в восторге.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Лилия (45 см)";"";"";"kukla-liliya-45-sm";"";"";"170.00 мм x 70.00 мм x 450.00 мм";"https://playdorado.ru/image/cache/data/_________________50ab1761c6220-600x600.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Лиза (30 см)";"";"10089";"RUB";"949.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Состав: пластизоль, пластмасса, текстиль.
	Страна: Россия.
	Упаковка: картонная коробка блистерного типа.

	Маленькая кукла Лиза может стать любимицей любой девочки. Эта модница надела осенний наряд и прихватила с собой сумочку, как будто собираясь на прогулку. В синем плаще с широким капюшоном Лизе не страшен дождик.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Лиза (30 см)";"";"";"kukla-liza-30-sm";"";"";"170.00 мм x 70.00 мм x 300.00 мм";"https://playdorado.ru/image/cache/data/product_img/liza-600x600.JPG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Лерочка (47 см)";"";"10010";"RUB";"1296.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Состав: пластик, пвх.
	Упаковка: картонная коробка блистерного типа.
	Страна обладатель бренда: Россия.

	Кукла Лерочка собралась на зимнюю прогулку, у нее для этого есть все необходимое — теплая шубка, шарф с помпонами и мягкая шапочка. Если ваша девочка захочет ее переодеть, то она легко сможет это сделать. Лерочку можно купать и расчесывать, заплетать ей волосы и играть с ней в различные игры.

	Внимание. Товар представлен в ассортименте без возможности выбора. Стоимость указана за 1 куклу. Цветовое исполнение элементов может отличаться от изображения на фото.";"";"Кукла Лерочка (47 см)";"";"";"kukla-lerochka-47-sm";"";"";"170.00 мм x 70.00 мм x 470.00 мм";"https://playdorado.ru/image/cache/data/_________________4c7fa3d9c7f0a-600x600.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Ксюша (30 см)";"";"10088";"RUB";"781.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Состав: пластик, текстиль.
	Упаковка: коробка блистерного типа.
	Страна: Россия.

	Красивая кукла Ксюша так похожа на настоящую девочку, что с нею хочется играть, не переставая. Белые волосы уложены крупными волнами. Пышный наряд можно легко снимать, переодевая куклу в любые другие платьица.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Ксюша (30 см)";"";"";"kukla-ksyusha-30-sm";"";"";"170.00 мм x 70.00 мм x 300.00 мм";"https://playdorado.ru/image/cache/data/product_img/ksusha-600x600.JPG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Кристина (55 см)";"";"10151";"RUB";"1399.00";"1";"";"";"";"Для детей 3+

	Кукла Кристина очень хочет погулять с настоящей девочкой. Она готова к прогулке и уже надела красивую блестящую курточку красного цвета. Комплект ей составляют брюки в крупную клетку и такой же расцветки стильный беретик.";"";"Кукла Кристина (55 см)";"";"";"kukla-kristina-55-sm";"";"";"170.00 мм x 70.00 мм x 550.00 мм";"https://playdorado.ru/image/cache/data/_________________4de4c1d062806-600x600.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Красная шапочка (47 см)";"";"10025";"RUB";"1301.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Состав: пластик, пвх.
	Упаковка: картонная коробка блистерного типа.
	Страна обладатель бренда: Россия.

	Сегодня Красная шапочка не идет в гости к бабушке — она ждет, пока ее заберут домой. Высокая красивая куколка в белоснежной блузке и фартуке, доверчиво смотрит в глаза и хочет, чтобы с нею поиграли.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Красная шапочка (47 см)";"";"";"kukla-krasnaya-shapochka-47-sm";"";"";"170.00 мм x 70.00 мм x 470.00 мм";"https://playdorado.ru/image/cache/data/_________________4d4c0a2fa427d-600x600.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Кира (36 см)";"";"10069";"RUB";"1226.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Комплект: кукла в наряде.
	Состав: пластизоль, пластмасса, текстиль.
	Страна: Россия.
	Упаковка: коробка.

	Очаровательная кукла Кира подготовилась к холодам. На ней надет теплый свитер, брючки и стильная шапочка. Ножки тоже не замерзнут, потому что они обуты в мягкие сапожки.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Кира (36 см)";"";"";"kukla-kira-36-sm";"";"";"170.00 мм x 100.00 мм x 360.00 мм";"https://playdorado.ru/image/cache/data/10069-600x600.jpg";"https://playdorado.ru/image/cache/data/10069-1-600x600.jpg";"https://playdorado.ru/image/cache/data/10069-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Катюша (55 см)";"";"10152";"RUB";"1341.00";"1";"";"";"";"Для детей 3+

	Кукла Катюша любит веселые игры и очень хочет погулять за ручку с маленькой девочкой. Она одета в очень красивое легкое красное платье с белыми горошками, а на ножках у Катюши красуются белые носочки и красные туфельки.";"";"Кукла Катюша (55 см)";"";"";"kukla-katyusha-55-sm";"";"";"170.00 мм x 70.00 мм x 550.00 мм";"https://playdorado.ru/image/cache/data/10152-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Иринка (47 см)";"";"10015";"RUB";"1054.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Комплект: кукла в наряде.
	Состав: пластизоль, пластмасса, текстиль.
	Страна : Россия.
	Упаковка: коробка.

	Кукла Иринка — высокая и стройная кукольная девочка с огромными голубыми глазами. На ней надет прекрасный прогулочный наряд розового цвета, состоящий из короткого платьица и свободных штанишек. В шикарные волосы вплетены два белых бантика, которые придают кукле игривости.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Иринка (47 см)";"";"";"kukla-irinka-47-sm";"";"";"170.00 мм x 70.00 мм x 470.00 мм";"https://playdorado.ru/image/cache/data/10015-600x600.jpg";"https://playdorado.ru/image/cache/data/10015-2-600x600.jpg";"https://playdorado.ru/image/cache/data/10015-3-600x600.jpg";"https://playdorado.ru/image/cache/data/10015-4-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Злата (47 см)";"";"10013";"RUB";"1329.00";"1";"";"";"";"Возраст: для детей от 3 лет
	Для девочек
	Состав: пластик, пвх.
	Упаковка: картонная коробка блистерного типа.
	Страна обладатель бренда: Россия.

	Кукла Злата очень любит играть на гитаре, и с удовольствием научит этому мастерству свою будущую маленькую хозяйку. На ней надет джинсовый голубой костюм и розовая кофточка, но хорошая гибкость игрушки дает возможность менять наряды в зависимости от настроения.

	Внимание. Цветовое исполнение элементов игрушки варьируется, может отличаться от представленного на фото.";"";"Кукла Злата (47 см)";"";"";"kukla-zlata-47-sm";"";"";"170.00 мм x 70.00 мм x 470.00 мм";"https://playdorado.ru/image/cache/data/_________________4f95503864d53-600x600.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
