Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;Изображения
"Медвежонок Ники в футболке с блестящим сердцем";"";"8786A";"RUB";"299";"1";"599";"";"";"";"";"Медвежонок Ники в футболке с блестящим сердцем";"";"";"medvezhonok-niki-v-futbolke-s-blestyashchim-serdtsem";"";"";"Высота: 21,5 см";"http://www.lavatoys.ru/media/thumbs/e3/59/e359516d5993429c7165c04a515b4423.jpg"
"Медвежонок Ники в синей кофточке с бантиками";"";"8786L";"RUB";"299";"1";"599";"";"";"";"";"Медвежонок Ники в синей кофточке с бантиками";"";"";"medvezhonok-niki-v-siney-koftochke-s-bantikami";"";"";"Высота: 21,5 см";"http://www.lavatoys.ru/media/thumbs/b9/b3/b9b3bd274a0e15b54653ae1164c4ccf1.jpg"
"Медвежонок Ники в свитере с блёстками";"";"8786F";"RUB";"299";"1";"599";"";"";"";"";"Медвежонок Ники в свитере с блёстками";"";"";"medvezhonok-niki-v-svitere-s-blёstkami";"";"";"Высота: 21,5 см";"http://www.lavatoys.ru/media/thumbs/ed/95/ed95dee9a33880c78bd6dfc5e7a0a21b.jpg"
"Медвежонок Ники в матроске с якорем";"";"8786B";"RUB";"299";"1";"599";"";"";"";"";"Медвежонок Ники в матроске с якорем";"";"";"medvezhonok-niki-v-matroske-s-yakorem";"";"";"Высота: 21,5 см";"http://www.lavatoys.ru/media/thumbs/36/3d/363d68e984ec97ca07b9baf8badff582.jpg"
"!!Медвежонок Сэмми";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Медвежонок Сэмми с ромашками";"";"8733E";"RUB";"199";"1";"369";"";"";"";"";"Медвежонок Сэмми с ромашками";"";"";"medvezhonok-semmi-s-romashkami";"";"";"Высота: 18 см";"http://www.lavatoys.ru/media/thumbs/d8/02/d8020811edee185cf316be3dffe6eb97.jpg"
"Медвежонок Сэмми с незабудками";"";"8733S";"RUB";"199";"1";"369";"";"";"";"";"Медвежонок Сэмми с незабудками";"";"";"medvezhonok-semmi-s-nezabudkami";"";"";"Высота: 17,5 см";"http://www.lavatoys.ru/media/thumbs/24/92/249212ee287151b6118e2f66b2b720ab.jpg"
"Медвежонок Сэмми с нарциссами";"";"8733T";"RUB";"199";"1";"369";"";"";"";"";"Медвежонок Сэмми с нарциссами";"";"";"medvezhonok-semmi-s-nartsissami";"";"";"Высота: 17,5 см";"http://www.lavatoys.ru/media/thumbs/26/2b/262b41b265ec6e208978ba74fc1a9ed8.jpg"
"Медвежонок Сэмми с маками";"";"8733G";"RUB";"199";"1";"369";"";"";"";"";"Медвежонок Сэмми с маками";"";"";"medvezhonok-semmi-s-makami";"";"";"Высота: 18 см";"http://www.lavatoys.ru/media/thumbs/e6/b6/e6b6af38437f428d36476179e738b30b.jpg"
"Медвежонок Сэмми с красной каллой";"";"8733N";"RUB";"199";"1";"369";"";"";"";"";"Медвежонок Сэмми с красной каллой";"";"";"medvezhonok-semmi-s-krasnoy-kalloy";"";"";"Высота: 17,5 см";"http://www.lavatoys.ru/media/thumbs/35/b8/35b88be3fecd5b7843f752c6fe8ce117.jpg"
"Медвежонок Сэмми с ирисом";"";"8733M";"RUB";"199";"1";"369";"";"";"";"";"Медвежонок Сэмми с ирисом";"";"";"medvezhonok-semmi-s-irisom";"";"";"Высота: 17,5 см";"http://www.lavatoys.ru/media/thumbs/00/70/0070676d3ba83f148ea6e590e7f84ffd.jpg"
"Медвежонок Сэмми с гвоздиками";"";"8733Q";"RUB";"199";"1";"369";"";"";"";"";"Медвежонок Сэмми с гвоздиками";"";"";"medvezhonok-semmi-s-gvozdikami";"";"";"Высота: 17,5 см";"http://www.lavatoys.ru/media/thumbs/4f/5a/4f5a6f46c9c2d373ffd00e6ac98ea79f.jpg"
"Медвежонок Сэмми с васильками";"";"8733F";"RUB";"199";"1";"369";"";"";"";"";"Медвежонок Сэмми с васильками";"";"";"medvezhonok-semmi-s-vasilkami";"";"";"Высота: 18 см";"http://www.lavatoys.ru/media/thumbs/3f/92/3f92eb1638b0f18c7aa511fe2488d52d.jpg"
"Медвежонок Сэмми в кофточке с декоративным сердечком";"";"8733J";"RUB";"199";"1";"369";"";"";"";"";"Медвежонок Сэмми в кофточке с декоративным сердечком";"";"";"medvezhonok-semmi-v-koftochke-s-dekorativnym-serdechkom";"";"";"Высота: 18 см";"http://www.lavatoys.ru/media/thumbs/2a/6c/2a6cb4bb5c789a16ab903be5292d21fd.jpg"
"Медвежонок Сэмми в клетчатых штанишках";"";"8733A";"RUB";"199";"1";"369";"";"";"";"";"Медвежонок Сэмми в клетчатых штанишках";"";"";"medvezhonok-semmi-v-kletchatykh-shtanishkakh";"";"";"Высота: 18 см";"http://www.lavatoys.ru/media/thumbs/ee/83/ee83aeb881010168e108f8c1034fa71d.jpg"
"!!Морские животные";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Нерпа";"";"1196";"RUB";"199";"1";"399";"";"";"";"";"Нерпа";"";"";"nerpa";"";"";"Высота: 25 см";"http://www.lavatoys.ru/media/thumbs/e5/e8/e5e84a378bbcdfbad71ff2389853cc5e.jpg"
"Дельфин";"";"1163";"RUB";"199";"1";"399";"";"";"";"";"Дельфин";"";"";"delfin";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/f5/f6/f5f656d3cb7933dd1b260cf69b393da8.jpg"
"Белёк";"";"8773";"RUB";"399";"1";"599";"";"";"";"";"Белёк";"";"";"belёk";"";"";"Высота: 34 см";"http://www.lavatoys.ru/media/thumbs/3c/89/3c89b5af90e15a543b7b881339682a9c.jpg"
"!!Морские свинки";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Морская свинка";"";"1244";"RUB";"169";"1";"399";"";"";"";"";"Морская свинка";"";"";"morskaya-svinka";"";"";"Высота: 18 см";"http://www.lavatoys.ru/media/thumbs/ef/d4/efd4154aa5e16f326c0822cf4ca477b0.jpg"
"!!Насекомые";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пчёлка малая";"";"8594";"RUB";"299";"1";"399";"";"";"";"";"Пчёлка малая";"";"";"pchёlka-malaya";"";"";"Высота: 18,5 см";"http://www.lavatoys.ru/media/thumbs/b4/06/b40667fcee5a49b95b071a9b7c909d7f.jpg"
"Божья коровка в штанишках малая";"";"8462A";"RUB";"319";"1";"";"";"";"";"";"Божья коровка в штанишках малая";"";"";"bozhya-korovka-v-shtanishkakh-malaya";"";"";"Высота: 20 см";"http://www.lavatoys.ru/media/thumbs/2b/33/2b33251cc49ce6ad5ba7a40e61fb6436.jpg"
"Божья коровка";"";"8008";"RUB";"199";"1";"399";"";"";"";"";"Божья коровка";"";"";"bozhya-korovka";"";"";"Высота: 17 см";"http://www.lavatoys.ru/media/thumbs/6c/c8/6cc8c604fdf16ec043a2e93d057128b4.jpg"
"Бабочка малая";"";"8595";"RUB";"299";"1";"399";"";"";"";"";"Бабочка малая";"";"";"babochka-malaya";"";"";"Высота: 18,5 см";"http://www.lavatoys.ru/media/thumbs/e2/e8/e2e87aa8a3b0590580a815f58e08f8d5.jpg"
"!!Олени";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Оленёнок";"";"8660";"RUB";"139";"1";"339";"";"";"";"";"Оленёнок";"";"";"olenёnok";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/df/dc/dfdcb8c8676d7f470120b224a0fbb565.jpg"
"!!Панды";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Панда сидящая";"";"380";"RUB";"499";"1";"";"";"";"";"";"Панда сидящая";"";"";"panda-sidyashchaya";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/4e/9d/4e9db9e6ee5f7b5b82d00906b45f01f0.jpg"
"Панда с цветком";"";"873";"RUB";"499";"1";"";"";"";"";"";"Панда с цветком";"";"";"panda-s-tsvetkom";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/de/d5/ded5ede82c08fc18f949115fad41f08d.jpg"
"Панда с малышом стоящая малая";"";"8026A";"RUB";"399";"1";"899";"";"";"";"";"Панда с малышом стоящая малая";"";"";"panda-s-malyshom-stoyashchaya-malaya";"";"";"Высота: 29 см";"http://www.lavatoys.ru/media/thumbs/2d/d5/2dd538c4ceb0c96544c4e197d0ca3a39.jpg"
"Панда с малышом сидящая";"";"8013";"RUB";"399";"1";"799";"";"";"";"";"Панда с малышом сидящая";"";"";"panda-s-malyshom-sidyashchaya";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/37/ac/37acdb63984ae7876a050431add914f6.jpg"
"Панда в маечке с бамбуком";"";"873B";"RUB";"499";"1";"";"";"";"";"";"Панда в маечке с бамбуком";"";"";"panda-v-maechke-s-bambukom";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/f6/8c/f68ce94070b0057a0b843ca17fbbea85.jpg"
"!!Петухи";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Петушок мини";"";"1281s";"RUB";"29";"1";"149";"";"";"";"";"Петушок мини";"";"";"petushok-mini";"";"";"Высота: 13 см";"http://www.lavatoys.ru/media/thumbs/a2/32/a2320adfab6e49d712db1b693a1cc083.jpg"
"Курочка Полинка";"";"1275";"RUB";"69";"1";"299";"";"";"";"";"Курочка Полинка";"";"";"kurochka-polinka";"";"";"Высота: 19 см";"http://www.lavatoys.ru/media/thumbs/3d/9e/3d9e157ca1ab0cf35d03db4e0d48b62f.jpg"
"Курочка мини";"";"8851s";"RUB";"19";"1";"169";"";"";"";"";"Курочка мини";"";"";"kurochka-mini";"";"";"Высота: 12 см";"http://www.lavatoys.ru/media/thumbs/b1/63/b1632a00b24a3c28580e708a23051b2c.jpg"
"!!Поросята";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Свинка с поросятами";"";"8298";"RUB";"399";"1";"699";"";"";"";"";"Свинка с поросятами";"";"";"svinka-s-porosyatami";"";"";"Высота: 27 см";"http://www.lavatoys.ru/media/thumbs/ab/42/ab4296634575c65ef34c681cda89cdc8.jpg"
"Свинка Дуняша с бантиком";"";"8588";"RUB";"199";"1";"499";"";"";"";"";"Свинка Дуняша с бантиком";"";"";"svinka-dunyasha-s-bantikom";"";"";"Высота: 19 см";"http://www.lavatoys.ru/media/thumbs/b1/aa/b1aa9541bcd467ce4eb6b349ddb8fb00.jpg"
"Поросёнок в комбинезоне";"";"1007";"RUB";"299";"1";"499";"";"";"";"";"Поросёнок в комбинезоне";"";"";"porosёnok-v-kombinezone";"";"";"Высота: 19,5 см";"http://www.lavatoys.ru/media/thumbs/1f/a6/1fa6e021bf98c96bb970450f1858079d.jpg"
"!!Птицы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Утка с утёнком пушистая";"";"002A";"RUB";"299";"1";"599";"";"";"";"";"Утка с утёнком пушистая";"";"";"utka-s-utёnkom-pushistaya";"";"";"Высота: 23 см";"http://www.lavatoys.ru/media/thumbs/36/bf/36bf14f3606942e45dbe38a987f570c1.jpg"
"Утка пушистая";"";"1091";"RUB";"299";"1";"549";"";"";"";"";"Утка пушистая";"";"";"utka-pushistaya";"";"";"Высота: 26 см";"http://www.lavatoys.ru/media/thumbs/28/7c/287c7f363b3d14259edc127af04c99ec.jpg"
"Страус пушистый";"";"426";"RUB";"299";"1";"599";"";"";"";"";"Страус пушистый";"";"";"straus-pushistyy";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/91/56/9156d78945a164082c8b4f800573f0ec.jpg"
"Сова Агата";"";"1189";"RUB";"399";"1";"599";"";"";"";"";"Сова Агата";"";"";"sova-agata";"";"";"Высота: 20 см";"http://www.lavatoys.ru/media/thumbs/6e/32/6e32f94938e94dd7062150517a915477.jpg"
"Попугай Ара";"";"1247";"RUB";"369";"1";"";"";"";"";"";"Попугай Ара";"";"";"popugay-ara";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/07/cf/07cfff66f2aaa2c2a1d39254d57bc65a.jpg"
"Попугай";"";"1192";"RUB";"199";"1";"399";"";"";"";"";"Попугай";"";"";"popugay";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/81/3c/813c053a3de2473892714c16852c57d9.jpg"
"Пингвинёнок Мими";"";"1246";"RUB";"399";"1";"";"";"";"";"";"Пингвинёнок Мими";"";"";"pingvinёnok-mimi";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/05/61/0561f334f9e3208e5b9da9aa68af4b54.jpg"
"Пингвинёнок";"";"8716";"RUB";"299";"1";"469";"";"";"";"";"Пингвинёнок";"";"";"pingvinёnok";"";"";"Высота: 18 см";"http://www.lavatoys.ru/media/thumbs/61/e2/61e28531aa6475788657f16c878e1685.jpg"
"Пингвин в наушниках";"";"1109";"RUB";"369";"1";"569";"";"";"";"";"Пингвин в наушниках";"";"";"pingvin-v-naushnikakh";"";"";"Высота: 23 см";"http://www.lavatoys.ru/media/thumbs/40/55/40552aba3f2fa67810ab53266f7a4af1.jpg"
"!!Слоны";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Слоник с цветами";"";"8670";"RUB";"299";"1";"499";"";"";"";"";"Слоник с цветами";"";"";"slonik-s-tsvetami";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/f2/66/f2669dc884af42ab9d8468592fd45ef9.jpg"
"Слоник с веночком";"";"805";"RUB";"399";"1";"599";"";"";"";"";"Слоник с веночком";"";"";"slonik-s-venochkom";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/9e/70/9e703c9333cf27f45bb9db0271f47237.jpg"
"Слоник декоративный";"";"877";"RUB";"299";"1";"499";"";"";"";"";"Слоник декоративный";"";"";"slonik-dekorativnyy";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/96/e9/96e9490bed7e2ac6bd9e0b6fd0ffaf91.jpg"
"Слоник в маечке";"";"878";"RUB";"299";"1";"499";"";"";"";"";"Слоник в маечке";"";"";"slonik-v-maechke";"";"";"Высота: 21,5 см";"http://www.lavatoys.ru/media/thumbs/f3/28/f328a75e4c3fde5e571c139adb4a22ee.jpg"
