Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Кухонный набор (7деталей)";"";"RS-Д-386";"RUB";"290,00";"1";"";"";"";"от 3 лет";"";"Кухонный набор (7деталей)";"";"";"kukhonnyy-nabor-7detaley--rs-d-386";"";"";"29х15х5 см в упак.";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-386-300.jpg"
"Кухонный набор (3 детали)  Д-378";"";"RS-Д-378";"RUB";"132,50";"1";"";"";"";"от 3 лет";"";"Кухонный набор (3 детали)  Д-378";"";"";"kukhonnyy-nabor-3-detali--d-378-rs-d-378";"";"";"25,5х15х5";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-378-300.jpg"
"Кухонный набор Доска и скалка";"";"RS-Д-631";"RUB";"85,00";"1";"";"";"";"от 3 лет";"";"Кухонный набор Доска и скалка";"";"";"kukhonnyy-nabor-doska-i-skalka--rs-d-631";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-631-300.jpg"
"Гриб-винт";"";"RS-Д-575";"RUB";"262,50";"1";"";"";"";"от 3 лет";"";"Гриб-винт";"";"";"grib-vint---rs-d-575";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-575-300.jpg"
"!!Дидактические пособия";"";"";"";"";"";"";"";"";"<h1>Дидактические пособия</h1>
        <p>Для работы с некоторыми из этих пособий не требуется особого опыта и знаний, но часть из них предполагает либо детального знакомства с инструкцией, либо хорошего практического опыта в использовании дидактических пособий.</p>";"";"";"";"";"";"";"";"";"";"";""
"Пирамидка Абака шестигранная цветн.";"";"RS-Д-654";"RUB";"243,75";"1";"";"";"";"от 3 лет";"";"Пирамидка Абака шестигранная цветн.";"";"";"piramidka-abaka-shestigrannaya-tsvetn--rs-d-654";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Didaktica/%d0%94-654-300.jpg"
"Пирамидка Абака с шариками";"";"RS-Д-296";"RUB";"337,50";"1";"";"";"";"от 3 лет";"";"Пирамидка Абака с шариками";"";"";"piramidka-abaka-s-sharikami--rs-d-296";"";"";"24,5x6,5x19,5";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Didaktica/%d0%94-296-300.jpg"
"Пирамидка 5 в ряд шестигранная цветн.";"";"RS-Д-649";"RUB";"356,25";"1";"";"";"";"от 3 лет";"";"Пирамидка 5 в ряд шестигранная цветн.";"";"";"piramidka-5-v-ryad-shestigrannaya-tsvetn----rs-d-649";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Didaktica/%d0%94-649-300.jpg"
"Пирамида цвет и счет";"";"RS-Д-430";"RUB";"500,00";"1";"";"";"";"от 3 лет";"";"Пирамида цвет и счет";"";"";"piramida-tsvet-i-schet---rs-d-430";"";"";"11,5х14,5х11,5";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Didaktica/%d0%94-430-300.jpg"
"Набор цветных геометрических пуговиц (12шт) RNToys";"";"RS-Д-651";"RUB";"500,00";"1";"";"";"";"от 3 лет";"";"Набор цветных геометрических пуговиц (12шт) RNToys";"";"";"nabor-tsvetnykh-geometricheskikh-pugovits-12sht-rntoys---rs-d-651";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Didaktica/%d0%94-651-300.jpg"
