Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения;Изображения
"Логическое домино. Животные.";"";"С-534";"RUB";"229 ₽";"1";"";"";"";"Есть игры, которые передаются из поколения в поколение. Среди них и всем знакомое домино. Эта игра не только популярная, но и полезная. На фишках 'Логического домино. Животные' - мир животных. На одной стороне фишек домино изображены разнообразные животные. Необходимо найти двух животных, относящихся к одной группе, например, дикие животные, и соединить фишки домино. С помощью этого варианта игры дети  учатся  классификации животных (дикие, домашние животные, птицы, рыбы, животные жарких стран). 				
													<br>
					<span class='moretext'>
						<br>На другой стороне фишек домино — бабочки. Необходимо найти одинаковых бабочек и сложить фишки домино. Этот вариант развивает внимание, зрительное восприятие, память. Яркие красочные рисунки на фишках понравятся вашим детям.<br><br>Фишки домино двусторонние, изготовлены из пластмассы.<br><br>артикул С – 534<br><br>Комплектность:<br><br>фишки – 28<br><br>правила – 1<br><br>коробка: 28,5 х 11 х 3 см<br><br>от 5 лет<br><br>2 – 4 чел.<br><br>15 — 30 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Логическое домино. Животные.";"";"";"logicheskoe-domino-zhivotnye";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/144/%D1%81-534.jpg";"http://www.vesna.kirov.ru/upload/iblock/54a/с-534_логическое_домино._животные.jpg";"";"";""
"Логическое домино. Ассоциации";"";"С-652";"RUB";"229 ₽";"1";"";"";"";"Игры в домино не только популярны, но и полезны. Фишки 'Логического домино. Ассоциации' двусторонние. На одной стороне изображены разнообразные предметы. Необходимо найти два предмета, логически связанных между собой, например, зонтик и дождь, и соединить фишки домино. С помощью этого варианта игры дети развивают ассоциативное и логическое мышление, память. На другой стороне фишек домино — примеры по математике на сложение и вычитание, а также определённое количество предметов. Необходимо найти ответы на примеры и сложить фишки домино. Этот вариант учит считать в пределах шести. Яркие красочные рисунки на фишках домино понравятся детям.				
													<br>
					<span class='moretext'>
						<br>Фишки домино изготовлены из пластмассы.<br><br>артикул С – 652<br><br>Комплектность:<br><br>фишки – 28<br><br>правила – 1<br><br>коробка: 28,5 х 11 х 3 см<br><br>от 5 лет<br><br>2 – 4 чел.<br><br>15 – 30 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Логическое домино. Ассоциации";"";"";"logicheskoe-domino-assotsiatsii";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/030/%D1%81-652_%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5_%D0%B4%D0%BE%D0%BC%D0%B8%D0%BD%D0%BE._%D0%B0%D1%81%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D0%B8.jpg";"";"";"";""
"Логический поезд.";"";"С-143";"RUB";"109 ₽";"1";"";"";"";"«Логический поезд» - интересная многовариантная игра для всей семьи. В игре 87 карточек — 9 весёлых игр.				
													<br>
					<span class='moretext'>
						<br>Игрокам предлагается выкладывать цепочки из карточек, находя между ними логическую связь и объясняя свой выбор. <br><br>Развивает логическое мышление, речь, память, фантазию, учит группировать и классифицировать предметы.<br><br>Карты выполнены из  картона.<br><br>артикул С – 143<br><br>Комплектность: <br><br>карты – 6<br><br>пачка: 28,4 х 21,9 х 0,6 см<br><br>от 3 лет<br><br>2 – 6 чел.<br><br>15 – 30 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Логический поезд.";"";"";"logicheskiy-poezd";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/9d6/%D1%81-143_%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%BE%D0%B5%D0%B7%D0%B4.jpg";"";"";"";""
"Курочка Ряба.";"";"С-633";"RUB";"131 ₽";"1";"";"";"";"Все дети любят сказки. В игре 'Курочка Ряба' маленьким артистам предоставляется возможность поставить настольный спектакль и вспомнить любимую сказку. Дети  развивают связную и выразительную речь, память, артистические способности. Карточки с персонажами и избушка изготовлены из плотного  картона. 				
													<br>
					<span class='moretext'>
						<br>Комплектность:<br><br>избушка картонная - 1<br><br>карта  с персонажами - 1<br><br>правила - 1<br><br>пакет с ручкой или термоусадка<br><br>размеры: 32 х 47,5 см<br><br>артикул С – 633<br><br>от 3 лет<br><br>1 – 6 чел.<br><br>15 – 30 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Курочка Ряба.";"";"";"kurochka-ryaba";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/cef/%D1%81-633.jpg";"";"";"";""
"Кукольный театр.";"";"С-313";"RUB";"194 ₽";"1";"";"";"";"«Кукольный театр»				
													<br>
					<span class='moretext'>
						<br>Маленьким артистам!<br><br>Кукольный настольный театр.  <br><br>Эта игра-самоделка, представляющая собой набор заготовок и выкроек для 7 сказок: «Теремок», «Курочка Ряба», «Колобок», «Лисичка-сестричка и волк», «Лиса, заяц и петух», «Хаврошечка», «Снегурочка». <br><br>В правилах игры имеется театральный словарик.<br><br>Развивает выразительную речь, фантазию, память, учит общению.<br><br>Поле, подставки-декорации, карты изготовлены из картона.<br><br>артикул С - 313<br><br>Комплектность:<br><br>поле - 1<br><br>подставки - декорации - 2<br><br>карты - 6<br><br>правила - 1<br><br>пачка: 31 х 31 х 0,5 см<br><br>от 5 лет<br><br>1 - 6 чел.<br><br>15 - 30 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Кукольный театр.";"";"";"kukolnyy-teatr";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/41f/%D1%81-313_%D0%BA%D1%83%D0%BA%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D1%82%D0%B5%D0%B0%D1%82%D1%80.jpg";"";"";"";""
"Кукольный домик-2.";"";"С-378к";"RUB";"554 ₽";"1";"";"";"";"«Кукольный домик 2». Продолжение полюбившейся серии. Собрав домик вместе с родителями, и играя с ним, дети моделируют реальные ситуации. Развивается воображение, речь, мышление. Детали домика и мебели выполнены из гофрокартона.				
													<br>
					<span class='moretext'>
						<br>Артикул с-378к<br><br>Комплектность:<br><br>Вырубные карты – 6 шт.<br><br>Инструкция по сборке – 1 шт.<br><br>Коробка: 42х35,5х3,5 см<br><br>От 4 лет<br><br>1-3 чел.<br><br>10-20 мин.<br><br>  					</span><br>
					<span class='full'>Подробнее</span>";"";"Кукольный домик-2.";"";"";"kukolnyy-domik-2";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/f57/%D1%81-378%D0%BA.jpg";"";"";"";""
"Кукла вырезная. Профессии.";"";"С-746";"RUB";"103 ₽";"1";"";"";"";"«Кукла вырезная «Профессии»				
													<br>
					<span class='moretext'>
						<br> Игры-самоделки, содержащие двух бумажных кукол с разнообразной одеждой. <br><br> Игры развивают художественные способности, воображение, мелкую моторику.<br><br> Игра подходит для знакомства детей с особенностями профессий.<br><br>Артикул с-746<br><br> Комплектность:<br><br> Карты - 7<br><br> Пакет с ручкой – 1<br><br> Размеры: 22х38х0,5 см<br><br> От 3 лет<br><br> 1-2 чел.<br><br> 10-20 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Кукла вырезная. Профессии.";"";"";"kukla-vyreznaya-professii";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/71f/%D1%81-746.jpg";"";"";"";""
"Кукла вырезная. Профессии-2.";"";"С-791";"RUB";"103 ₽";"1";"";"";"";"«Кукла вырезная «Профессии» - это игра-самоделка, содержащая двух бумажных кукол с разнообразной одеждой. 				
													<br>
					<span class='moretext'>
						<br> Игра развивает художественные способности, воображение, мелкую моторику.<br><br> Игра подходит для знакомства детей с особенностями профессий.<br><br> Артикул с-791<br><br> Комплектность:<br><br> Карты - 7<br><br> Пакет с ручкой – 1<br><br> Размеры: 22х38х0,5 см<br><br> От 3 лет<br><br> 1-2 чел.<br><br> 10-20 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Кукла вырезная. Профессии-2.";"";"";"kukla-vyreznaya-professii-2";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/8e6/%D1%81-791.jpg";"";"";"";""
"Кукла вырезная. Народные костюмы.";"";"С-743";"RUB";"103 ₽";"1";"";"";"";"«Кукла вырезная «Народные костюмы»				
													<br>
					<span class='moretext'>
						<br> Игры-самоделки, содержащие двух бумажных кукол с разнообразной одеждой. <br><br> Игры развивают художественные способности, воображение, мелкую моторику.<br><br>Игра подходит для обучения детей культурным и национальным особенностям разных народов.<br><br>Артикул с-743<br><br> Комплектность:<br><br> Карты - 7<br><br> Пакет с ручкой – 1<br><br> Размеры: 22х38х0,5 см<br><br> От 3 лет<br><br> 1-2 чел.<br><br> 10-20 мин.<br><br>  					</span><br>
					<span class='full'>Подробнее</span>";"";"Кукла вырезная. Народные костюмы.";"";"";"kukla-vyreznaya-narodnye-kostyumy";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/179/%D1%81-743.jpg";"";"";"";""
"Кукла вырезная. Карнавал.";"";"С-745";"RUB";"103 ₽";"1";"";"";"";"«Кукла вырезная «Карнавал»				
													<br>
					<span class='moretext'>
						<br> Игры-самоделки, содержащие двух бумажных кукол с разнообразной одеждой. <br><br> Игры развивают художественные способности, воображение, мелкую моторику.<br><br> Артикул с-745<br><br> Комплектность:<br><br> Карты - 7<br><br> Пакет с ручкой – 1<br><br> Размеры: 22х38х0,5 см<br><br> От 3 лет<br><br> 1-2 чел.<br><br> 10-20 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Кукла вырезная. Карнавал.";"";"";"kukla-vyreznaya-karnaval";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/bcd/%D1%81-745.jpg";"";"";"";""
"Кукла вырезная. ЗИМА-ЛЕТО.";"";"С-742";"RUB";"103 ₽";"1";"";"";"";"«Кукла вырезная «Зима - лето»				
													<br>
					<span class='moretext'>
						<br> Игры-самоделки, содержащие двух бумажных кукол с разнообразной одеждой. <br><br> Игры развивают художественные способности, воображение, мелкую моторику.<br><br>Игра подходит для обучения детей различию между сезонами года: одежда, которую удобно снимать и надевать, помогает изучить необходимость того или иного предмета одежды в определённое время года.<br><br> Артикул с-742<br><br> Комплектность:<br><br> Карты - 7<br><br> Пакет с ручкой – 1<br><br> Размеры: 22х38х0,5 см<br><br> От 3 лет<br><br> 1-2 чел.<br><br> 10-20 мин.<br><br>  					</span><br>
					<span class='full'>Подробнее</span>";"";"Кукла вырезная. ЗИМА-ЛЕТО.";"";"";"kukla-vyreznaya-zima-leto";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/252/%D1%81-742.jpg";"";"";"";""
"Кукла вырезная.";"";"С-12";"RUB";"81 ₽";"1";"";"";"";"«Кукла вырезная» - это игра-самоделка, содержащая двух бумажных кукол с разнообразной одеждой. Игра развивает художественные способности, воображение, мелкую моторику.				
													<br>
					<span class='moretext'>
						<br>Артикул с-12<br><br>Комплектность:<br><br>Карты – 7 шт.<br><br>Пакет с ручкой – 1 шт.<br><br>Коробка: 22х38х0,5см<br><br>От 3 лет<br><br>1-2 чел.<br><br>10-20 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Кукла вырезная.";"";"";"kukla-vyreznaya";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/dfb/%D1%81-12_%D0%BA%D1%83%D0%BA%D0%BB%D0%B0_%D0%B2%D1%8B%D1%80%D0%B5%D0%B7%D0%BD%D0%B0%D1%8F.jpg";"";"";"";""
"Кубики. Я буду говорить. Часть и целое.";"";"С-924";"RUB";"416 ₽";"1";"";"";"";"Кубики «Я буду говорить. Часть и целое» - это игра, адресованная детям от трёх лет и старше, воспитателям ДОУ, дефектологам, сурдопедагогам, логопедам образовательных и медицинских учреждений. 				
													<br>
					<span class='moretext'>
						<br>Артикул с-924<br><br>Комплектность:<br><br>Кубики - 12<br><br>Правила - 1<br><br>Коробка: 24,2х19,3х6,3 см<br><br>От 3 лет<br><br>1-2 чел.<br><br>10-20 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Кубики. Я буду говорить. Часть и целое.";"";"";"kubiki-ya-budu-govorit-chast-i-tseloe";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/722/%D1%81-924_%D1%8F_%D0%B1%D1%83%D0%B4%D1%83_%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%B8%D1%82%D1%8C._%D1%87%D0%B0%D1%81%D1%82%D1%8C_%D0%B8_%D1%86%D0%B5%D0%BB%D0%BE%D0%B5..jpg";"";"";"";""
"Кубики. Я буду говорить. Действия.";"";"С-900";"RUB";"416 ₽";"1";"";"";"";"Игра адресована детям от трёх лет и старше, воспитателям ДОУ, дефектологам, сурдопедагогам, логопедам образовательных и медицинских учреждений.				
													<br>
					<span class='moretext'>
						<br>Артикул с-900<br><br>Комплектность:<br><br>Кубики 12<br><br>Правила 1<br><br>Коробка: 24,2х19,3х6,3 см<br><br>От 3 лет<br><br>1-2 чел.<br><br>10-20 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Кубики. Я буду говорить. Действия.";"";"";"kubiki-ya-budu-govorit-deystviya";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/ac3/%D1%81-900_%D1%8F%D0%B1%D1%83%D0%B4%D1%83_%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%B8%D1%82%D1%8C._%D0%B4%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D0%B8%D1%8F..jpg";"";"";"";""
"Кубики. Самый, самый.";"";"С-942";"RUB";"156 ₽";"1";"";"";"";"Кубики «Самый, самый» - это весёлые кубики для тех, кто только начинает делать первые шаги в математике. Малыши научатся составлять целое изображение из частей, сравнивать предметы по величине, ширине, высоте и тяжести, соотносить предметы по схематичным изображениям. С помощью игры у детей развивается логика, внимание, пространственное мышление и память. 				
													<br>
					<span class='moretext'>
						<br>Артикул с-942<br><br>Комплектность:<br><br>Кубики - 12<br><br>Правила - 1<br><br>Коробка: 25,2х19х6 см<br><br>От 3 лет<br><br>1-4 чел.<br><br>10-20 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Кубики. Самый, самый.";"";"";"kubiki-samyy-samyy";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/1c8/%D1%81-942_1_%D0%BA%D1%83%D0%B1%D0%B8%D0%BA%D0%B8_%D1%81%D0%B0%D0%BC%D1%8B%D0%B9_%D1%83%D0%BF.jpg";"http://www.vesna.kirov.ru/upload/iblock/1eb/с-942_2_кубики_самый_вложения.jpg";"http://www.vesna.kirov.ru/upload/iblock/bc6/с-942_3_кубики_самый_копия.jpg";"";""
"Кубики. Русские сказки.";"";"С-111";"RUB";"168 ₽";"1";"";"";"";"На гранях кубиков 'Русские сказки' изображены сюжеты шести русских народных сказок: «Коза–дереза», «Курочка Ряба», «Репка», «Лиса и журавль», «Три медведя», «Теремок». Игроки складывают яркие красочные картинки из кубиков.				
													<br>
					<span class='moretext'>
						<br>Игра в кубики развивает зрительное восприятие, речь, мелкую моторику, память.<br><br>Кубики выполнены из картона.<br><br>артикул С – 111<br><br>Комплектность:<br><br>картонные кубики – 12<br><br>пачка: 25,2 х 19 х 6,5 см<br><br>от 3 лет<br><br>1 – 2 чел.<br><br>10 – 20 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Кубики. Русские сказки.";"";"";"kubiki-russkie-skazki";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/814/%D1%81-111_%D0%BA%D1%83%D0%B1%D0%B8%D0%BA%D0%B8_%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%BA%D0%B0%D0%B7%D0%BA%D0%B8.jpg";"";"";"";""
"Кто где живет?";"";"С-355";"RUB";"169 ₽";"1";"";"";"";"«Кто где живёт?»				
													<br>
					<span class='moretext'>
						<br>Игра с яркими, выразительными иллюстрациями знакомит детей с внешним видом животных, их названиями и местами обитания. <br><br>В игре несколько вариантов: лото, задания по карточкам, передвижение фишек по игровому полю.<br><br>Карты и поле выполнены из картона, имеются пластмассовые фишки и кубик.<br><br>артикул С – 355<br><br>Комплектность:<br><br>карты – 14 <br><br>фишки – 4<br><br>поле – 1<br><br>кубик – 1<br><br>правила – 1<br><br>коробка: 33 х 22 х 2,8 см<br><br>от 3 лет<br><br>2 – 6 чел.<br><br>15 – 30 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Кто где живет?";"";"";"kto-gde-zhivet";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/7dc/%D1%81-355_%D0%BA%D1%82%D0%BE_%D0%B3%D0%B4%D0%B5_%D0%B6%D0%B8%D0%B2%D1%91%D1%82.jpg";"";"";"";""
"Кто где живет-2.";"";"С-447";"RUB";"169 ₽";"1";"";"";"";"«Кто где живёт? 2»				
													<br>
					<span class='moretext'>
						<br>Познавательная игра продолжает знакомство с животным миром, дети узнают о названиях животных, рыб, земноводных, насекомых и местах их обитания. <br><br>В игре несколько вариантов: лото, задания по карточкам, передвижение фишек по игровому полю.<br><br>Дети совершенствуют речь, внимание, память. <br><br>Карты и поле выполнены из картона,имеются пластмассовые фишки и кубик.<br><br>артикул С – 447<br><br>Комплектность:<br><br>поле – 1, карты – 5<br><br>фишки – 4<br><br>кубик – 1<br><br>правила – 1<br><br>коробка:  33 х 22 х 2,8 см<br><br>от 3 лет<br><br>2 – 4 чел.<br><br>15 – 30 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Кто где живет-2.";"";"";"kto-gde-zhivet-2";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/edd/%D1%81-447_1.jpg";"http://www.vesna.kirov.ru/upload/iblock/6ee/с-447_кто_где_живёт_2.jpg";"";"";""
"Крылья, лапы и хвосты.";"";"С-320";"RUB";"120 ₽";"1";"";"";"";"«Крылья, лапы и хвосты» - игра-лото, которая с помощью карточек с изображениями учит детей отгадывать животных по описанию, узнавать целое животное по его части, видеть зверей в необычных ракурсах: вид снизу, сверху, сбоку и т.д. Совершенствует зрительную память, логику, пространственное мышление.				
													<br>
					<span class='moretext'>
						<br>Карты выполнены из картона.<br><br>артикул С – 320<br><br>Комплектность:<br><br>карточки – 7                                 <br><br>правила – 1                                                               <br><br>пачка: 27 х 20 х 0,5 см<br><br>от 3 лет<br><br>2 – 4 чел.<br><br>10 – 20 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Крылья, лапы и хвосты.";"";"";"krylya-lapy-i-khvosty";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/1c7/%D1%81-320_%D0%BA%D1%80%D1%8B%D0%BB%D1%8C%D1%8F_%D0%BB%D0%B0%D0%BF%D1%8B_%D0%B8_%D1%85%D0%B2%D0%BE%D1%81%D1%82%D1%8B.jpg";"";"";"";""
"Красная шапочка.";"";"С-797";"RUB";"147 ₽";"1";"";"";"";"«Красная шапочка» - увлекательная игра по мотивам известной сказки. Вместе с героями дети весело проведут время и научатся общаться. Игра развивает логическое мышление, зрительное восприятие, внимание и память.				
													<br>
					<span class='moretext'>
						<br>артикул С – 797<br><br>Комплектность:<br><br>игровое поле – 1<br><br>карты – 2<br><br>фишки – 4 <br><br>кубик - 1<br><br>правила – 1<br><br>коробка: 33 х 22 х 2,8 см                        <br><br>от 5 лет<br><br>1 – 4 чел.<br><br>15 – 30 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Красная шапочка.";"";"";"krasnaya-shapochka";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/2bd/%D1%81-797_%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%B0%D1%8F_%D1%88%D0%B0%D0%BF%D0%BE%D1%87%D0%BA%D0%B0.jpg";"";"";"";""
"Кошки-мышки.";"";"С-706";"RUB";"160 ₽";"1";"";"";"";"«Кошки-мышки»				
													<br>
					<span class='moretext'>
						<br>Вы готовы поучаствовать в захватывающих гонках <br><br>с весёлыми кошками и забавными мышками? <br><br>Интересная идея и яркое оформление делают эту игру азартной и привлекательной. <br><br>В 1 варианте игры дети собирают парные картинки.<br><br>2 вариант «Гонки» -  весёлые соревнования на игровом поле с фишками и кубиком.<br><br>Вариант 3 «Что изменилось? Чего не стало?» способствует развитию памяти — игрокам предлагается запомнить картинки и найти изменения в их расположении или количестве.<br><br>Игра даёт понятие о цвете, помогает развить у детей память, внимание, речь, расширяет словарный запас.<br><br>Карточки и игровое поле изготовлены из плотного картона, для карточек-фишек предлагаются удобные пластмассовые подставки.<br><br>артикул С – 706 <br><br>Комплектность:<br><br>игровое поле – 1<br><br>карточки вырубные – 30<br><br>пластмассовые подставки – 4<br><br>правила – 1<br><br>коробка: 33 х 22 х 2,8 см                        <br><br>от 3 лет<br><br>1 – 4 чел.<br><br>10 – 20 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Кошки-мышки.";"";"";"koshki-myshki";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/978/%D1%81-706_%D0%BA%D0%BE%D1%88%D0%BA%D0%B8_%D0%BC%D1%8B%D1%88%D0%BA%D0%B8.jpg";"";"";"";""
"Космос. Путешествие по Солнечной системе.";"";"С-990";"RUB";"140 ₽";"1";"";"";"";"Вечером и ночью мы, глядя в небо, любуемся звёздами, космосом, пытаемся успеть загадать желание пока падает звезда. А что же такое космос, звёзды, планеты, кометы? Мы предлагаем в наших познавательных занятиях и играх попутешествовать и узнать больше интересных фактов о нашей Солнечной системе и явлениях, происходящих в ней.				
													<br>
					<span class='moretext'>
						<br>Игра производства российской фабрики ОАО Радуга (Холдинг 'Весна - Радуга')					</span><br>
					<span class='full'>Подробнее</span>";"";"Космос. Путешествие по Солнечной системе.";"";"";"kosmos-puteshestvie-po-solnechnoy-sisteme";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/88e/%D1%81-990_%D0%BA%D0%BE%D1%81%D0%BC%D0%BE%D1%81.%D0%BF%D1%83%D1%82%D0%B5%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%B8%D0%B5_%D0%BF%D0%BE_%D1%81%D0%BE%D0%BB%D0%BD.%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B5.jpg";"";"";"";""
"Космобойщики Солнечной системы.";"";"С-713";"RUB";"372 ₽";"1";"";"";"";"«Космобойщики Солнечной»				
													<br>
					<span class='moretext'>
						<br>Игра для коллективного и семейного досуга, основанная по сюжету на приключенческой тематике.<br><br>Азартная игра, которая не только увлечёт детей приключениями в космосе, но и в доступной игровой форме познакомит их с устройством Солнечной системы. В игре используется карта Солнечной системы мира.<br><br>Поле, карты, фишки выполнены из плотного картона, имеются пластмассовые фишки, кубики, удобные подставки для картонных фишек.<br><br>артикул С – 713<br><br>Комплектность:<br><br>игровое поле – 1<br><br>карты – 12<br><br>карточки – 33<br><br>карточки-фишки – 8<br><br>подставки под фишки  – 8,  фишки-маркеры цели – 4<br><br>кубик – 4, правила – 1<br><br>коробка: 43 х 27,2 х 4,8 см<br><br>от 6 лет<br><br>1 – 4 чел.<br><br>30 – 45 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Космобойщики Солнечной системы.";"";"";"kosmoboyshchiki-solnechnoy-sistemy";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/67b/%D1%81-713_%D0%BA%D0%BE%D1%81%D0%BC%D0%BE%D0%B1%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%B8_%D1%81%D0%BE%D0%BB%D0%BD%D0%B5%D1%87%D0%BD%D0%BE%D0%B9.jpg";"";"";"";""
"Королевский рубин.";"";"С-879";"RUB";"372 ₽";"1";"";"";"";"«Королевский рубин» - весёлая приключенческая игра, в увлекательной форме знакомящая с миром пещер и драгоценных камней. Игра расширяет кругозор, развивает внимание и навыки счёта. Играйте с друзьями, играйте всей семьёй! 				
													<br>
					<span class='moretext'>
						<br>Артикул с-879<br><br>Комплектность:<br><br>Игровое поле – 1 шт.<br><br>Карта игрока – 4 шт.<br><br>Сборная фишка – 4 шт.<br><br>Игровая карточка – 28 шт.<br><br>Жетоны – 55 шт.<br><br>Фишки-маркеры – 4 шт.<br><br>Кубик – 1 шт.<br><br>Правила – 1 шт.<br><br>Коробка: 30х30х6см<br><br>От 7 лет<br><br>1-4 чел.<br><br>30-45 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Королевский рубин.";"";"";"korolevskiy-rubin";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/967/%D1%81-879_%D0%BA%D0%BE%D1%80%D0%BE%D0%BB%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D1%83%D0%B1%D0%B8%D0%BD.jpg";"";"";"";""
"Конфетти в коробке.";"";"С-131";"RUB";"8 ₽";"1";"";"";"";"<ul class='pro-info-list'>
								<li>
					<b>Звуковой модуль</b>
					<span>нет</span>
				</li>
								<li>
					<b>Механизм движения</b>
					<span>нет</span>
				</li>
							</ul>";"";"Конфетти в коробке.";"";"";"konfetti-v-korobke";"";"";"";"";"";"";"http://www.vesna.kirov.ru";"";"";"";""
"Колобок.";"";"С-634";"RUB";"131 ₽";"1";"";"";"";"«Колобок» - это игра, которая знакомит малышей с известной русской народной сказкой, они могут поставить настольный спектакль по этой сказке. Развивает связную и выразительную речь, мелкую моторику рук, память и артистические способности.				
													<br>
					<span class='moretext'>
						<br>Карточки с персонажами и избушка изготовлены из плотного  картона. <br><br>Комплектность:<br><br>избушка картонная - 1<br><br>карта  с персонажами - 1<br><br>правила - 1<br><br>пакет с ручкой или термоусадка<br><br>размеры: 32 х 47,5 см<br><br>артикул С – 634<br><br>от 3 лет<br><br>1 – 6 чел.<br><br>15 – 30 мин.					</span><br>
					<span class='full'>Подробнее</span>";"";"Колобок.";"";"";"kolobok";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/a0e/%D1%81-634.jpg";"";"";"";""
"Книга. Серия Звуковичок'Ц'. Цапля ходит по болоту.";"";"С-602";"RUB";"48 ₽";"1";"";"";"";"Книжки предназначены для развития у детей речи и правильного звукопроизношения. Яркие,				
													<br>
					<span class='moretext'>
						<br>красочные иллюстрации понравятся любому малышу.<br><br>Книга выполнена из толстого картона. Предназначена для детей младшего возраста с целью развития речевых навыков.					</span><br>
					<span class='full'>Подробнее</span>";"";"Книга. Серия Звуковичок'Ц'. Цапля ходит по болоту.";"";"";"kniga-seriya-zvukovichokquottsquot-tsaplya-khodit-po-bolotu";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/1da/%D1%81-602_%D0%B7%D0%B2%D1%83%D0%BA%D0%BE%D0%B2%D0%B8%D1%87%D0%BE%D0%BA_%D1%86.jpg";"";"";"";""
"Книга. Колыбельная 'Спи моя радость, усни'";"";"С-677";"RUB";"49 ₽";"1";"";"";"";"<ul class='pro-info-list'>
								<li>
					<b>Звуковой модуль</b>
					<span>нет</span>
				</li>
								<li>
					<b>Механизм движения</b>
					<span>нет</span>
				</li>
							</ul>";"";"Книга. Колыбельная 'Спи моя радость, усни'";"";"";"kniga-kolybelnaya-quotspi-moya-radost-usniquot";"";"";"";"";"";"";"http://www.vesna.kirov.ru";"";"";"";""
