Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Temporary2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!LavaToys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Бегемоты";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Катюша в красном платье";"";"LVS-1138A";"RUB";"549";"1";"";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Катюша в красном платье";"";"";"kukla-katyusha-v-krasnom-plate-lvs-1138a";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/04/a1/04a10a45c78766205d91dcb47f4b8fd1.jpg"
"Кукла Катюша";"";"LVS-1138";"RUB";"499";"1";"549";"";"";"Издает звук «Мне мама платьице купила» при нажатии на игрушку";"";"Кукла Катюша";"";"";"kukla-katyusha-lvs-1138";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/36/5f/365fd32460d547464c7cd25572d4a21e.jpg"
"Кукла Карина в бордовом платье";"";"LVS-1145A";"RUB";"549";"1";"";"";"";"Издает звук «Я в садочке была» при нажатии на игрушку";"";"Кукла Карина в бордовом платье";"";"";"kukla-karina-v-bordovom-plate-lvs-1145a";"";"";"Высота: 25 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/89/53/895317b7e4b9bda7529a915d9b1d6673.jpg"
"Кукла Карина";"";"LVS-1145";"RUB";"399";"1";"549";"";"";"Издает звук «Солнышку все рады» при нажатии на игрушку";"";"Кукла Карина";"";"";"kukla-karina-lvs-1145";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b6/d5/b6d55266fe3e0cfe09d4f189ee69a5d4.jpg"
"Кукла Джулия";"";"LVS-8826";"RUB";"899";"1";"1799";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Джулия";"";"";"kukla-dzhuliya-lvs-8826";"";"";"Высота: 97 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/89/fd/89fd939647656d5f9da2155ad43364dd.jpg"
"Кукла Даша";"";"LVS-950";"RUB";"499";"1";"599";"";"";"Издает звук «Мне мама платьице купила» при нажатии на игрушку";"";"Кукла Даша";"";"";"kukla-dasha-lvs-950";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/1b/e5/1be54ef9c7e0da06742d408d4c403bd7.jpg"
"Кукла Вероника в беретке";"";"LVS-1153";"RUB";"999";"1";"1999";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Вероника в беретке";"";"";"kukla-veronika-v-beretke-lvs-1153";"";"";"Высота: 87 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/84/84/8484106701162e017e718b559939b2bf.jpg"
"Кукла Варенька в ситцевом платье";"";"LVS-961B";"RUB";"499";"1";"599";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Варенька в ситцевом платье";"";"";"kukla-varenka-v-sittsevom-plate-lvs-961b";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/46/a8/46a81f3e9169f656bab842c4d6c06551.jpg"
"Кукла Варенька в свитере";"";"LVS-961C";"RUB";"449";"1";"599";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Варенька в свитере";"";"";"kukla-varenka-v-svitere-lvs-961c";"";"";"Высота: 23 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/e4/96/e496dbaa6c89024416a9ba4618571ce7.jpg"
"Кукла Варенька в вельветовом платье";"";"LVS-961A";"RUB";"499";"1";"599";"";"";"Издает звук «Красота вокруг какая» при нажатии на игрушку";"";"Кукла Варенька в вельветовом платье";"";"";"kukla-varenka-v-velvetovom-plate-lvs-961a";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/39/99/3999cf1fba258d5fb1b26d7bc2c3e6e6.jpg"
"Кукла Варенька";"";"LVS-961";"RUB";"499";"1";"599";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Варенька";"";"";"kukla-varenka-lvs-961";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/df/d1/dfd10eeafb9db8c9ee4789aa3ce272a1.jpg"
"Кукла в шляпе";"";"LVS-879";"RUB";"499";"1";"599";"";"";"Издает звук «Я в садочке была» при нажатии на игрушку";"";"Кукла в шляпе";"";"";"kukla-v-shlyape-lvs-879";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/25/4c/254c1a093cfe60bf3716ce2be99f8459.jpg"
"Кукла Алина";"";"LVS-791";"RUB";"399";"1";"499";"";"";"Издает звук «Красота вокруг какая» при нажатии на игрушку";"";"Кукла Алина";"";"";"kukla-alina-lvs-791";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/0b/5e/0b5ee7de89768bd435547d55c12b3322.jpg"
"Кукла Алёнушка в русском сарафане";"";"LVS-1209";"RUB";"349";"1";"699";"";"";"Издает звук «Я в садочке была» при нажатии на игрушку";"";"Кукла Алёнушка в русском сарафане";"";"";"kukla-alёnushka-v-russkom-sarafane-lvs-1209";"";"";"Высота: 26 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/3b/d3/3bd347130701ecbce2a65bbbd4cac99a.jpg"
"Красная шапочка средняя";"";"LVS-419B";"RUB";"549";"1";"";"";"";"Издает звук «Колокольчики мои» при нажатии на игрушку";"";"Красная шапочка средняя";"";"";"krasnaya-shapochka-srednyaya-lvs-419b";"";"";"Высота: 27 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/be/11/be11d6b6c540f895fdef0a0382e38e37.jpg"
"Красная шапочка малая";"";"LVS-419A";"RUB";"449";"1";"549";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Красная шапочка малая";"";"";"krasnaya-shapochka-malaya-lvs-419a";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ad/43/ad43d84b95ac10a41c0deb6589f395dd.jpg"
"!!Лисы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Лисичка в платье малая";"";"LVS-8714";"RUB";"299";"1";"429";"";"";"Издает звук «Ах, я лисонька, лиса» при нажатии на игрушку";"";"Лисичка в платье малая";"";"";"lisichka-v-plate-malaya-lvs-8714";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/a3/60/a36051a36586ac221caa691ecad4c5c6.jpg"
"Лисёнок-малыш";"";"LVS-8677";"RUB";"299";"1";"399";"";"";"Издает звук «Дождик, дождик, поливай» при нажатии на игрушку";"";"Лисёнок-малыш";"";"";"lisёnok-malysh-lvs-8677";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/d7/ba/d7baeb3342290bf8318913622451f608.jpg"
"Лисёнок Лёлик в футболочке";"";"LVS-8444A";"RUB";"299";"1";"449";"";"";"Издает звук «Где твоя ложечка?» при нажатии на игрушку";"";"Лисёнок Лёлик в футболочке";"";"";"lisёnok-lёlik-v-futbolochke-lvs-8444a";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/66/8f/668f204bbcf0d7d68924e44ec8349fd9.jpg"
"Лисёнок";"";"LVS-8755";"RUB";"239";"1";"399";"";"";"Издает звук «Задорный смех» при нажатии на игрушку";"";"Лисёнок";"";"";"lisёnok-lvs-8755";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/d1/01/d1016d4f2dc800ee00044f21b5f2e6e3.jpg"
"Лиса с виноградом малая";"";"LVS-227A";"RUB";"399";"1";"499";"";"";"Издает звук «Ах, я лисонька, лиса» при нажатии на игрушку";"";"Лиса с виноградом малая";"";"";"lisa-s-vinogradom-malaya-lvs-227a";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/8c/b3/8cb33acc99bb8a0435e718444b1b60c3.jpg"
"Лиса с виноградом";"";"LVS-190";"RUB";"569";"1";"699";"";"";"Издает звук «Ах, я лисонька, лиса» при нажатии на игрушку";"";"Лиса с виноградом";"";"";"lisa-s-vinogradom-lvs-190";"";"";"Высота: 29 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/88/4f/884f8710c97f5b39a1a89ff5fb97ce0e.jpg"
"Лиса с веночком";"";"LVS-227";"RUB";"399";"1";"499";"";"";"Издает звук «Красота вокруг какая» при нажатии на игрушку";"";"Лиса с веночком";"";"";"lisa-s-venochkom-lvs-227";"";"";"Высота: 22,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/05/75/0575f4abbfb6699006f5f06790617af2.jpg"
"!!Лошади";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Лошадь средняя";"";"LVS-858B";"RUB";"199";"1";"599";"";"";"Издает звук «Иго-го, я хороша» при нажатии на игрушку";"";"Лошадь средняя";"";"";"loshad-srednyaya-lvs-858b";"";"";"Высота: 29 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/67/ee/67ee55cff7ffa5e1998d9e2cd24150b3.jpg"
"Лошадь с крыльями";"";"LVS-551";"RUB";"299";"1";"699";"";"";"Издает звук «Иго-го, я хороша» при нажатии на игрушку";"";"Лошадь с крыльями";"";"";"loshad-s-krylyami-lvs-551";"";"";"Высота: 30 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/79/4d/794d6ad4becc5842ecc2f465ff0cb7c9.jpg"
"Лошадь малая";"";"LVS-858A";"RUB";"199";"1";"499";"";"";"Издает звук «Иго-го, я хороша» при нажатии на игрушку";"";"Лошадь малая";"";"";"loshad-malaya-lvs-858a";"";"";"Высота: 24,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/7b/ea/7beae2af2e30f6d6cbdc905f98fb4b8a.jpg"
"Лошадка Пэгги";"";"LVS-698A";"RUB";"399";"1";"599";"";"";"Издает звук «Красота вокруг какая» при нажатии на игрушку";"";"Лошадка Пэгги";"";"";"loshadka-peggi-lvs-698a";"";"";"Высота: 29 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/09/3e/093e890d56322c6da901e624f1f8378a.jpg"
"!!Львы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Львёнок-игрун";"";"LVS-8163";"RUB";"369";"1";"";"";"";"Издает звук «Буду бегать за хвостом» при нажатии на игрушку";"";"Львёнок-игрун";"";"";"lvёnok-igrun-lvs-8163";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/cf/9f/cf9fb42ce7fdd682a12ceb6f81d0376a.jpg"
"Львёнок сидящий малый";"";"LVS-457A";"RUB";"299";"1";"699";"";"";"Издает звук «В зоопарк спешите дети» при нажатии на игрушку";"";"Львёнок сидящий малый";"";"";"lvёnok-sidyashchiy-malyy-lvs-457a";"";"";"Высота: 26 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/6b/99/6b9990823c23e62d510a59b6b17e079e.jpg"
"Львёнок сидящий в штанишках";"";"LVS-356A";"RUB";"299";"1";"699";"";"";"Издает звук «Буду бегать за хвостом» при нажатии на игрушку";"";"Львёнок сидящий в штанишках";"";"";"lvёnok-sidyashchiy-v-shtanishkakh-lvs-356a";"";"";"Высота: 26 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/9f/a8/9fa81ee594c34b64d86b6a4f8a061d6c.jpg"
"Львёнок Кузя сидящий";"";"LVS-542**";"RUB";"399";"1";"";"";"";"Издает звук «В зоопарк спешите дети» при нажатии на игрушку";"";"Львёнок Кузя сидящий";"";"";"lvёnok-kuzya-sidyashchiy-lvs-542";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/bc/c3/bcc3fd0a60eb780904ff5f474cae2a9a.jpg"
"Львёнок Вилли";"";"LVS-1110";"RUB";"269";"1";"499";"";"";"Издает звук «Буду бегать за хвостом» при нажатии на игрушку";"";"Львёнок Вилли";"";"";"lvёnok-villi-lvs-1110";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/01/a9/01a949bb17ccce22eee488c8a5ebe417.jpg"
"Львёнок в короне";"";"LVS-8824";"RUB";"299";"1";"599";"";"";"Издает звук «Буду бегать за хвостом» при нажатии на игрушку";"";"Львёнок в короне";"";"";"lvёnok-v-korone-lvs-8824";"";"";"Высота: 25 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/e7/7c/e77cd7baf9ba2263ff89ad73741ad2c5.jpg"
"Лев Рони";"";"LVS-8794";"RUB";"399";"1";"";"";"";"Издает звук «Буду бегать за хвостом» при нажатии на игрушку";"";"Лев Рони";"";"";"lev-roni-lvs-8794";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/14/65/14652027e0bc99401c038d0ad7cf05ce.jpg"
"Лев";"";"LVS-443";"RUB";"399";"1";"599";"";"";"Издает звук «В зоопарк спешите дети» при нажатии на игрушку";"";"Лев";"";"";"lev-lvs-443";"";"";"Высота: 25 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/1a/f3/1af3407a5f633059da44988d07e75879.jpg"
"!!Лягушки";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Лягушонок-морячок";"";"LVS-8252";"RUB";"239";"1";"539";"";"";"Издает звук «Ярко солнце светит» при нажатии на игрушку";"";"Лягушонок-морячок";"";"";"lyagushonok-moryachok-lvs-8252";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/23/3e/233e4c8d332809e20062686ac8781a7f.jpg"
"Лягушонок длинноногий";"";"LVS-8072";"RUB";"299";"1";"499";"";"";"Издает звук «Дождик, дождик, поливай» при нажатии на игрушку";"";"Лягушонок длинноногий";"";"";"lyagushonok-dlinnonogiy-lvs-8072";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/fe/11/fe112c990b7878cc4190fc686de02a01.jpg"
"Лягушка-царевна";"";"LVS-8779";"RUB";"249";"1";"499";"";"";"Издает звук «Красота вокруг какая» при нажатии на игрушку";"";"Лягушка-царевна";"";"";"lyagushka-tsarevna-lvs-8779";"";"";"Высота: 19 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/83/a6/83a6f8e5490c519ab970584317f0531d.jpg"
"Лягушка поющая";"";"LVS-8814s";"RUB";"299";"1";"1199";"";"";"Издает звук «'i wanna be loved by you' ('я хочу быть любимой')» при нажатии на игрушку";"";"Лягушка поющая";"";"";"lyagushka-poyushchaya-lvs-8814s";"";"";"Высота: 26 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/40/72/4072971ce6f25a505670b1ec31f6a755.jpg"
"Лягушка";"";"LVS-1123";"RUB";"399";"1";"899";"";"";"Издает звук «Красота вокруг какая» при нажатии на игрушку";"";"Лягушка";"";"";"lyagushka-lvs-1123";"";"";"Высота: 50 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/61/84/618410cb25ca4fc316e43bc7ed8ac600.jpg"
"!!Медведи";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Мишка коричневый средний";"";"LVS-4094B";"RUB";"699";"1";"1199";"";"";"Издает звук «Возьми меня на ручки» при нажатии на игрушку";"";"Мишка коричневый средний";"";"";"mishka-korichnevyy-sredniy-lvs-4094b";"";"";"Высота: 31,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/95/39/9539595926eda2f0004b451290f831ee.jpg"
"Мишка в шарфе и носочках";"";"LVS-1166";"RUB";"299";"1";"599";"";"";"Издает звук «Сердце бьётся тук-тук-тук» при нажатии на игрушку";"";"Мишка в шарфе и носочках";"";"";"mishka-v-sharfe-i-nosochkakh-lvs-1166";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/35/3a/353a4a1a1c28eafea2d43428fb31a990.jpg"
"Мишка белый блестящий с сердцем";"";"LVS-1060";"RUB";"399";"1";"";"";"";"Издает звук «Как мне хорошо с тобой» при нажатии на игрушку";"";"Мишка белый блестящий с сердцем";"";"";"mishka-belyy-blestyashchiy-s-serdtsem-lvs-1060";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/81/8c/818c024a98ab0f4414a43dc585624525.jpg"
"Мишка белый  светящийся";"";"LVS-8503";"RUB";"599";"1";"999";"";"";"Издает звук «Считалочка» при нажатии на игрушку";"";"Мишка белый  светящийся";"";"";"mishka-belyy--svetyashchiysya-lvs-8503";"";"";"Высота: 29 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ce/20/ce2009d94d031e7075301e41ef7f43e8.jpg"
"Медвежонок-девочка в платье с блёстками";"";"LVS-8622A";"RUB";"199";"1";"399";"";"";"Издает звук «Бабочки, стрекозы закружились» при нажатии на игрушку";"";"Медвежонок-девочка в платье с блёстками";"";"";"medvezhonok-devochka-v-plate-s-blёstkami-lvs-8622a";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ff/20/ff20b7e66c80a94b47486c5e35896bcf.jpg"
"Медвежонок-девочка в платье";"";"LVS-8622";"RUB";"199";"1";"399";"";"";"Издает звук «Варись, варись кашка» при нажатии на игрушку";"";"Медвежонок-девочка в платье";"";"";"medvezhonok-devochka-v-plate-lvs-8622";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/4f/cf/4fcf9bdb140a068b8bfd1a22de37ddc1.jpg"
"Медвежонок Эндрю коричневый";"";"LVS-8746";"RUB";"499";"1";"1199";"";"";"Издает звук «Я по ягоды ходил» при нажатии на игрушку";"";"Медвежонок Эндрю коричневый";"";"";"medvezhonok-endryu-korichnevyy-lvs-8746";"";"";"Высота: 34 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/03/0c/030c7a2eca684ac8c205a1b38d44474e.jpg"
"Медвежонок Стив серый с бордовым сердцем";"";"LVS-8757C";"RUB";"399";"1";"739";"";"";"Издает звук «Как мне хорошо с тобой» при нажатии на игрушку";"";"Медвежонок Стив серый с бордовым сердцем";"";"";"medvezhonok-stiv-seryy-s-bordovym-serdtsem-lvs-8757c";"";"";"Высота: 26 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/d7/9c/d79c33910e4e4333cd501ec7aff50876.jpg"
"Медвежонок Стив серый";"";"LVS-8757B";"RUB";"399";"1";"669";"";"";"Издает звук «Как прекрасен этот миг» при нажатии на игрушку";"";"Медвежонок Стив серый";"";"";"medvezhonok-stiv-seryy-lvs-8757b";"";"";"Высота: 26 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/a1/6b/a16bccf2b03f628cfc06bc45162e1d4a.jpg"
"Медвежонок Стив коричневый";"";"LVS-8757A";"RUB";"399";"1";"669";"";"";"Издает звук «Мишутка-сладкоежка» при нажатии на игрушку";"";"Медвежонок Стив коричневый";"";"";"medvezhonok-stiv-korichnevyy-lvs-8757a";"";"";"Высота: 26 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c7/09/c709b7425a684aafa1100982b8ccc2b3.jpg"
"Медвежонок сиреневый с косынкой";"";"LVS-1230";"RUB";"299";"1";"599";"";"";"Издает звук «Мишутка-сладкоежка» при нажатии на игрушку";"";"Медвежонок сиреневый с косынкой";"";"";"medvezhonok-sirenevyy-s-kosynkoy-lvs-1230";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/65/68/656814bdd278e0df969a15e022570a84.jpg"
"Медвежонок Сёма в кофточке";"";"LVS-8355A";"RUB";"369";"1";"739";"";"";"Издает звук «Я по ягоды ходил» при нажатии на игрушку";"";"Медвежонок Сёма в кофточке";"";"";"medvezhonok-sёma-v-koftochke-lvs-8355a";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/37/17/37179f51f83821898c0d86b1bf5267de.jpg"
"Медвежонок с парчовым сердцем";"";"LVS-8383W";"RUB";"399";"1";"469";"";"";"Издает звук «Как мне хорошо с тобой» при нажатии на игрушку";"";"Медвежонок с парчовым сердцем";"";"";"medvezhonok-s-parchovym-serdtsem-lvs-8383w";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/82/c6/82c6f0d4ac2895279504fe5f26e8bf48.jpg"
"Медвежонок с нарциссом";"";"LVS-8383";"RUB";"299";"1";"469";"";"";"Издает звук «Ах, как я тебя люблю» при нажатии на игрушку";"";"Медвежонок с нарциссом";"";"";"medvezhonok-s-nartsissom-lvs-8383";"";"";"Высота: 20,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/74/8b/748b06387a40191aee30028412726a02.jpg"
"Медвежонок с декоративным цветком";"";"LVS-1144";"RUB";"369";"1";"569";"";"";"Издает звук «Ах, как я тебя люблю» при нажатии на игрушку";"";"Медвежонок с декоративным цветком";"";"";"medvezhonok-s-dekorativnym-tsvetkom-lvs-1144";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/a4/42/a442cdac39e82aecd910b12b50dfe480.jpg"
"Медвежонок с большой ромашкой";"";"LVS-8383Y";"RUB";"299";"1";"469";"";"";"Издает звук «Букетик для тебя» при нажатии на игрушку";"";"Медвежонок с большой ромашкой";"";"";"medvezhonok-s-bolshoy-romashkoy-lvs-8383y";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/13/ce/13ce3c88f2bd3f92cf82f320c552da80.jpg"
"Медвежонок Масик с мимозой";"";"LVS-8546P";"RUB";"239";"1";"399";"";"";"Издает звук «Ой, как ты мне нравишься» при нажатии на игрушку";"";"Медвежонок Масик с мимозой";"";"";"medvezhonok-masik-s-mimozoy-lvs-8546p";"";"";"Высота: 17,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/de/65/de65c6c63019e38b1426c46ac90649ba.jpg"
"Медвежонок Масик с бантиком";"";"LVS-8546S";"RUB";"239";"1";"399";"";"";"Издает звук «Ах, как я тебя люблю» при нажатии на игрушку";"";"Медвежонок Масик с бантиком";"";"";"medvezhonok-masik-s-bantikom-lvs-8546s";"";"";"Высота: 17,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/11/e8/11e84934281c05f23939eec2a6b97c54.jpg"
"Медвежонок Масик в маечке с вишнями";"";"LVS-8546F";"RUB";"239";"1";"399";"";"";"Издает звук «Мишка в штанишках» при нажатии на игрушку";"";"Медвежонок Масик в маечке с вишнями";"";"";"medvezhonok-masik-v-maechke-s-vishnyami-lvs-8546f";"";"";"Высота: 17,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/74/95/749509792400a109faffc883a4ee1694.jpg"
"Медвежонок лохматый в футболочке";"";"LVS-8587";"RUB";"199";"1";"399";"";"";"Издает звук «Как хорошо, что ты живёшь на свете» при нажатии на игрушку";"";"Медвежонок лохматый в футболочке";"";"";"medvezhonok-lokhmatyy-v-futbolochke-lvs-8587";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/22/81/228141701ce3895ac1e3d63b777f0afa.jpg"
"Медвежонок лохматый в зелёном свитере";"";"LVS-8648A";"RUB";"199";"1";"399";"";"";"Издает звук «Ой, как ты мне нравишься» при нажатии на игрушку";"";"Медвежонок лохматый в зелёном свитере";"";"";"medvezhonok-lokhmatyy-v-zelёnom-svitere-lvs-8648a";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/73/c5/73c5251052fb66fafe406f24f7a89103.jpg"
"Медвежонок Дэнни с сердцем";"";"LVS-8783B";"RUB";"469";"1";"669";"";"";"Издает звук «Плюшевая я игрушка» при нажатии на игрушку";"";"Медвежонок Дэнни с сердцем";"";"";"medvezhonok-denni-s-serdtsem-lvs-8783b";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/9e/fe/9efe6b18a2f9ae6a3f53a7bde338dcac.jpg"
"Медвежонок Дэнни с малиновым бантом";"";"LVS-8783A";"RUB";"299";"1";"599";"";"";"Издает звук «Ты постой, постой, красавица моя» при нажатии на игрушку";"";"Медвежонок Дэнни с малиновым бантом";"";"";"medvezhonok-denni-s-malinovym-bantom-lvs-8783a";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/e4/e4/e4e4e1a85db64292f0d7c8545a32fbac.jpg"
"Медвежонок Даня";"";"LVS-1235";"RUB";"199";"1";"399";"";"";"Издает звук «Как прекрасен этот миг» при нажатии на игрушку";"";"Медвежонок Даня";"";"";"medvezhonok-danya-lvs-1235";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/8d/28/8d2821c4f0b313dca14c6151871f262b.jpg"
"Медвежонок Вильям";"";"LVS-1236";"RUB";"399";"1";"669";"";"";"Издает звук «Я по ягоды ходил» при нажатии на игрушку";"";"Медвежонок Вильям";"";"";"medvezhonok-vilyam-lvs-1236";"";"";"Высота: 25 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/6a/aa/6aaa8a7cce81ded15dcf53c83983bac7.jpg"
"Медвежонок в футболке в полосочку";"";"LVS-8383K";"RUB";"299";"1";"469";"";"";"Издает звук «Как прекрасен этот миг» при нажатии на игрушку";"";"Медвежонок в футболке в полосочку";"";"";"medvezhonok-v-futbolke-v-polosochku-lvs-8383k";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/3d/e4/3de4a9916591bc8247be754d8b252092.jpg"
"Медвежонок в кофточке в серую полоску";"";"LVS-8383Q";"RUB";"299";"1";"469";"";"";"Издает звук «Как прекрасен этот миг» при нажатии на игрушку";"";"Медвежонок в кофточке в серую полоску";"";"";"medvezhonok-v-koftochke-v-seruyu-polosku-lvs-8383q";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/f0/07/f007c83b5394e8f8c4d2cf30d91b63ee.jpg"
"Медвежонок Берни в ушанке";"";"LVS-8533L";"RUB";"299";"1";"399";"";"";"Издает звук «Вот и зимушка пришла» при нажатии на игрушку";"";"Медвежонок Берни в ушанке";"";"";"medvezhonok-berni-v-ushanke-lvs-8533l";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/5e/46/5e46c94db46ef55867c2f1d352aadf50.jpg"
"Медвежонок Бадди";"";"LVS-1219";"RUB";"399";"1";"599";"";"";"Издает звук «Выйду из леса, гляну на село» при нажатии на игрушку";"";"Медвежонок Бадди";"";"";"medvezhonok-baddi-lvs-1219";"";"";"Высота: 23 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ad/f6/adf6b30b9a1d41677f1bb4d60095aa0f.jpg"
"Медведь Филипп";"";"LVS-1070";"RUB";"499";"1";"799";"";"";"Издает звук «Ой, как ты мне нравишься» при нажатии на игрушку";"";"Медведь Филипп";"";"";"medved-filipp-lvs-1070";"";"";"Высота: 27 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/4f/d8/4fd8f7cbb9b7a695990a600b7293814c.jpg"
"Медведь Тима";"";"LVS-8257B";"RUB";"599";"1";"1699";"";"";"Издает звук «Выйду из леса, гляну на село» при нажатии на игрушку";"";"Медведь Тима";"";"";"medved-tima-lvs-8257b";"";"";"Высота: 36 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/16/85/168570cd9d2cf8f865a4c3b3a0241d12.jpg"
