Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения
"Montagepaste WKT 2";"";"";"RUB";"";"1";"";"";"";"Серая высокотемпературная универсальная паста на основе синтетических масел, содержащая графит и дисульфид молибдена (MoS<sub>2)</sub> в качестве твердых смазочных веществ. Продукт предотвращает спекание болтов, резьбовых и штекерных соединений, уплотнений и направляющих, благодаря противозадирным (EP) присадкам подходит для высоких сжимающих нагрузок и тяжелых условий эксплуатации, отличные антифрикционные свойства. Диапазон температур применения: от -30 °C до +1000 °C (начиная с +200 °C - сухая смазка)<br><br>Класс консистенции<br><strong>MONTAGEPASTE WKT 2</strong>: NLGI 2";"";"Montagepaste WKT 2";"";"";"montagepaste-wkt-2";"";"";"";"";"";"";"";"";"";""
"ADDIFLON PTFE White 1 Paste";"";"";"RUB";"";"1";"";"";"";"Белая адгезивная многоцелевая паста на синтетической основе с добавлением политетрафторэтилена (ПТФЭ, PTFE) в качестве загустителя и твердых смазочных веществ. Рекомендуется для смазки металлических, пластмассовых и керамических элементов скольжения, для применения при низких температурах и тяжелых условиях транспортировки. Продукт пригоден для применения в пищевой промышленности и на производстве напитков.<br>Диапазон температур применения: от −40° С до +140 °С.<br><br>Класс консистенции <br><strong>ADDIFLON PTFE WHITE 1 PASTE:</strong> NLGI 1<br><br>Спецификации и лицензии<br><strong>ADDIFLON PTFE WHITE 1 PASTE:</strong> MLE1N-40";"";"ADDIFLON PTFE White 1 Paste";"";"";"addiflon-ptfe-white-1-paste";"";"";"";"";"";"";"";"";"";""
"!! Прочие смазки";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Kontaktfett EL-K2";"";"";"RUB";"";"1";"";"";"";"Защищает медьсодержащие контакты от коррозии и износа. Загуститель: кальциевое мыло. <br>Диапазон температур применения: от -30°C до +85°C.<br><br>Класс консистенции <br><strong>KONTAKTFETT EL-K2:</strong> NLGI 2<br><br>Спецификации и лицензии <br><strong>KONTAKTFETT EL-K2:</strong> M2E-30<br><br><strong>EAN код Kontaktfett EL-K2 1KG:</strong> 4014766071866";"";"Kontaktfett EL-K2";"";"";"kontaktfett-el-k2";"";"";"";"";"";"";"";"";"";""
"Korrosionsschutzfett SW 2";"";"";"RUB";"";"1";"";"";"";"Продукт на основе минеральных масел и кальциевого мыла в качестве загустителя для смазки подшипников скольжения и качения. Особо рекомендует­ся для защиты от коррозии скользящих частей, находящихся под воздействием агрессивных жидкостей (напр., соленая вода, щелочи) и газов.<br>Диапазон температур применения: от -25°C до +80°C.<br><br>Класс консистенции <br><strong>KORROSIONSSCHUTZFETT SW 2:</strong> NLGI 1-2<br><br>Спецификации и лицензии <br><strong>KORROSIONSSCHUTZFETT SW 2:</strong> KP1-2E-25<br><br><strong>EAN код Korrosionsschutzfett SW 2 0,4KG:</strong> 4014766071842";"";"Korrosionsschutzfett SW 2";"";"";"korrosionsschutzfett-sw-2";"";"";"";"";"";"";"";"";"";""
"Longlife Grease KW 1";"";"";"RUB";"";"1";"";"";"";"Смазка длительного действия, изготовленная на основе минеральных масел и кальциевого комплексного мыла, снижает трение и износ, защищает от коррозии, даже при высоких нагрузках и экстремальных условиях эксплуатации (напр., интенсив­ное поступление воды). <br>Диапазон температур применения: от -30°C до +150°C.<br><br>Класс консистенции <br><strong>LONGLIFE GREASE KW 1:</strong> NLGI 1-2<br><br>Спецификации и лицензии <br><strong>LONGLIFE GREASE KW 1:</strong> KP1-2N-30";"";"Longlife Grease KW 1";"";"";"longlife-grease-kw-1";"";"";"";"";"";"";"";"";"";""
"Kontaktfett EL-K3";"";"";"RUB";"";"1";"";"";"";"Пластичная смазка для защиты контактов и уплотнения, изготовлена на основе минерального масла и загущена кальциевым мылом. Защищает медьсодержащие контакты от коррозии и износа. Диапазон температур применения: от −30 °С до +80 °С.";"";"Kontaktfett EL-K3";"";"";"kontaktfett-el-k3";"";"";"";"";"";"";"";"";"";""
"!! Пластичные смазки класса NSF H1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"FG Grease AL 2";"";"";"RUB";"";"1";"";"";"";"Синтетическая смазка с противозадирными (ЕР) присадками, загущенная алюминиевым комплексным мылом; предназначена для смазки подшипников скольжения и качения, а также для широкого применения в пищевой промышленности. Диапазон температур применения: от -45°C до +160°C.<br><br>Класс консистенции <br><strong>FG GREASE AL 2:</strong> NLGI 2<br><br>Спецификации и лицензии <br><strong>FG GREASE AL 2:</strong> KPFHC2P-40<br><br><strong>EAN код FG Grease AL 2 0,4KG:</strong> 4014766073174";"";"FG Grease AL 2";"";"";"fg-grease-al-2";"";"";"";"";"";"";"";"";"";""
"ADDISIL Extemp 23 FG";"";"";"RUB";"";"1";"";"";"";"Белая, физиологически безопасная пищевая смазка для арматур изготовлена на основе силиконового масла. Продукт предназначен для сма­зки и уплотнения арматур, уплотнителей, пробковых кранов, манжет и мембран, задействованных в пиво­варен­ной и фармацевти­ческой про­мышленностях, а также в производстве напитков. Внесена в список NSF H1. <br>Диапазон температур применения: от -40°C до +160°C.<br><br>Класс консистенции <br><strong>ADDISIL EXTEMP 23 FG:</strong> NLGI 3<br><br>Спецификации и лицензии <br><strong>ADDISIL EXTEMP 23 FG:</strong> MSI3P-40";"";"ADDISIL Extemp 23 FG";"";"";"addisil-extemp-23-fg";"";"";"";"";"";"";"";"";"";""
"Multiplex FD 00, FD 1, FD 2";"";"";"RUB";"";"1";"";"";"";"Смазки светлого цвета, загущенные комплексным алюминиевым мылом. FD 00 и FD 1 изготовлены на основе синтетических масел, FD 2 – на основе белого масла и политетрафторэтилена (PTFE). Для смазки редукторов, подшипников качения и скольжения в пищевой и кормовой промышленности. Продукты внесены в список NSF H1. С противозадирными присадками (ЕР). <br>Диапазон температур применения<br>FD 00: от -45 до +160 °C (кратковременно +200 °C)<br>FD 1: от -40 до +160 °C<br>FD 2: от -20 до +140 °C (кратковременно +180 °C)<br><br>Класс консистенции <br><strong>MULTIPLEX FD 2:</strong> NLGI 2<br><strong>MULTIPLEX FD 1:</strong> NLGI 1<br><strong>MULTIPLEX FD 00:</strong> NLGI 00<br><br>Спецификации и лицензии<br><strong>MULTIPLEX FD 2:</strong> K2N-20 <br><strong>MULTIPLEX FD 1:</strong> KPF1P-35<br><strong>MULTIPLEX FD 00:</strong> GPFHC00P-40";"";"Multiplex FD 00, FD 1, FD 2";"";"";"multiplex-fd-00-fd-1-fd-2";"";"";"";"";"";"";"";"";"";""
"ADDIFLON PFPE Premium FD 2";"";"";"RUB";"";"1";"";"";"";"Смазка на основе перфторполиэфира и с добавлением политетрафторэтилена (PTFE) для длительной смазки в условиях высокой температуры и агрессивной среды, также для смазки подшипников скольжения и качения в оборудовании пищевой и фармацевтической промышленности; продукт внесен в список NSF H1.<br>Диапазон температур применения: от -40 °C до +260 °C (кратковременно до +280 °C).<br><br>Класс консистенции<br><strong>ADDIFLON PFPE PREMIUM FD 2:</strong> NLGI 2<br><br>Спецификации и лицензии<br><strong>ADDIFLON PFPE PREMIUM FD 2:</strong> KFK2U-40";"";"ADDIFLON PFPE Premium FD 2";"";"";"addiflon-pfpe-premium-fd-2";"";"";"";"";"";"";"";"";"";""
"!! Специальные смазки";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Longlife Grease HS 2";"";"";"RUB";"";"1";"";"";"";"Синтетическая смазка, загущенная литиевым комплексным мылом, разработана для высоконагруженных под­шипни­ков качения и скольжения; в первую очередь предназначена для холодильников. <br>Диапазон температур применения: -60°C до +140°C. <br><br>Класс консистенции <br><strong>LONGLIFE GREASE HS 2:</strong> NLGI 2<br><br>Спецификации и лицензии <br><strong>LONGLIFE GREASE HS 2:</strong> KPHC2N-60";"";"Longlife Grease HS 2";"";"";"longlife-grease-hs-2";"";"";"";"";"";"";"";"";"";""
"ADDIFLON OXS 400";"";"";"RUB";"";"1";"";"";"";"Термически стабильная спе­циальная смазка на основе сили­конового масла. Физиологически безопасное предохранительное антифрикционное средство для кислородного оборудования. Продукт лицензирован немецким Федераль­ным ведомством по испытанию материалов (BAM). <br>Диапазон температур применения: -30°C до +200°C.<br><br>Класс консистенции <br><strong>ADDIFLON OXS 400:</strong> NLGI 3<br><br>Спецификации и лицензии <br><strong>ADDIFLON OXS 400:</strong> MFSI3S-30";"";"ADDIFLON OXS 400";"";"";"addiflon-oxs-400";"";"";"";"";"";"";"";"";"";""
"ADDISIL Extemp 2";"";"";"RUB";"";"1";"";"";"";"Пластичная смазка на основе силиконового масла и литиевого мыла в качестве загустителя для длительной и непрерывной смазки таких пар мате­риалов как сталь/бронза, алюминий, хром и пластмасса. Используется при любых температурах и легких/средних нагрузках. Диапазон температур применения: -50°C до +180°C. Выполняет требования: VW-TL 767X, Bosch RBIN-Standard: N28 F 002 S3F A06.<br><br><br>Класс консистенции <br><strong>ADDISIL EXTEMP 2:</strong> NLGI 2<br><br>Спецификации и лицензии <br><strong>ADDISIL EXTEMP 2:</strong> KSI2R-50";"";"ADDISIL Extemp 2";"";"";"addisil-extemp-2";"";"";"";"";"";"";"";"";"";""
"ADDIFLON PFPE Premium XH 1, Premium XH 2";"";"";"RUB";"";"1";"";"";"";"Перфторированные полиэфирные (PFPE) смазки на основе синтетического масла разработаны для высоких нагрузок и экстремальных условий эксплуатации (напр., высокие температуры и удельные давления, воздействие агрессивных химикатов). <br>Диапазон температур применения: от -40 °C до +280 °C (без доступа воздуха до +300 °C).<br><br>Класс консистенции <br><strong>ADDIFLON PFPE PREMIUM XH 2:</strong> NLGI 2<br><strong>ADDIFLON PFPE PREMIUM XH 1:</strong> NLGI 1<br><br>Спецификации и лицензии <br><strong>ADDIFLON PFPE PREMIUM XH 2:</strong> KFK2U-40<br><strong>ADDIFLON PFPE PREMIUM XH 1:</strong> KFK1U-20";"";"ADDIFLON PFPE Premium XH 1, Premium XH 2";"";"";"addiflon-pfpe-premium-xh-1-premium-xh-2";"";"";"";"";"";"";"";"";"";""
"Supertemp XHT 2 EP";"";"";"RUB";"";"1";"";"";"";"Высокотемпературная смазка на основе синтетического масла (загуститель: литиевое комплексное мыло) для смазки подшипников качения и скольжения, функционирующих в условиях сжимающих и ударных нагрузок. <br>Диапазон температур применения: от -40°C до +150°C.<br><br>Класс консистенции <br><strong>SUPERTEMP XHT 2 EP:</strong> NLGI 2<br><br>Спецификации и лицензии <br><strong>SUPERTEMP XHT 2 EP:</strong> KPHC2N-40";"";"Supertemp XHT 2 EP";"";"";"supertemp-xht-2-ep";"";"";"";"";"";"";"";"";"";""
"Longlife Grease KP 2 K-SEB";"";"";"RUB";"";"1";"";"";"";"Cмазка длительного действия на основе минерального масла и литиевого мыла характеризуется высокой несущей способностью, великолепными антикоррозионными свойствами, превосходной водостойкостью и широким диапазоном температур применения (-30 °C до +130 °C, кратковременно до +160 °C). Применяется в первую очередь в станках горячей и холодной прокатки.<br>Выполняет требования: SEB 181253. <br><br>Класс консистенции <br><strong>LONGLIFE GREASE KP2K-SEB:</strong> NLGI 2<br><br>Спецификации и лицензии <br><strong>LONGLIFE GREASE KP2K-SEB:</strong> KP2K-30";"";"Longlife Grease KP 2 K-SEB";"";"";"longlife-grease-kp-2-k-seb";"";"";"";"";"";"";"";"";"";""
"Multiplex XMK 2";"";"";"RUB";"";"1";"";"";"";"Смазка на основе полиальфа­олефинов (PAO) и литиево-кальциевого мыла характеризуется широким диапазоном температур применения; разработана для смазки конструкционных элементов пар трения «металл/пластмасса» и «пластмасса/пластмасса». Диапазон температур применения: -50°C до +140°C. Выполняет требования: VW-TL 778 A.<br><br>Класс консистенции <br><strong>MULTIPLEX XMK 2:</strong> NLGI 2<br><br>Спецификации и лицензии <br><strong>MULTIPLEX XMK 2:</strong> KHC2N-50<br><br><strong>EAN код Multiplex XMK 2 1KG:</strong> 4014766071897";"";"Multiplex XMK 2";"";"";"multiplex-xmk-2";"";"";"";"";"";"";"";"";"";""
"Hightemp XFT 2";"";"";"RUB";"";"1";"";"";"";"Высокотемпературная смазка на синте­тической основе для смазки подшипников скольжения и качения, функционирующих при высоких температурах, напр., в печах, вентиляторах с горячим дутьем, шиберах, холодильниках прокатного стана и т.п. <br>Диапазон температур применения:<strong></strong> от -30°C до +180°C (кратковременно до +200 °C).<br><br>Класс консистенции <br><strong>HIGHTEMP XFT 2:</strong> NLGI 1-2<br><br>Спецификации и лицензии <br><strong>HIGHTEMP XFT 2:</strong> KPHC1-2R-30<br><br><strong>EAN код Hightemp XFT 2 0,4KG:</strong> 4014766071767<br><strong>EAN код Hightemp XFT 2 1KG:</strong> 4014766071606";"";"Hightemp XFT 2";"";"";"hightemp-xft-2";"";"";"";"";"";"";"";"";"";""
"Longlife Grease HP 1, HP 2";"";"";"RUB";"";"1";"";"";"";"Смазки длитель­но­го действия на основе ми­нерального масла и литиево-кальциевого мыла. Особо рекомендуются для высоких нагрузок, а также экстремальных условий окру­жающей среды (интенсив­ное поступление воды).<br>Диапазон температур применения:<br>HP 1: от -30 °C до +140 °C<br>HP 2: от -25 °C до +140 °C, при ре­гу­лярном внесении смазки до +160 °C<br><br>Класс консистенции <br><strong>LONGLIFE GREASE HP 2:</strong> NLGI 2<br><strong>LONGLIFE GREASE HP 1:</strong> NLGI 1<br><br>Спецификации и лицензии <br><strong>LONGLIFE GREASE HP 2:</strong> KP1N-30<br><strong>LONGLIFE GREASE HP 1:</strong> KP2N-20<br><br><strong>EAN код Longlife Grease HP 1 0,4KG:</strong> 4014766071934<br><strong>EAN код Longlife Grease HP 2 0,4KG:</strong> 4014766071699";"";"Longlife Grease HP 1, HP 2";"";"";"longlife-grease-hp-1-hp-2";"";"";"";"";"";"";"";"";"";""
"Wear Protect HTP 2 MO";"";"";"RUB";"";"1";"";"";"";"Литиевая смазка с дисульфидом молибдена (MoS<sub>2</sub>) предназначена для подшипников качения и скольжения, функционирующих при высоких/сверхвысоких и ударных нагрузках, в пыльной и влажной среде. <br>Диапазон температур применения: от -30°C до +130°C (кратковременно до +140°C).<br><br>Класс консистенции <br><strong>WEAR PROTECT HTP 2 MO:</strong> NLGI 2<br><br>Спецификации и лицензии <br><strong>WEAR PROTECT HTP 2 MO:</strong> KPF2K-30";"";"Wear Protect HTP 2 MO";"";"";"wear-protect-htp-2-mo";"";"";"";"";"";"";"";"";"";""
"Wear Protect HTP 2";"";"";"RUB";"";"1";"";"";"";"Смазка длитель­но­го действия на основе ми­нерального масла и литиево-кальциевого мыла; применяется главным образом в горной промышленности (разработка открытым способом), на судах и буровых платформах, а также в шагающих экскаваторах. Диапазон температур применения: от -20°C до +120°C.<br><br>Класс консистенции <br><strong>WEAR PROTECT HTP 2:</strong> NLGI 2<br><br>Спецификации и лицензии <br><strong>WEAR PROTECT HTP 2:</strong> KP2K-20<br><br><strong>EAN код Wear Protect HTP 2 0,4KG:</strong> 4014766071903";"";"Wear Protect HTP 2";"";"";"wear-protect-htp-2";"";"";"";"";"";"";"";"";"";""
"Arctic Grease XP 2";"";"";"RUB";"";"1";"";"";"";"Низкотемпературная смазка на основе минерального масла и кальциевого мыла при­меняется на хо­ло­дильниках, в кла­панных шпин­делях, функци­онирую­щих в условиях арктического холода. <br>Диапазон температур применения: от -50°C до +100°C.<br><br>Класс консистенции <br><strong>ARCTIC GREASE XP 2:</strong> NLGI 2<br><br>Спецификации и лицензии <br><strong>ARCTIC GREASE XP 2:</strong> K2G-50<br><br><strong>EAN код Arctic Grease XP 2 1KG:</strong> 4014766071637";"";"Arctic Grease XP 2";"";"";"arctic-grease-xp-2";"";"";"";"";"";"";"";"";"";""
"Granule Grease 2 Plus";"";"";"RUB";"";"1";"";"";"";"Смазка на основе минерального масла и литиево-кальциевого мыла предназначена для долговременной смазки подшипников качения и скольжения, функционирующих при высоких и ударных нагрузках. Идеально подходит напр., для смазки подшипников роликов в прессах, задействованных в производстве древесных гранул. Обеспечивает надежную смазку даже при интесивном поступлении воды. <br>Диапазон температур применения: от -25°С до 165°C.<br><br>Класс консистенции<br><strong>GRANULE GREASE 2 PLUS:</strong> NLGI 2<br><br>Спецификации и лицензии<br><strong>GRANULE GREASE 2 PLUS:</strong> KP2N-20";"";"Granule Grease 2 Plus";"";"";"granule-grease-2-plus";"";"";"";"";"";"";"";"";"";""
"Longlife Grease MG 2";"";"";"RUB";"";"1";"";"";"";"Пластичная смазка на основе синтетических и минеральных базовых масел, литиевого мыла, а также графита и дисульфида молибдена (MoS<sub>2</sub>) в качестве противозадирных твердых смазочных веществ, применяется в промышленности для смазки подшипников, направляющих и шпинделей, медленно движущихся и функционирующих в условиях высоких нагрузок. Идеально подходит для применения в деревообрабатывающей промышленности.<br>Диапазон температур применения: от -25 °C до +150 °C (кратковременно до +180 °C)<br><br>Класс консистенции <br><strong>LONGLIFE GREASE MG 2:</strong> NLGI 2<br><br>Спецификации и лицензии<br><strong>LONGLIFE GREASE MG 2:</strong> KPF2N-25";"";"Longlife Grease MG 2";"";"";"longlife-grease-mg-2";"";"";"";"";"";"";"";"";"";""
"Granule Grease HT 2";"";"";"RUB";"";"1";"";"";"";"Пластичная смазка на основе минерального масла и литиевого комплексного мыла в качестве загустителя предназначена для долговременной смазки подшипников качения и скольжения, функционирующих при высоких ударных нагрузках, а также при повышенных температурах. Рекомендуется для смазки подшипников прессующих вальцов прессов-грануляторов, обладает отличной водостойкостью и термостабильностью.<br> Диапазон температур применения: от -15 °C до +160 °C (при непрерывной подаче смазки до + 220 °C).<br><br>Класс консистенции<br><strong>GRANULE GREASE HT 2:</strong> NLGI 1-2<br><br>Спецификации и лицензии<br><strong>GRANULE GREASE HT 2:</strong> KP1-2P-10";"";"Granule Grease HT 2";"";"";"granule-grease-ht-2";"";"";"";"";"";"";"";"";"";""
"Eco Grease PD 2-120, PD 2-400";"";"";"RUB";"";"1";"";"";"";"Высокомощные пластичные смазки на основе пакета присадок Surftec®, предназначены для применения в качестве смазки длительного действия и смазки на весь срок службы для подшипников качения и скольжения, функционирующих при высоких нагрузках. Защищают и выравнивают поверхности трения (эффект пластичного выравнивания), идеально подходят для систем централизованной смазки.";"";"Eco Grease PD 2-120, PD 2-400";"";"";"eco-grease-pd-2-120-pd-2-400";"";"";"";"";"";"";"";"";"";""
"High Speed Grease 2";"";"";"RUB";"";"1";"";"";"";"Cмазка, изготовленная на основе синтетического базового масла и загущенная литиевым комплексным мылом, предназначена для смазки подшипников качения и скольжения, функционирующих при высоких оборотах и/или низких температурах, например, в станках и текстильном оборудовании, ходовых винтах, линейных приводах, электромоторах, зубчатых и малых редукторах. <br>Диапазон температур применения: от −50 °C +120 °C, кратковременно до +140 °C.<br><br>Класс консистенции<br><strong>HIGH SPEED GREASE 2:</strong> NLGI 2";"";"High Speed Grease 2";"";"";"high-speed-grease-2";"";"";"";"";"";"";"";"";"";""
"Wear Protect RS 2, RS 2 MO";"";"";"RUB";"";"1";"";"";"";"Специальные смазки, изготовленные на основе минерального масла, загущенные кальциевым мылом предназначены для смазки высоконагруженных подшипников скольжения и качения, функционирующих в неблагоприятных условиях окружающей среды, как, например, кислоты, щелочи и влажность. RS 2 MO содержит твердые вещества (MoS<sub>2</sub>).<br>Диапазон температур применения: от −30 °C до +150 °C, кратковременно до +180 °C. <br><br>Класс консистенции<br><strong>WEAR PROTECT RS 2:</strong> NLGI 2<br><strong>WEAR PROTECT RS 2 MO:</strong> NLGI 2<br><br>Спецификации и лицензии <br><strong>WEAR PROTECT RS 2:</strong> KP2P-30<br><strong>WEAR PROTECT RS 2 MO:</strong> KPF2P-30";"";"Wear Protect RS 2, RS 2 MO";"";"";"wear-protect-rs-2-rs-2-mo";"";"";"";"";"";"";"";"";"";""
"Wear Protect RS 2 SYN";"";"";"RUB";"";"1";"";"";"";"Термически стабильная смазка на основе синтетического масла и поликарбамида рекомендуется для смазки подшипников скольжения и качения, функционирующих в неблагоприятных условиях эксплуатации, как, например, высокие температуры, интенсивное поступление воды, переменные нагрузки и высокие скорости.<br>Диапазон температур применения: −40° +180°C.<br><br>Класс консистенции<br><strong>WEAR PROTECT RS 2 SYN:</strong> NLGI 2<br><br>Спецификации и лицензии <br><strong>WEAR PROTECT RS 2 SYN:</strong> KPHC2R-40";"";"Wear Protect RS 2 SYN";"";"";"wear-protect-rs-2-syn";"";"";"";"";"";"";"";"";"";""
"ADDIFLON Super 2 EP";"";"";"RUB";"";"1";"";"";"";"Стабильная к термическому и химическому распаду смазка, изготовленная на основе синтетического масла, органического загустителя и особого пакета присадок, для термически высоконагруженных подшипников качения и скольжения; рекомендуется для длительной и граничной смазки направляющих роликов конвейерных установок и т.п.<br>Диапазон температур применения: от –50 °C до +260 °C.<br><br>Класс консистенции<br><strong>ADDIFLON SUPER 2 EP:</strong> NLGI 2<br><br>Спецификации и лицензии<br><strong>ADDIFLON SUPER 2 EP:</strong> KPFK2U-50";"";"ADDIFLON Super 2 EP";"";"";"addiflon-super-2-ep";"";"";"";"";"";"";"";"";"";""
"Eco Grease A 2-500";"";"";"RUB";"";"1";"";"";"";"Пластичная смазка на минеральной основе, загущенная литиево-кальциевым комплексным мылом для долговременной смазки подшипников качения и скольжения в автомобилях и промышленном оборудовании; обладает надежной защитой от износа и высокой допустимой нагрузкой, водостойкая. <br> Диапазон температур применения: от −20 до +140 °C (кратковременно до +150 °C).<br><br>Класс консистенции <br><strong>ECO GREASE A 2-500:</strong> NLGI 2<br><br>Спецификации и лицензии<br><strong>ECO GREASE A 2-500:</strong> GOGM2N-20";"";"Eco Grease A 2-500";"";"";"eco-grease-a-2-500";"";"";"";"";"";"";"";"";"";""
"Hightemp HF 2";"";"";"RUB";"";"1";"";"";"";"Высокотемпературная смазка на основе синтетических масел и специального загустителя для длительной смазки низкоскоростных подшипников качения и скольжения, направляющих планок и пар трения с высоким потенциалом износа. Отличается высокой устойчивостью к воздействию воды, кислот и щелочей. <br>Диапазон температур применения: от -20 до +200 °C.<br><br>Класс консистенции<br><strong>HIGHTEMP HF 2:</strong> NLGI 2-3<br><br>Спецификации и лицензии<br><strong>HIGHTEMP HF 2:</strong> KFKHC2-3S-20";"";"Hightemp HF 2";"";"";"hightemp-hf-2";"";"";"";"";"";"";"";"";"";""
"Wear Protect SDE 2";"";"";"RUB";"";"1";"";"";"";"Полусинтетическая пластичная смазка c кальциевым мылом для подшипников и редукторов, для высоких и/или толчкообразных ударных нагрузок, а также для вибраций; для долговременной смазки сельскохозяйственных, строительных и лесопромышленных машин и установок. Продукт устойчив к влаге и воде.<br>Диапазон температур применения: от -30 до +120 °C.<br><br>Класс консистенции<br><strong>WEAR PROTECT SDE 2:</strong> NLGI 2<br><br>Спецификации и лицензии<br><strong>WEAR PROTECT SDE 2:</strong> KP2K-30";"";"Wear Protect SDE 2";"";"";"wear-protect-sde-2";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Wear Protect SDE 2_.jpg";"";"";""
"!! Полужидкие смазки";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ökosynth Spurkranzfett G";"";"";"RUB";"";"1";"";"";"";"Кальциевая смазка с графитом для контактных по­верх­нос­тей гребней бандажа / боковых поверхностей головок рельс и по­верх­ностей скольжения же­лез­но­до­рожных стрелок, тяговых и бу­ферных устройств. Биоразлагаемый продукт черного цвета. Диапазон температур применения: от -30°C до +80°C.<br><br>Класс консистенции<br><strong>ÖKOSYNTH SPURKRANZFETT G:</strong> NLGI 000<br><br>Спецификации и лицензии <br><strong>ÖKOSYNTH SPURKRANZFETT G:</strong> MFE000E-30";"";"Ökosynth Spurkranzfett G";"";"";"ökosynth-spurkranzfett-g";"";"";"";"";"";"";"";"";"";""
"Ökosynth Spurkranzfett";"";"";"RUB";"";"1";"";"";"";"Литиевая смазка для контактных по­верх­нос­тей гребней бандажа / боковых поверхностей головок рельс и по­верх­ностей скольжения же­лез­но­до­рожных стрелок, тяговых и бу­ферных устройств. Биоразлагаемый продукт желтого цвета. Диапазон температур применения: от -30°C до +80°C. <br><br>Класс консистенции<br><strong>ÖKOSYNTH SPURKRANZFETT:</strong> NLGI 00/000";"";"Ökosynth Spurkranzfett";"";"";"ökosynth-spurkranzfett";"";"";"";"";"";"";"";"";"";""
"Fließfett LIC 000";"";"";"RUB";"";"1";"";"";"";"Смазка на основе минерального масла и литиевого загустителя предназначена для центра­лизо­ван­ных систем смазки грузовых автомобилей. Продукт легирован противозадирными (EP) присадками. Диапазон температур применения: от -50°C до +120°C. <br><br>Класс консистенции<br><strong>FLIEßFETT LIC 000:</strong> NLGI 00/000<br><br>Спецификации и лицензии <br><strong>FLIEßFETT LIC 000:</strong> GP00/000K-50; Bielomatik; выполняет требования: MB 264.0; MB DBL 6833.00; MAN 283 Li-P00<br><br><strong>EAN код Fließfett LIC 000 1KG:</strong> 4014766071569";"";"Fließfett LIC 000";"";"";"fließfett-lic-000";"";"";"";"";"";"";"";"";"";""
"Fließfett PG-00";"";"";"RUB";"";"1";"";"";"";"Синтетическая смазка для высоконагруженных цилиндрических и червячных передач, функционирующих при низких температурах. Загуститель: литиевое мыло. Диапазон температур применения: от -40°C до +120°C. <br><br>Класс консистенции<br><strong>FLIEßFETT PG-00:</strong> NLGI 00<br><br>Спецификации и лицензии <br><strong>FLIEßFETT PG-00:</strong> GPPG00K-40";"";"Fließfett PG-00";"";"";"fließfett-pg-00";"";"";"";"";"";"";"";"";"";""
"Fließfett SGR 4-00-9P";"";"";"RUB";"";"1";"";"";"";"Многоцелевая смазка на основе минерального масла и литиевого загустителя; предназначена для промышленных редукторов, подшипников качения и скольжения. Диапазон температур применения: от -30°C до +120°C. <br><br>Класс консистенции<br><strong>FLIEßFETT SGR 4-00-9P:</strong> NLGI 00<br><br>Спецификации и лицензии <br><strong>FLIEßFETT SGR 4-00-9P:</strong> GP00K-30";"";"Fließfett SGR 4-00-9P";"";"";"fließfett-sgr-4-00-9p";"";"";"";"";"";"";"";"";"";""
"Combiplex OG 05";"";"";"RUB";"";"1";"";"";"";"Минеральная смазка, загущенная литиево-кальциевым комплексным мылом, предназначена для высоконагруженных подшипников качения и скольжения. Благодаря новой технологии присадок характеризуется великолепной несущей способностью, превосходными противозадирными свойствами, исключительной водостойкостью. Диапазон температур применения: от -30°C до +140°C. <br><br>Класс консистенции<br><strong>COMBIPLEX OG 05:</strong> NLGI 0,5<br><br>Спецификации и лицензии <br><strong>COMBIPLEX OG 05:</strong> KPGOG0.5N-30";"";"Combiplex OG 05";"";"";"combiplex-og-05";"";"";"";"";"";"";"";"";"";""
"Haftschmierstoff OG 0";"";"";"RUB";"";"1";"";"";"";"Продукт на ос­но­ве минерального масла и комплексного алюминиевого мыла особо рекомендуется для больших открытых зубчатых передач (напр., в барабан­ных шаровых мельницах цементной промышленности). Ле­ги­рован противозадирными присадками. Пригоден для распы­ления. Применяется в диапазоне от -20°C до +200°C (кратковременно до +250°C) . <br><br>Класс консистенции<br><strong>HAFTSCHMIERSTOFF OG-0:</strong> NLGI 0<br><br>Спецификации и лицензии <br><strong>HAFTSCHMIERSTOFF OG-0:</strong> OGPF0S-20";"";"Haftschmierstoff OG 0";"";"";"haftschmierstoff-og-0";"";"";"";"";"";"";"";"";"";""
