Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения
"Getriebeöl GS 75 W 90, GS 80 W, GS 80 W 90, GS 85 W 90, GS 85 W 140";"";"";"RUB";"";"1";"";"";"";"Трансмиссионные масла для смазки ручных коробок передач, главных и гипоидных передач с нормальным зубчатым зацеплением и незначительным смещением оси.<br><br>Класс вязкости<br><strong>GETRIEBEÖL GS 80 W:</strong> SAE 80W<br><strong>GETRIEBEÖL GS 85 W 90:</strong> SAE 85W-90<br><strong>GETRIEBEÖL GS 75 W 90:</strong> SAE 75W-90<br><strong>GETRIEBEÖL GS 80 W 90:</strong> SAE 80W-90<br><strong>GETRIEBEÖL GS 85 W 140:</strong> SAE 85W-140<br><br>Спецификации и лицензии <br><strong>GETRIEBEÖL GS 80 W:</strong> API GL-4; MIL-L-2105; лицензии:  MB 235.1; ZF000630: ZF TE-ML 17A; выполняет требования: ZF TE-ML 08; MAN 341 Z2, MAN 341 E1<br><strong>GETRIEBEÖL GS 85 W 90:</strong> API GL-4; MIL-L 2105<br><strong>GETRIEBEÖL GS 75 W 90:</strong> API GL-4; MIL-L 2105; выполняет требования: ZF TE-ML 08<br><strong>GETRIEBEÖL GS 80 W 90:</strong> API GL-4; MIL-L 2105; лицензии: ZF000701: ZF TE-ML 16A, 17A, 19A; выполняет требования: ZF TE-ML 08<br><strong>GETRIEBEÖL GS 85 W 140:</strong> API GL-4; MIL-L 2105<br><br><strong>EAN код Getriebeöl GS 75 W 90 1L:</strong> 4014766070265<br><strong>EAN код Getriebeöl GS 75 W 90 4L</strong>: 4014766250216<br><strong>EAN код Getriebeöl GS 80 W 1L:</strong> 4014766070180<br><strong>EAN код Getriebeöl GS 80 W 90 1L:</strong> 4014766070456<br><strong>EAN код Getriebeöl</strong> <strong>GS 85 W 90 1L</strong>: 4014766070227";"";"Getriebeöl GS 75 W 90, GS 80 W, GS 80 W 90, GS 85 W 90, GS 85 W 140";"";"";"getriebeöl-gs-75-w-90-gs-80-w-gs-80-w-90-gs-85-w-90-gs-85-w-140";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/GS 75 W 90 1l.jpg";"http://www.addinol.ee/extensions/addinol_db/pic/GS 80 W 1l.jpg";"http://www.addinol.ee/extensions/addinol_db/pic/GS 80 W 90 1l.jpg";"http://www.addinol.ee/extensions/addinol_db/pic/GS 85 W 90 1l.jpg"
"Getriebeöl GX 80 W 90 ML";"";"";"RUB";"";"1";"";"";"";"Многофункциональное трансмиссионное масло, характеризующееся удлиненными интервалами смены масла, для смазки ручных коробок передач и главных передач.<br><br>Класс вязкости <br><strong>GETRIEBEÖL GX 80 W 90 ML:</strong> SAE 80W-90<br><br>Спецификации и лицензии <br><strong>GETRIEBEÖL GX 80 W 90 ML: </strong>API GL-4/GL-5; API MT1; MIL-L-2105/2105 D; litsentsid: ZF000672: ZF TE-ML 02B, 05A, 12L, 12M, 16B, 17H, 19B, 21A; MAN 341 E2 (341 Z2, 3343 M), MAN 341 Z2, MAN 342 M2; выполняет требования: <span><span><span>MAN 341 Z1 (N), MAN 342 M1 (N), MAN M 3343 M; ZF TE-ML 07A, 08; MB 235.0</span></span></span>";"";"Getriebeöl GX 80 W 90 ML";"";"";"getriebeöl-gx-80-w-90-ml";"";"";"";"";"";"";"";"";"";""
"Getriebeöl GX 80 W 90";"";"";"RUB";"";"1";"";"";"";"Трансмиссионное масло многоцелевого назначения для синхронизированных и несинхронизированных коробок передач с ручным управлением и главных передач. <br><br>Класс вязкости <br><strong>GETRIEBEÖL GX 80 W 90:</strong> SAE 80W-90<br><br>Спецификации и лицензии <br><strong>GETRIEBEÖL GX 80 W 90:</strong> API GL-4/GL-5; MIL-L 2105/2105 D; выполняет требования: MAN 341 Z1 (N), MAN 342 M1 (N); MB 235.0/235.1<br><br><strong>EAN код Getriebeöl GX 80 W 90 1L:</strong> 4014766070975<br><strong>EAN код Getriebeöl GX 80 W 90 4L:</strong> 4014766250438";"";"Getriebeöl GX 80 W 90";"";"";"getriebeöl-gx-80-w-90";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/GX 80 W 90 1l.jpg";"";"";""
"Getriebeöl GH 85 W 90 LS, GH 80 W 90 LS";"";"";"RUB";"";"1";"";"";"";"Трансмиссионные масла для автомобилей с дифференциалами повышенного трения (Limited Slip).<br><br>Класс вязкости <br><strong>GETRIEBEÖL GH 85 W 90 LS:</strong> SAE 85W-90<br><strong>GETRIEBEÖL GH 80 W 90 LS:</strong> SAE 80W-90<br><br>Спецификации и лицензии <br><strong>GETRIEBEÖL GH 85 W 90 LS:</strong> API GL-5; MIL-L-2105 D; лицензии: ZF000629: ZF TE-ML 05C, 12C, 16E, 21C; выполняет требования: MAN 342 M1 (N); Volvo 97310/97314; DAF; MB 235.0; ZF TE-ML 07A, 08 <br><strong>GETRIEBEÖL GH 80 W 90 LS:</strong> API GL-5; MIL-L-2105 D; лицензии: ZF000703: ZF TE-ML 05C, 12C, 21C; выполняет требования: MAN 342 M1 (N); MB 235.0; Volvo 97310/97314; DAF; ZF TE-ML 07A, 08";"";"Getriebeöl GH 85 W 90 LS, GH 80 W 90 LS";"";"";"getriebeöl-gh-85-w-90-ls-gh-80-w-90-ls";"";"";"";"";"";"";"";"";"";""
"Transmission MBS 75W-90";"";"";"RUB";"";"1";"";"";"";"Полностью синтетическое всесезонное трансмиссионное масло для грузовых автомобилей большой грузоподъемности, рекомендуется для широкого диапазона температур и высоких нагрузок.<br><br>Класс вязкости<br><strong>TRANSMISSION MBS 75W 90:</strong> SAE 75W-90 <br><br>Спецификации и лизензии<br><strong>TRANSMISSION MBS 75W 90:</strong> API GL-4; выполняет требования: MB 235.11; ZF TE-ML 08; MAN 341 Type MB";"";"Transmission MBS 75W-90";"";"";"transmission-mbs-75w-90";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/20L Transmission MBS 75W-90.jpg";"";"";""
"Getriebeöl GH 75 W 90, GH 80 W 90, GH 85 W 90, GH 80 W 140, GH 85 W 140";"";"";"RUB";"";"1";"";"";"";"Трансмиссионные масла для автомобилей, особо рекомендуются для гипоидных передач с большим смещением моста.<br><br>Класс вязкости <br><strong>GETRIEBEÖL GH 85 W 90:</strong> SAE 85W-90<br><strong>GETRIEBEÖL GH 75 W 90:</strong> SAE 75W-90<br><strong>GETRIEBEÖL GH 80 W 90:</strong> SAE 80W-90<br><strong>GETRIEBEÖL GH 85 W 140:</strong> SAE 85W-140<br><strong>GETRIEBEÖL GH 80 W 140:</strong> SAE 80W-140<br><br>Спецификации и лицензии <br><strong>GETRIEBEÖL GH 85 W 90:</strong> API GL-5; MIL-L-2105 D; лицензии: MAN 342 M1; ZF000555: ZF TE-ML 16C, 17B, 19B, 21A; Voith Turbo 132.00374400; выполняет требования: ZF TE-ML 07A, 08; MB 235.0<br><strong>GETRIEBEÖL GH 75 W 90:</strong> API GL-5/GL-4; MIL-L 2105 D; выполняет требования: VW 501 50 (G 50); ZF TE-ML 07A, 08<br><strong>GETRIEBEÖL GH 80 W 90:</strong> API GL-5; MIL-L-2105 D; лицензии: ZF000671: ZF TE-ML 16B, 17B, 19B, 21A; Voith Turbo 132.00374400; выполняет требования: ZF TE-ML 07A, 08<br><strong>GETRIEBEÖL GH 85 W 140:</strong> API GL-5; MIL-L 2105 D; выполняет требования: ZF TE-ML 07A, 08 <br><strong>GETRIEBEÖL GH 80 W 140:</strong> API GL-5; MIL-L 2105 D; выполняет требования: ZF TE-ML 07A, 08<br><br><strong>EAN код Getriebeöl GH 75 W 90 1L:</strong> 4014766070272<br><strong>EAN код Getriebeöl GH 75 W 90 4L:</strong> 4014766250223<br><strong>EAN код Getriebeöl GH</strong> <strong>80 W 90 1L:</strong> 4014766070470<br><strong>EAN код Getriebeöl GH 85 W 90 1L</strong>: 4014766070166";"";"Getriebeöl GH 75 W 90, GH 80 W 90, GH 85 W 90, GH 80 W 140, GH 85 W 140";"";"";"getriebeöl-gh-75-w-90-gh-80-w-90-gh-85-w-90-gh-80-w-140-gh-85-w-140";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/GH 75 W 90 1l.jpg";"http://www.addinol.ee/extensions/addinol_db/pic/GH 80 W 140 1l.jpg";"http://www.addinol.ee/extensions/addinol_db/pic/GH 85 W 90 1l.jpg";"http://www.addinol.ee/extensions/addinol_db/pic/GH 85 W 140 1l.jpg"
"Getriebeöl GH 75 W 90 SL";"";"";"RUB";"";"1";"";"";"";"Синтетическое трансмиссионное масло с великолепными антифрикционными свойствами и удлиненными интервалами смены предназначено для грузовых автомобилей большой грузоподъемности.<br><br>Класс вязкости <br><strong>GETRIEBEÖL GH 75 W 90 SL:</strong> SAE 75W-90<br><br>Спецификации и лицензии <br><strong>GETRIEBEÖL GH 75 W 90 SL:</strong> API GL-5; MIL-L-2105 D; MIL-PRF-2105 E; лицензии: MAN 342 S1 (SL); ZF000819: ZF TE-ML 05A, 12B, 16F, 17B; MB 235.8; выполняет требования: Volvo Transmission Oil 97312; DAF; ZF TE-ML 07A, 08";"";"Getriebeöl GH 75 W 90 SL";"";"";"getriebeöl-gh-75-w-90-sl";"";"";"";"";"";"";"";"";"";""
"Getriebeöl GS 75 W 80 SL";"";"";"RUB";"";"1";"";"";"";"Синтетическое трансмиссионное масло с удлиненными интервалами замены масла предназначено для смазки коробок передач коммерческих автомобилей большой грузоподъемности.<br><br>Класс вязкости <br><strong>GETRIEBEÖL GS 75 W 80 SL:</strong> SAE 75W-80<br><br>Спецификации и лицензии <br><strong>GETRIEBEÖL GS 75 W 80 SL:</strong> API GL-4; лицензии: MAN 341 Z4/E3 (SL); ZF TE-ML <span>01L, </span>02L, 16K; выполняет требования: <span>Eaton Europe; Volvo Transmission Oil 97305; ZF TE-ML 08; DAF; Iveco; Renault</span>";"";"Getriebeöl GS 75 W 80 SL";"";"";"getriebeöl-gs-75-w-80-sl";"";"";"";"";"";"";"";"";"";""
"Трансмиссионное масло Multi Transmission Fluid 75W-80";"";"";"RUB";"";"1";"";"";"";"Синтетическое высокоэффективное трансмиссионное масло для механических коробок передач, рекомендуемое для многих легковых автомобилей при замене масла во время технического обслуживания. Предназначено для смазки синхронизированных механических коробок передач в легковых автомобилях и рекомендуется, в частности, для легковых автомобилей с истекшим сроком гарантийного обслуживания и не требующих заливки оригинального масла.<br><br>Класс вязкости<br><strong>MULTI TRANSMISSION FLUID 75W-80:</strong> SAE 75W-80<br><br>Спецификации и лицензии<br><strong>MULTI TRANSMISSION FLUID 75W-80:</strong> API GL-4; выполняет требования: MB 235.10, Volvo 97308 / 97309, BMW/Mini MTF LT-1 / LT-2, Fiat 9.55550-MZ1, Fiat 9.55550-MX3, Ford WSS-M2C200-D2, Ford WSS-M2C200-C, Ford WSS-M2C175-A, Ford WSS-M2C186-A, PSA B71 2330, Honda MTF, Honda MTF II, Honda MTF III, Honda MTF94, GM 1940768, Peugeot 9730A2/A8, Land Rover MTF94";"";"Трансмиссионное масло Multi Transmission Fluid 75W-80";"";"";"transmissionnoe-maslo-multi-transmission-fluid-75w-80";"";"";"";"";"";"";"";"";"";""
"Трансмиссионное масло Multi Transmission Fluid 75W-90";"";"";"RUB";"";"1";"";"";"";"Синтетическое высокоэффективное трансмиссионное масло для механических коробок передач, рекомендуемое для многих легковых автомобилей при замене масла во время технического обслуживания. Предназначено для смазки синхронизированных механических коробок передач в легковых автомобилях и рекомендуется, в частности, для легковых автомобилей с истекшим сроком гарантийного обслуживания и не требующих заливки оригинального масла.<br><br>Класс вязкости<br><strong>MULTI TRANSMISSION FLUID 75W-90:</strong> SAE 75W-90<br><br>Спецификации и лицензии<br><strong>MULTI TRANSMISSION FLUID 75W-90:</strong> API GL-4; выполняет требования: MB 235.10, Volvo 97308 / 97309, BMW/Mini MTF LT-1 / LT-2, Fiat 9.55550-MZ1, Fiat 9.55550-MX3, Ford WSS-M2C200-D2, Ford WSS-M2C200-C, Ford WSS-M2C175-A, Ford WSS-M2C186-A, PSA B71 2330, Honda MTF, Honda MTF II, Honda MTF94, GM 1940768, Peugeot 9730A2/A8, Land Rover MTF94";"";"Трансмиссионное масло Multi Transmission Fluid 75W-90";"";"";"transmissionnoe-maslo-multi-transmission-fluid-75w-90";"";"";"";"";"";"";"";"";"";""
